Question,A,B,C,D,Correct Answer,Feedback / Explanation
"In some cases, a broker's commission can be earned if he can prove he set in motion a series of events which resulted in the sale of a property. If a broker produces a ready, willing and able buyer he would most likely:",be considered the procuring cause of the sale.,have secured the buyer's signature on the sales contract.,have an exclusive right-to-sell listing.,showed property to the buyer.,A,Procuring cause is the act of the broker which is instrumental in effecting the meeting of minds between the seller and the buyer as to price and terms. It is one of the requisites for entitlement to commission.
ypically a listing broker is usually considered to be:,the principal in the transaction.,a dual agent.,a fiduciary (agent) of the seller.,the client in the transaction.,C. a fiduciary (agent) of the seller.,"A ""fiduciary"" relationship involves more than just acting on the behalf of a client. It is a set of responsibilities that can be summed up as safeguarding the client's best interests as if they were one's own."
An agency agreement could be terminated by all EXCEPT:,when the owner cancels the listing in order to contact the potential buyer and sell to him or her directly.,when the performance of the broker is suspect.,when the house burns down.,when the performance of the seller is lacking.,A. when the owner cancels the listing in order to contact the potential buyer and sell to him or her directly.,"Sellers are free to terminate contracts at any time and, more or less, for any good faith reason, such as changing their minds about selling. However, contracts may not be cancelled simply to avoid paying a commission."
An actual agency relationship that arises by the actions of the parties rather than by expressed written agreement is called:,ostensible agency.,special agency.,general agency.,universal agency.,A. ostensible agency.,"Ostensible agency, a form of implied agency, is an agency relationship in which the actions of the parties imply to a third-party that they have mutually consented to an agency relationship, even if there was never a confirmation of that relationship."
"In the formation of contracts, ""valuable,"" ""good,"" "" sufficient,"" and ""adequate"" are terms most closely associated with which of the following?",Compensation,Bilateral contracts,Consideration,Performance,C. Consideration,"Consideration can be anything of value that is being exchanged for the purpose of the contract. This is often money, but it doesn't need to be. Anything ""valuable,"" ""good,"" "" sufficient,"" and ""adequate"" can be used as consideration as long as it's acceptable to the other party in the contract."
Which of the following statements BEST shows the difference between an exclusive right-to-sell and either an open or an exclusive agency?,"An exclusive right-to-sell agreement guarantees a contracted broker commission even if the seller procures a buyer, while the others do not.","An exclusive right-to-sell agreement enables the seller to negotiate a commission, while the others do not.","An exclusive right-to-sell agreement permits the seller to sell his house without paying a fee, while the others do not.","An exclusive right-to-sell appoints only one agent, while the others do not.","A. An exclusive right-to-sell agreement guarantees a contracted broker commission even if the seller procures a buyer, while the others do not.","An exclusive agency agreement means that the seller will owe no commission if she finds her own buyer, while an exclusive right-to-sell agreement means the broker earns commission if any buyer is procured- even if the seller brings her own buyer. Open listings are risky for brokers because they will lose the commission if the seller, or any other broker or salesperson, provides a buyer."
"In a typical agency relationship between the broker and the client, the broker's commission is determined by:",mutual agreement.,the local real estate board.,minimums based on the property type.,state law.,A. mutual agreement.,"The commission will be determined by mutual agreement between the parties, however it must be disclosed that the commission is negotiable"
Which is an example of ostensible agency?,A selling broker acts as a sub-agent of a listing broker,A broker is able to sell all of an owner's properties and is granted power of attorney for all the owner's affairs,The principal allows a licensee to act as the listing broker in front of a prospective buyer,A broker sells only one of an owner's properties,C. The principal allows a licensee to act as the listing broker in front of a prospective buyer,"Ostensible agency is similar to implied agency in that the relationship is created by the actions of the parties, rather than by written contract. Ostensible agency occurs when a third party would ""reasonably"" believe an agency agreement exists between a principal and an agent, even if no such agreement was ever made. Even in those states that recognize ostensible and implied agency relationships as binding, a written agency agreement should be obtained as soon as possible to clarify the understandings of all parties and protect interests."
"In order to be entitled to a commission, a broker must show that he/she was the procuring cause of the sale under all of the following types of listings, except:",Exclusive agency,Exclusive authorization and right to sell,Nonexclusive listing,Open Listing,B. Exclusive authorization and right to sell,"Exclusive Authorization and Right to Sell Listing is a contract where the Owner agrees to sell the property in question through the Listing Broker. The Listing Broker does not need to show that he is the procuring cause of the sale to earn a commission. NOTE - This question says ""all of the following types of listings EXCEPT"" which means it's looking for a false answer, and it's false that an exclusive authorization and right to sell requires procuring cause."
An agent who exclusively represents the buyer:,is prohibited from advising the buyer on offer prices.,should advise the buyer to make offers directly through the seller to avoid conflicts,may present offers to the seller or to a seller's agent.,can also represent the seller in the same transaction without disclosure.,C. may present offers to the seller or to a seller's agent.,"An agent who exclusively represents the buyer, known as a buyer's agent, has the ability to present offers to the seller or the seller's agent on behalf of the buyer. The role of the buyer's agent is to act in the best interest of the buyer, negotiating the purchase price and terms, and facilitating the transaction process for them. This could involve communicating directly with the seller if it's a FSBO (For Sale By Owner) situation, or more commonly, with the seller's agent if the seller is also represented by an agent."
The final decision in establishing the listing price is made by the:,owner,salesperson,broker,appraiser,A. owner,"A listing is a written agreement between a property owner and a real estate broker authorizing the broker to find a buyer. The broker can help the owner decide the listed price, but it is the seller's sole decision as it is their house."
Which of the following statements about the law of agency is CORRECT?,It establishes a fiduciary relationship.,It does not require a high degree of loyalty and fidelity from an agent.,It refers specifically to insurance.,There is no employment relationship.,A. It establishes a fiduciary relationship.,"A fiduciary relationship is a relationship of trust and confidence, as between principal and agent, trustee and beneficiary, attorney and client."
"Within the agency agreement is a statement that binds the buyer to payment of the broker's fee if, within a stated number of days, the buyer purchases a property that was shown to the buyer during the agency period. This clause is called the:",limited coverage clause.,broker protection clause.,buyer liability clause.,automatic extension clause.,B. broker protection clause.,"Unless the buyer subsequently hires another buyer agent and purchases this property, the broker protection clause obligates the buyer to pay the broker's fee."
"When a written agreement spells out the responsibilities of the principal and the agent, the relationship created is called a(n):",express agency.,limited partnership.,ostensible agency.,implied agency.,A. express agency.,"When the terms of the agency relationship are formalized in writing, it is known as an express (or ""expressed"") agency."
What happens if an agent has not located a buyer by the end of the listing period?,The listing is automatically extended for an additional 90 days,The agency relationship terminates,The listing price is reduced by 7.5%,The broker can sue for reimbursement of marketing expenses,B. The agency relationship terminates,"Real estate agents have a ""special agency"", which means they are hired to perform a specific act for their client. If the object of the special agency is not performed by its expiration date, the listing expires and the agency relationship terminates."
Under what circumstances might a broker collect a commission from both buyer and seller?,If both parties give informed consent.,Under no circumstances.,Only with approval from the state licensing authorities.,If doing so does not violate company policy.,A. If both parties give informed consent.,"Particularly in commercial transactions, payment by both parties does occur if each party agrees to the arrangement (although a few states specifically prohibit payment by both sides to a transaction)."
Which of the following describes a representative with full authority to bind the principal to all agreements in which the representative has been authorized to act?,Double agent,General agent,Special agent,Accidental agent,B. General agent,"A general agent has the power to act on behalf of the principal in an authorized area of business. Property managers are an example of a general agent, as they are authorized to perform all tasks related to the managing of the property."
The fiduciary duty of full disclosure requires the seller's agent to:,obey all the seller's lawful instructions.,tell the seller anything that might be of use in negotiations.,advise the buyer about how much the seller is likely to accept for the property.,advertise listed property frequently.,B. tell the seller anything that might be of use in negotiations.,The agent is obliged to pass on to their client anything useful that is learned during the transaction. NOTE - this question is specifically asking about the fiduciary duty of disclosure.
"In a real estate transaction, both the seller's agent and the buyer's agent are legally required to put whose interest first?",The seller,The buyer,Their principal,Their broker,C. Their principal,"An agent is always required to put the interests of their principal first, above anyone else's."
The situation with the most potential for conflict is when a real estate licensee acts as a:,buyer's broker.,seller's agent.,dual agent.,transaction broker.,C. dual agent.,"Dual agency poses problems because it requires equal but limited representation to two different principals. Fiduciary duties give an agent the obligation to put a principal's interests first, and it is always a challenge as a dual agent not to put one party's interests above the other."
"In a real estate transaction, fiduciary duties are owed to the:",Broker.,Agent.,Principal.,Customer.,C. Principal.,Specific fiduciary duties are owed to the agent's principal.
A real estate licensee is the agent of the:,owner of the real estate,party paying the commission,buyer,party with whom an agency relationship agreement has been entered into,D. party with whom an agency relationship agreement has been entered into,"Real estate licensees represent the person with whom they entered into an agency relationship agreement (contract), whether it be the seller or the buyer. The person paying the agent's commission is not always the agent's principal. Often a seller will pay a buyer's broker simply to facilitate the sale."
"Jones agrees to represent Brown in the sale of a property. The listing contract states that Jones will receive a fee of $25,000 from Brown at closing, regardless of the sales price. Is this a valid form of compensation?","Yes. Compensation can be determined in any number of ways, as long as the seller and broker agree",No. The seller should pay on a basis of a stated percentage of contract price,No. A flat fee exposes the seller to being cheated,Yes. The broker is supposed to charge what the traffic will bear,"A. Yes. Compensation can be determined in any number of ways, as long as the seller and broker agree","Compensation is negotiated between broker and seller and may be stated in many ways including as a percentage of price, hourly rate, by the transaction, or by a menu of services. In this case, Brown is paying Jones a flat fee, which is an acceptable form of compensation. NOTE - A flat fee is different than a net listing, in which the seller gets a set amount and the broker's compensation varies based on the selling price."
The obligation of protecting any deposits entrusted to an agent is an example of the fiduciary duty of:,Competence.,Accounting.,Obedience.,Disclosure.,B. Accounting.,"The agent must be able to account for and produce anything of value entrusted to their care. This includes advances of marketing fees, earnest money deposits, and escrows."
"Jones lists his house and tells his listing agent, Brown, ""I'm listing for $480,000 but I might take less."" Brown may properly:",Share Jones' statement only with the buyer's broker.,Explain Jones' position to prospective buyers in an effort to obtain an offer.,"Advertise the property for ""$480,000 or less.""",Keep the information to himself.,D. Keep the information to himself.,The duty of confidentiality forbids Brown's sharing any information that might damage his client's bargaining position.
"Once an agency relationship is ended, any confidential information learned by the agent during the relationship is:",shared with future clients.,sealed in boxes and stored with an affidavit.,still confidential.,a part of the MLS historical data base.,C. still confidential.,"Confidential information remains confidential forever, with few exceptions."
The relationship of a property manager with the owner is a:,General agency.,Limited partnership.,Special agency.,Dual agency,A. General agency.,"Since a property manager makes decisions on behalf of the owner, such as tenant selection, budget preparation, and employee relations, the property manager is a general agent."
"When an agency relationship ends, which of the following duties does NOT continue?",accounting for property,accounting for money,loyalty,confidentiality,C. loyalty,"In real estate terms, loyalty means doing nothing that might weaken the seller's bargaining position, and that responsibility ends when the sale is complete."
Which of the following would not terminate an agency relationship?,Termination,Renewal,Performance,Expiration,B. Renewal,"Agency relationships can expire, be terminated by mutual agreement, or end because the agreement resulting in an agency relationship has been performed. Renewal would result in the agency relationship continuing."
"A real estate agent who is placed in a position of trust, loyalty, and confidence is a(n):",principal.,fiduciary.,dual agent.,independent contractor.,B. fiduciary.,An agent acting on behalf of a principal or client is referred to legally as their fiduciary. When we discuss the duties/responsibilities they legally have to the principal or client we call those the fiduciary duties/responsibilities.
"If a salesperson acts as an independent contractor, then:",his broker must withhold income tax from his commission checks.,his broker will set his hours and marketing methods.,he controls his own working hours.,all of his listings belong to him.,C. he controls his own working hours.,"Whether a licensee is considered an employee or independent contractor can have an enormous impact on a licensee's work style and cash flow. Independent contractors have almost unlimited latitude in determining how and when they work, as long as the results of that work are satisfactory to the broker. Listings, however, belong to the broker. Additionally, taxes are not withheld from commission checks. That means, however, that the licensee is responsible for paying estimated taxes (penalties for late payments can be substantial) as well as higher ""Social Security"" taxes in the form of a self-employment tax."
A broker is negligent while preparing a sales contract and allows the purchaser to void the agreement. The broker has breached the duty she owes her client of:,Accuracy.,Due care.,Honesty.,Personal performance.,B. Due care,"""Due care"" refers to the licensee's obligation to ensure that all steps in the transaction process are followed with professionalism and accuracy. Errors that a broker or salesperson could reasonably have been expected to avoid and that damage a client (such as the loss of a sale) may be legally actionable."
"A seller has listed her home with a broker for $90,000, and the broker tells a prospective buyer to submit a low offer because the seller is desperate to sell. The buyer offers $85,000 and the seller accepts it. In this situation:","The broker was unethical, but the seller did get to sell her property",The broker has violated his agency relationship with the seller.,Any broker is authorized to encourage such bids for the property.,The broker acted properly to obtain a quick offer on the property.,B. The broker has violated his agency relationship with the seller.,"Licensees have a fiduciary responsibility to act in the best interests of their clients. By disclosing the owner's sense of urgency and suggesting a lower price, the broker was acting as an ""advocate"" for the opposite side in this transaction. Moreover, an implied conflict of interest can be inferred because the action creates a perception that the broker may have been looking out for his or her best interests (a quick commission), which increases the level of malpractice."
"What is a ""client"" during a real estate transaction?",Any person who signs an agreement for the sale or purchase of a property with a licensee.,Any person who views property in the company of a licensed salesperson or broker.,Any person who phones or visits a company seeking more information about specific properties.,Any person who expresses interest in working with an individual firm or licensee.,A. Any person who signs an agreement for the sale or purchase of a property with a licensee.,"Much as it makes us feel better to think of all people who express interest or phone us as ""clients,"" the fact is no one is a client until he or she affixes a signature to a formal agreement."
"In an agency relationship, the person identified as the client is usually the:",Fiduciary.,Subagent.,Customer.,Principal.,D. Principal.,"The person who retains an agent is known as the client, or principal. For example, the buyer and seller are principals in the purchase of real property."
Which of the following is a requirement for a valid agency relationship?,Mutual consent,Compensation,Brokerage license,Written agreement,A. Mutual consent,"From those choices, only mutual consent is required. Agency is sometimes formed by the behavior of the parties, so it does not need to be written, while compensation (payment) generally happens after the task assigned in the agreement has been performed, and having a brokerage license isn't required to form an agency relationship."
Which of the following listings is illegal in most states and open to fraudulent dealings?,An exclusive right to sell.,An exclusive agency.,An open listing.,A net listing.,D. A net listing.,"Net listings, in which the agent keeps any part of the sale price above a given amount, are illegal in most states."
The main obligation the principal owes a broker is:,accounting.,confidentiality.,obedience.,compensation.,D. compensation.,The principal's primary obligation in an agency agreement is usually payment of the agreed-upon commission.
A principal terminates the listing agreement during the listing period. What can the broker NOT do?,continue to cooperate with any subsequent listing broker.,encourage the termination of any contract in process.,collect a commission for a transaction in process.,recover marketing expenses.,B. encourage the termination of any contract in process.,"A broker should not encourage the termination of any contract in process. This is unethical and could potentially be illegal, depending on the circumstances. Encouraging the termination of contracts could harm the principal's or other parties' positions and is not a legitimate course of action for a broker. Agents cannot interfere with any transactions that originated during their relationship with a principal, even if the principal has terminated the listing agreement. The terms of the listing agreement will often detail any damages an agent can recover under these circumstances, like marketing expenses or the full commission for a sale, and an agent has the right as an independent businessperson to cooperate with any subsequent listing broker in order to complete a transaction."
"Agency is the act of representing someone in the purchase, sale, or lease of a property. Subagency is the act of representing:",A lending institution.,An anonymous purchaser.,A principal who is represented by an agent.,A department of the federal government.,C. A principal who is represented by an agent.,A subagency may be authorized by the terms of a listing agreement.
"When negotiating a lease on behalf of a commercial real property landlord, the broker would usually calculate his commission as:",a percent of the first and last month's rent.,a percent of the rent due in the first year of the lease.,a percent of the rent due for the entire lease period.,a percent of the rent due for the first six months of the lease.,C. a percent of the rent due for the entire lease period.,"The broker's commission is normally calculated as a percent of the total amount of lease payments. This is negotiable, however and not a hard and fast rule of law."
The maximum commission a broker may charge for the sale of residential property is:,set forth in the Real Estate Law.,six percent of the total sales price of a residence.,determined by the broker's contract with his principal.,determined by local custom.,C. determined by the broker's contract with his principal.,"There are currently no laws to control the commission amount charged by any broker, but the commission amount must be included in the employment agreement."
"A broker has been in the business for many years. He currently has 40 exclusive listings in his office. The broker dies and his daughter who is also a broker, takes over for him. What should she do about the current listings?","She should attempt to renegotiate all of the listings, if possible",Just inform all sellers that she is taking over as broker,"Do nothing, a change in the broker of record doesn't affect listings",She need only inform the Bureau of Real Estate that she is now the broker of record,"A. She should attempt to renegotiate all of the listings, if possible","Listings are personal service contracts and terminate with the death of either party. The listing agreement is between the seller and the broker. When the broker dies, the listing terminates (in non-corporate instances). In this case, the new broker should attempt to renegotiate the listings with the sellers."
A real estate broker should regard himself/herself as a:,principal.,legal advisor.,substitute for an attorney.,fiduciary.,D. fiduciary.,"A real estate broker who becomes an agent of a seller or buyer, either intentionally through the execution of a written agreement, or unintentionally by a course of conduct, is deemed to be a fiduciary. Fiduciary duties are the highest duties known to the law. Classic examples of fiduciaries are trustees, executors, and guardians. As a fiduciary, a real estate broker will be held under the law to owe certain specific duties to his principal, in addition to any duties or obligations set forth in a listing agreement or other contract of employment."
"When selling a business, the rate of commission is determined by the:",agreement between the broker and owner.,Federal Code of Commissions.,Business Opportunities Law.,commissioner's Regulations.,A. agreement between the broker and owner.,Real estate commissions are always negotiable and are determined by the agreement between the broker and owner.
An agency relationship may be created by all of the following EXCEPT:,subsequent ratification.,necessity or emergency.,an oral agreement.,subornation.,D. subornation.,"Subornation (to ""suborn"") means to bribe or induce someone to unlawfully (or secretly) perform some misdeed, or to commit a crime. Subornation won't create a lawful agency relationship, but the rest of the answers do."
"If you are a subagent of the listing broker, you are representing the:",listing broker.,seller.,lender.,buyer.,B. seller,"""Subagent"" means a person to whom an agent delegates agency powers. In a case like this, the subagent may be ""working for"" the listing agent, but they are still representing the seller. This is common in real estate, as the marketing of real property by real estate agents is often a cooperative effort. The listing broker usually makes an offer of compensation to a cooperating broker (subagent) by placing the property on the Multiple Listing Service. Some MLS's make the offer of subagency automatic, while for others, the offer of subagency is optional and requires an affirmative act by the listing broker. If the principal (seller) specifically authorizes his/her broker to appoint a subagent and thus establishes a new contractual and fiduciary relationship, the subagent represents the principal in the same manner as the listing broker."
When is a properly licensed real estate salesperson most likely to get paid their commission?,When the buyer signs the contract,When the grant deed is signed,When escrow closes,When the grant deed is recorded,C. When escrow closes,"Be careful when reading this question- it is not asking when the commission is EARNED, but when it's PAID. The salesperson is most likely to get paid their commission when escrow closes. They have earned a commission once acceptance of the offer is communicated back to the buyer."
"As the agent for the seller, a real estate broker negotiated a sale. By agreement, the brokerage can be paid his commission in the form of:",buyer's personal check.,assignment of a note.,valuable personal property.,any of these options.,D. any of these options,"Commissions are usually paid with money, but a commission can be nearly anything of value (as long as it's legal). All of the choices are possible ways to pay a real estate transaction commission, as long as it's agreed upon in advance."
"Seller ""A"" lets buyer ""B"" assume that Broker ""C"" was his agent. This type of agency relationship is an example of:",none of the other options are correct.,agency by assumption.,agency by ratification.,ostensible authority.,D. ostensible authority,"Ostensible authority happens when a third-party is allowed to believe there is agency relationship between an agent and a principal through the actions of the principal. If a broker acts like a seller's agent and the seller doesn't say otherwise, but the broker's actions result in a sale, the broker will most likely be considered to have an ostensible authority."
"When acting as an agent for seller Jones, real estate broker Smith:",can modify the terms of any contract that Jones enters into.,can give Jones legal advice.,can eliminate any offers on Jones' property that Smith believes are not good enough.,is obligated to render faithful service to Jones.,D. is obligated to render faithful service to Jones,"As a fiduciary, the broker (as well as the salesperson) has a duty to be faithful to the principal."
A power of attorney can be terminated by:,death of the attorney-in-fact.,all of the other options are correct.,incapacitation of the party being represented.,revocation by the principal.,B. all of the other options are correct,"A power of attorney is a legal document that grants one person (the agent or attorney-in-fact) the authority to act on behalf of another person (the principal). This authority can be terminated in several ways: Revocation by the principal means the principal decides to cancel or withdraw the power of attorney. Incapacitation of the party being represented (the principal) can terminate certain types of power of attorney, but there are ""durable"" powers of attorney that remain in effect even if the principal becomes incapacitated. Death of the attorney-in-fact or the principal terminates the power of attorney because the legal authority granted cannot extend beyond the life of the individuals involved. Since each of these situations results in the termination of the power of attorney, the correct answer is that all of the other options are correct."
"Johnson, a real estate broker, listed a property. Suzie, a salesperson working for broker Sims, received an offer. Donna, a salesperson working for broker Johnson, got the offer accepted. Who will the commission be paid to?",Donna,Johnson,Sims,Suzie,B. Johnson,"As the listing broker, Johnson earned the commission under the terms of the listing agreement. Remember: listing agreements are between a broker/principal broker and a client, not the salesperson/associate broker who may be servicing the client. A commission split may occur since the offer came in through another broker."
"Owner Joe tells his listing broker, Stephen, that he wants to sell his house as soon as possible and would accept $350,000. Stephen tells buyer Selwyn that Joe has financial troubles and will accept a much lower price, possibly as low as $300,000. Joe, ultimately, accepts an offer from Selwyn for $300,000. Broker Stephen is guilty of:","unethical behavior, but not a serious breach of his fiduciary responsibility to Joe.",unethical behavior and a violation of the fiduciary responsibility.,"nothing, since his job is to find a buyer no matter what.",violating the fiduciary duty to buyer Selwyn.,B. unethical behavior and a violation of the fiduciary responsibility,"Broker Stephen's actions are a clear violation of his fiduciary responsibility to the seller. This would also be a violation of the Realtors Code of Ethics since the seller did not authorize broker Stephen to disclose such information to the buyer. If owner Joe's financial troubles were in fact true and he authorized broker Stephen to inform the buyer of such, it would not be a violation."
Commissions rate price fixing is a violation of the:,Truth-in-Lending laws.,Real Estate Settlement Procedures Act.,Fair Employment and Housing Act.,federal anti-trust laws.,D. federal anti-trust laws,Price fixing is a violation of the Sherman Anti-trust laws.
An agent becomes the agent of the seller when both the seller and the agent sign a(n):,Agency Disclosure Statement.,Listing Agreement.,Purchase Agreement.,Transfer Disclosure Statement.,B. Listing Agreement,The Listing Agreement is the employment contract that creates the agency relationship between the seller and the listing agent.
"Typically when leasing real property, the commission of the leasing agent is based on a percentage of:",initial deposit paid by the lessee,the total rent to be collected during the full term of the lease,the first year's rent,monthly rent,B. the total rent to be collected during the full term of the lease,"Usually, the commission of a leasing agent is figured on the total rent to be collected over the term of the lease. The commission can be any amount negotiated and specified in the employment contract."
"All of the following are essential to the creation of an agency relationship, EXCEPT:",agreement to pay consideration.,agreement between principal and agent.,fiduciary relationship.,competent parties.,A. agreement to pay consideration,The payment of consideration need not be involved in an agency relationship. One may gratuitously undertake to act as an agent and will be held to the standards of agency upon assumption of those duties.
"A listing agent received two offers in the morning and immediately presented the offers to the seller. In the evening the agent received two more offers, both with a lower price. What should the agent do?",Wait until the seller has made a decision on the morning offers before presenting the evening offers.,Wait until the next day to present the lower evening offers.,Don't present the evening offers to the seller because the offers were low.,Let the seller know of the two new offers immediately.,D. Let the seller know of the two new offers immediately,"Even though it is a temptation to favor the higher offers, it is the listing agent's fiduciary duty to notify the seller of the new offer immediately."
An attorney-in-fact can best be described as a(n):,attorney appointed by the court to administer an estate of a deceased person.,legally competent person who has been given the power of attorney by another competent person.,duly authorized person who has been granted both actual and implied powers to act as a principal for another.,properly authorized party who is acting as a dual agent.,B. legally competent person who has been given the power of attorney by another competent person,An attorney-in-fact is a competent and disinterested person who is authorized by another person to act in his/her place.
Who is more likely to earn the commission?,The one who secured the biggest down payment from the buyer.,The one who communicated the seller's acceptance of the offer to the buyer.,The one who secured the offer.,The one who communicated the offer to the seller.,B. The one who communicated the seller's acceptance of the offer to the buyer,"Until the seller's acceptance is communicated to the buyer, there is no contract. Therefore, the one who communicates the seller's acceptance to the buyer is more likely to earn the commission."
An agency relationship may be created by:,agreement.,all of the other options are correct.,estoppel.,ratification.,B. all of the other options are correct,"Most agency relationships are created by written agreement, but agency relationships can also be created by ratification (consenting to acts of the agent), and estoppel (conduct of a principal leads a third-party, like a buyer, to reasonably believe an agent has an agency agreement so the principal cannot go back on that conduct)."
"An agency relationship can be created by all of the following, EXCEPT:",implication of the law.,principal's agreement.,agent volunteers.,oral agreement.,C. agent volunteers,A real estate licensee cannot become your agent by simply volunteering. An agency relationship can be created by written agreement or it may be implied by the acts of the principal and agent. It can also be created by oral agreement.
A real estate sales commission is usually based on the:,listing price.,down payment.,selling price.,loan amount.,C. selling price,"Real estate commissions are usually based on a percentage of the selling price, but that is not always the case. Be sure to notice on your exam if they are using absolute words such as ""usually"", ""sometimes"", or ""almost"" versus words like ""always"" or ""never"" because there's almost always an exception to every rule."
"A ""safety clause"" is found in a:",lease.,loan broker's statement.,listing agreement.,deposit receipt.,C. listing agreement,"A ""safety clause"" (also called a ""protection period clause"") is found in a listing contract. It provides for payment of a commission to the listing broker if a sale is consummated after the listing expires, but the property is sold to a buyer originally procured by the listing broker."
If the owner enters into an exclusive agency listing and thereafter sells the property through their own efforts:,no commission is owed.,the broker is entitled to 25 percent commission.,the broker is entitled to 50 percent of his commission.,the broker is entitled to full commission.,A. no commission is owed,"Under an Exclusive Agency Listing, the seller reserves the right to sell the property themselves and not pay a commission."
In a new counter-offer:,the terms of the offer can never be changed.,the counter-offeror becomes the counter-offeree.,the counter-offeror can change the terms of the offer unilaterally.,none of the other options are correct.,B. the counter-offeror becomes the counter-offeree,"When a new counter-offer is made, the roles are reversed and the person who made the counter-offer initially (the counter-offeror) becomes the person receiving the new counter-offer (counter-offeree)."
