Question,A,B,C,D,Correct Answer,Feedback / Explanation
"When running a real estate office, the phrase ""company dollar"" means:",The money the company initially invested to open the office,The net income of a broker after all expenses are subtracted,The income after all salaries are paid to others,The income of an office after all commissions are paid to the salespeople,D,Company Dollar is the gross income of an office minus commissions.
"""The personal, revocable, and un-assignable permission...,"" is the definition of:",An option.,A license.,An easement.,An encroachment.,B,"A license gives the holder ""the personal, revocable, and non-assignable authority to do a specific act or acts on the land of another""."
Agent Vivian Rose was driving her client... This would be an example of:,blockbusting.,steering.,redlining.,helping.,B,"Steering is the illegal practice of channeling home seekers to particular areas, either to maintain the homogeneity of an area or to change the character of an area, which limits their choices of where they can live."
"Ms. Lee received a loan application asking her to specify her ethnic background. Legally, she can:",refuse to fill out that portion of the loan application.,not decline to answer those questions if she wants the loan.,sue the lender and the real estate broker for discrimination.,be denied the loan if she refuses to answer those questions.,A,"You can refuse to answer questions regarding gender, creed, color, or race and it should not affect your loan."
Which of the following is a violation of fair housing laws?,"A landlord that requires all tenants pay first, and last month's rent in advance.",The landlord requires all tenants to furnish references from their previous landlords;,The landlord requires a co-signer exclusively for tenants who are single;,The landlord requires every tenant have a good credit rating and a steady source of income;,C,"Placing extra requirements on single buyers is discriminatory and is a violation of the Fair Housing Laws. [For example, requiring a co-signor only for unmarried tenants.]"
"A prospective minority purchaser asks to be shown homes, but does not specify whether he wants to live in a community where there are other minorities or not. How should a licensee decide what properties to show him?",The licensee could assume that the prospective buyer is not interested in such homes,The licensee may select homes for showing as he would for any other prospect,The licensee does not need to provide service for the prospect at all,The licensee has no obligation to show homes in non-minority neighborhoods to the prospect,B. The licensee may select homes for showing as he would for any other prospect,"By law, an agent can't use race as a basis for choosing which properties and neighborhoods to show a prospective buyer. An agent should select the houses to show to a minority the same way they would select houses to show any other prospective buyer."
Which of the following acts requires that public accommodations be made accessible to all people?,The Labor Standards Act,The Americans with Disabilities Act,The Fair Housing Accommodations Act,The Federal Depositors Insurance Act,B. The Americans with Disabilities Act,"The Americans with Disabilities Act (ADA) became law in 1990. The ADA is a civil rights law that prohibits discrimination against individuals with disabilities in all areas of public life, including jobs, schools, transportation, and all public and private places that are open to the general public. The purpose of the law is to make sure that people with disabilities have the same rights and opportunities as everyone else. The ADA gives civil rights protections to individuals with disabilities similar to those provided to individuals on the basis of race, color, sex, national origin, age, and religion. It guarantees equal opportunity for individuals with disabilities in public accommodations, employment, transportation, state and local government services, and telecommunications."
"When a lender makes a loan regulated by the real estate settlement procedures act, the loan applicant must be provided with which of the following:",Forms for applying for the homeowner's exemption,A loan estimate,An application for private mortgage insurance,A bill of sale,B. A loan estimate,A loan estimate is a disclosure required under the Real Estate Settlement Procedures Act (RESPA) and TRID (TILA/RESPA Integrated Disclosure) that must be given to all mortgage loan applicants at the time of application. The disclosure is an estimate of all settlement charges likely to be incurred at closing.
"Mili wanted to buy a house. The seller said that in order to purchase the property, Mili must use the seller's brother who is a fully qualified lender. The broker in the transaction told the seller that the only way Mili would buy the house is if she uses the brokerage's lender. Mili voiced her opinion and said, ""I am using my lender and that is final"". Under these circumstances, which of the following is true?",The seller can require her lender because it is her property,Nobody can require any lender because it is a term to be negotiated,Mili can require her lender because she is the buyer,The broker can require his lender because he is the licensed party,C. Mili can require her lender because she is the buyer,Buyers are allowed to use the specific lender of their choice.
"If a deed has a restrictive covenant which prohibits the sale of the property to persons of a particular race, that covenant will:",Provide the grantor the power to enforce the covenant,"Have no effect on the conveyance, and the covenant will be unenforceable",Provide the grantee the power to void the conveyance,Invalidate the conveyance,"B. Have no effect on the conveyance, and the covenant will be unenforceable","Racial deed restrictions are unenforceable even if the majority of the homeowners in a particular area might want them, because they violate the U.S. Constitution. They have no effect on the conveyance."
Which of the following is the best example of the practice known as "puffing"?,A licensee communicates his opinions about a property as material facts.,A licensee misrepresents material facts concerning a property.,"A licensee implies that he is well connected, and knows many influential people in the area.",A licensee exaggerates certain features or benefits of a property.,D. A licensee exaggerates certain features or benefits of a property.,Puffing is when a licensee may exaggerate the benefits or features of a property. It is the sometimes exaggerated buildup a salesperson or the seller may give to a buyer about a property for sale. It is recognized in law as an opinion and not necessarily representing the facts.
"When a breach of contract occurs and the situation is such that damages would not provide an adequate remedy, a suit for specific performance could be successfully brought by all of the following, except:",the buyer of an income property.,a licensed real estate broker acting as agent for the principal.,the seller of a condominium.,an attorney-in-fact representing the buyer.,B. a licensed real estate broker acting as agent for the principal.,"Specific performance is a legal remedy that orders the losing side to perform its part of a contract rather than paying money damages to the winner. It is most likely to be used by a buyer who wants to force a seller to follow through with the sale of a property, but it could be used by a seller to force a buyer to follow through with a purchase. Real estate brokers would sue for monetary damages, not specific performance, since they are only receiving money from the transaction anyway (not property)."
"Assume a broker took an open listing. He then made an oral agreement with another broker to share the commission on the sale of a property. The second broker procured an offer resulting in the sale of the property. If the first broker refused to share his commission on the sale, which of the following is most likely?",The first broker is protected from sharing due to the exclusive nature of open listings.,"The agreement is void due to the lack of formal documentation, leaving the second broker with no recourse.",The second broker would stand a good chance of winning a court suit for his share of the commission,The second broker can only claim his share if there was a written agreement.,C. The second broker would stand a good chance of winning a court suit for his share of the commission,"The statute of frauds requires certain agreements to be in writing to be enforceable, typically including contracts for the sale of real estate or agreements that cannot be performed within a year. However, when two brokers orally agree to share a commission from the sale of a property, the law in many jurisdictions recognizes this as a valid agreement between the parties, even if not in writing, particularly if there is clear evidence that both parties understood and agreed to the terms. If the second broker procured an offer that resulted in the sale of the property, thereby fulfilling his end of the agreement, then he would likely have a strong case in court for his share of the commission based on the principles of equity and the performance of his contractual obligations, despite the oral nature of the agreement. An open listing allows the property owner to give multiple brokers the opportunity to sell the property. It does not pertain to the arrangements between brokers regarding commission sharing. The nature of an open listing focuses on the relationship between the seller and the broker, not agreements between brokers. Therefore, the exclusivity or open nature of the listing does not inherently protect a broker from a commission-sharing agreement with another broker."
"When a real estate agent acts exclusively as a buyer's agent, he can:",present offers to the seller.,present offers based upon what other buyers have offered.,present offers to the seller or to a seller's agent.,present offers to a family member of the seller.,C. present offers to the seller or to a seller's agent.,An agent who represents the buyer exclusively may present an offer to the seller (if there is no agent) or to the seller's agent.
"When dealing with the public, a broker may not:",reject a listing on real property in the area where they work.,divulge a material fact if they think it is in the best interest of the seller to keep it private.,delegate any of their duties to other people.,remain silent concerning material facts that only they know about a property.,D. remain silent concerning material facts that only they know about a property.,"When dealing with the public, a broker may not remain silent concerning material facts that only they know about a property."
Which of these is an acceptable form of earnest money payment?,credit card,personal check,stock options,promissory note,B. personal check,"Earnest money, which signifies a buyer's good faith in proceeding with a real estate transaction, can be made using several forms of payment. The forms accepted can vary based on local practice, the preferences of the seller, or the terms outlined in the purchase agreement. Common forms of payment include: Personal Check: This is a widely accepted form of payment for earnest money. It's convenient for the buyer, but sellers or escrow agents might require a few days for the check to clear. Cashier’s Check: More secure than a personal check, a cashier's check is guaranteed by the issuing bank. Sellers may prefer this form of payment due to its reliability. Wire Transfer: A wire transfer is a quick way to move funds, making it a good option for earnest money payments. It provides immediate funds to the escrow account but can incur additional fees. Money Order: Similar to a cashier’s check, a money order is a pre-paid paper certificate issued for the amount of the earnest money. It's considered secure payment but is typically used for smaller amounts. Electronic Funds Transfer (EFT): Some transactions may allow for EFTs, where the earnest money is transferred directly from the buyer’s bank account to the escrow account. Rarely, other forms of payment may be negotiated, but these are the standard and most commonly accepted forms. Always ensure that the form of payment is documented and traced for the safety and assurance of both parties involved."
"Two brokers decide to list a property together and agree to split the commission 50/50. One broker finds the buyer and then refuses to share the commission. To recover the agreed-upon portion of the commission, the deceived broker could file an action:",with the Department of Real Estate only.,"with the Department of Real Estate first, then in a civil court.","with civil court first, then in a criminal court for fraud.",in a civil court.,D. in a civil court.,"If a broker agreed to share a commission with another broker and then refused to pay the other broker, the other broker should file an action in a civil court. This matter is about the civil agreement for the commission rather than license law, so it must be filed in a civil court- once payment has been made from the seller to the broker, a Department of Real Estate or Real Estate Commission no longer has jurisdiction."
"A predominantly non-minority neighborhood borders a neighborhood that has recently experienced an influx of minority homeowners. A real estate salesperson begins canvassing the non-minority neighborhood, telling people they should sell now because the minorities will soon be moving in and property values could drop. Which of the following violations is that person guilty of?",Panic peddling and/or Blockbusting,Steering,ADA "reasonable accomodations" law,Redlining,A. Panic peddling and/or Blockbusting,"Panic-peddling and Blockbusting mean the same thing and refer to attempts to create and exploit fear about property values based on racial, religious or other prejudices."
"In one of her weekly sales meetings, broker Elizabeth Johnson made the following two statements to her sales staff: (1) ""We're going to solicit listings in the Rancho Los Cabos neighborhood because a large number of minority buyers are moving in."" (2) ""We'll only advertise the listings in that neighborhood to minority buyers."" Which, if either, of these statements is correct?","#1 is illegal, but #2 is legal.",Both #1 and #2 are legal if part of a conversations kept within the firm and not discussed publicly.,"#1 is legal, but #2 is illegal.",Both #1 and #2 are illegal.,D. Both #1 and #2 are illegal.,The first statement is another example of attempted "blockbusting." The second is a form of "steering"- encouraging people of a particular group to buy in one community or avoid another.
In order to be valid all exclusive listings must include:,permission for the listing broker to appoint subagents.,an automatic renewal clause.,a dragnet clause.,a definite date of expiration.,D. a definite date of expiration.,"An exclusive listing arrangement means you are granting your agent/ broker with exclusive access to find a buyer for your home. With this type of agreement no other agent/broker will be compensated for bringing buyers without working under the signed listing agreement to your home. This is why it needs a definite termination date, because if the relationship does not work out, a time needs to be established for when the seller can engage in a contract with a new broker/agent without consequences."
"Salesperson Andrew receives an offer to purchase, which is accompanied by a $2,000 earnest money deposit in the form of a personal note. Which is true in this case?",Andrew should return the note and ask the purchaser to give him a check for the same amount.,Andrew has breached his agent's duty to the seller.,The resulting contract will be voidable at the seller's option.,The offer should indicate that the deposit is in the form of a note.,D. The offer should indicate that the deposit is in the form of a note.,"Although cash (in the form of a check) is the more accepted form of earnest money, a personal note or any other ""valuable consideration"" acceptable to the owner is allowable."
"The Civil Rights Act of 1866, rediscovered by the Supreme Court in 1968, permits discrimination in housing based on race:",when the person does not use a broker,when the person does not own more than three houses,never,when the person refrains from discriminatory advertising,C. never,"Although there are some fine lines of distinction in fair housing laws, the basic rule to keep in mind is that discrimination in the sale or rental of housing based on race is never allowed."
Blockbusting is best described as an attempt:,to form guerrilla bands to use violent action to integrate neighborhoods.,to panic a neighborhood into thinking property values will decline due to unwanted person(s) moving in.,by banks to refuse loans to homeowners in certain segments of the city.,by insurance companies to refuse to issue homeowner's policies to certain residents of the city.,B. to panic a neighborhood into thinking property values will decline due to unwanted person(s) moving in.,"Using race, ethnicity or any other personal characteristic of an individual or a group to influence the buying or selling of real estate is illegal and carries stiff penalties that can be pursued by local, state and federal authorities as well as affected individuals."
"If a real estate licensee were trying to persuade people to list or to sell their property by telling them that members of another ethnic group were moving into their neighborhood and it would be to their advantage to list or to sell, it would be an example of all of the following EXCEPT:",blockbusting,redlining,panic peddling,panic selling,B. redlining,"This is not a description of redlining. Redlining is the discriminatory practice by banks, insurance companies, and other financial institutions of denying services, such as loans or insurance, to residents of certain areas based on their racial or ethnic makeup. Redlining does not involve selling or listing properties. Instead, it's a practice related to lending and insurance policies. This is a description of blockbusting, panic selling, or panic peddling. Those are all different ways of saying the same thing: A licensee is trying to convince members of a neighborhood to sell their homes because members of a minority group are moving into the neighborhood. This is a violation of State and Federal Laws. Note: This question says ""all of the following EXCEPT,"" which means it's looking for a false answer. It's false that ""redlining"" describes this situation."
A licensed real estate salesperson placed a "blind ad" in a local newspaper. A "blind ad" does not properly:,identify the broker or brokerage.,give the address of the property.,provide the selling price.,identify the seller.,A. identify the broker or brokerage.,"Blind advertising is any real estate advertisement that does not properly identify the broker or brokerage listing a property. When advertising real property as an agent, the employing broker/brokerage's name must be included in the advertisement."
The effort that brings about the desired result in a real estate sale is known as:,principal.,procuring broker.,REALTOR.,procuring cause.,D. procuring cause.,"Procuring cause of sale is the effort that brings about the desired result--in this instance, a ready, willing, and able buyer. The other terms refer to people: A principal is the person for whom the broker works, while a REALTOR is a member of the National Association of REALTORS. The term ""procuring broker"" isn't a term used in real estate at all."
What actions are required of agents regarding "material facts?",They are deemed confidential between the agent and client and should be protected.,Should be disclosed to serious buyers.,They should generally be disclosed to the public although in some instances they may be considered minor or confidential and need not be disclosed.,Must always be disclosed.,D. Must always be disclosed.,"Agents are required to adhere to specific duties surrounding the disclosure of material facts. Material facts are any pieces of information that could influence the decision of a buyer or seller about the transaction. These could include, but are not limited to, legal issues with the property title, physical defects of the property, environmental hazards, or any other details that would impact the value or desirability of the property. Agents must disclose all material facts that they are aware of to all relevant parties in the transaction. This includes any defects or issues with the property, known renovations, issues with the immediate area that could influence the property's desirability or value, and any other facts that are crucial for making an informed decision."
"Caroline Martin assures real estate salesperson, Abby Benton, that the home she's selling has hardwood floors throughout. This appears to be true, since it is exposed in all rooms but two of the bedrooms which have wall-to-wall carpeting. Abby passes these assurances on to buyers who later discover that neither of the bedrooms has hardwood. What, if anything, is Abby guilty of?",She's guilty of misrepresentation.,She's guilty of fraud.,She's guilty of commission.,She's not guilty of anything since she relied on the owner's assurance.,A. She's guilty of misrepresentation.,"Abby is guilty of misrepresentation because she made a false assertion based on facts she should have verified. She could have avoided the violation by lifting a corner of the carpet to inspect the flooring or making a written disclosure to the buyers such as: although the seller believes hardwood is under the carpet, she does not know and cannot guarantee that to be true."
"As long as it is specified as part of his or her duties, is it legal for an unlicensed salaried assistant to solicit listings for the broker?","No, soliciting listings is the exclusive responsibility of the broker.","Yes, if it is part of a written job description.","No, active participation in real estate transactions requires a license.","Yes, because she is being paid a salary, not commissions.","C. No, active participation in real estate transactions requires a license.","Tasks such as answering phones or making copies are considered support and don't require any licensing or course work. However, activities such as soliciting listings or providing information about a property are part of the transaction process and may be handled only by licensed real estate professionals."
A listing broker had a signed sales contract on a house. The broker then noticed a crumbling wall in the basement. The broker should inform:,the buyer only.,the seller only.,both the buyer and the seller.,"the buyer, seller and mortgage company.",C. both the buyer and the seller.,"Licensees owe honesty and disclosure of all material facts to both buyer and seller. Material facts do not need to be disclosed to mortgage companies because their primary interest in the property is value, and any material defects will already have been factored into the price before closing."
What is RESPA?,A standard for closing procedures.,A low-income housing program.,A federal anti-discrimination statute.,A standard for access and accommodation for persons with disabilities.,A. A standard for closing procedures.,The Real Estate Settlement Procedures Act (RESPA) provides consumers with improved disclosures of settlement costs and to reduce the costs of closing by the elimination of referral fees and kickbacks.
Which act requires that "reasonable accommodation" be made in public accommodations?,Fair Housing Act,Equal Opportunity Act,Americans with Disabilities Act,Civil Rights Act,C. Americans with Disabilities Act,"The American with Disabilities act, passed by Congress in 1990, this act requires that ""reasonable accommodation"" be made in public accommodations, including the workplace, for those with physical or mental disability. As a result it would require the removal of architectural barriers on some commercial properties."
"Of the following, which is considered a violation of fair housing laws in regards to periodic tenancy:",A landlord requiring that each and every tenant have a good credit rating and the assurance of a steady source of income,"A landlord that requires all tenants pay first, second and last month's rent in advance",The requirement of a landlord of a co-signer exclusively for tenants who are single,The requirement of a landlord that all tenants furnish references from their previous landlord,C. The requirement of a landlord of a co-signer exclusively for tenants who are single,A landlord who requires a co-signor only for single tenants would be in violation of fair housing laws
"Listing a home at an inflated price requiring minority prospects to pay that price, but accepting a lower price from other prospects:",Is not a violation of fair housing law because the property is still available to minority prospects.,is illegal only if an FHA or VA loan is being used to purchase the property.,could cause the listing salesperson and broker to be liable for money damages in a fair housing suit.,is a violation of fair housing laws by the seller only.,C. could cause the listing salesperson and broker to be liable for money damages in a fair housing suit.,"Listing of a property at an inflated price and requiring that price for minority prospects, but accepting a lower price from other prospects could cause the listing salesperson and broker to be liable for money damages in a fair housing suit."
"A developer, to avoid discrimination, instructed his sales staff: (1) Give special preference to women who want to purchase; and (2) set aside the same number of homes for each ethnic group. Which answer best describes these policies:",Both policies are discriminatory and therefore illegal,The first policy is illegal,The second policy is illegal,Both policies are non-discriminatory,A. Both policies are discriminatory and therefore illegal,Selling properties based on gender preferences or to fill ethnic or racial quotas is discrimination.
"Alicia is a licensee with Foul Real Estate Inc. She placed the following ad in a newspaper: ""Big bedroom, sun deck and fireplace - $500,000. 273-1321"". Which of the following would describe this ad?",This is false advertising,This is misleading advertising,This violates RESPA,This is blind advertising,D,"Blind Advertising is any real estate advertisement that does not properly identify the broker. When advertising real property as an agent, a salesperson must always remember to include the employing broker's name in the advertisement."
"Broker Al, who is not a member of any trade organization, has been using a new advertising slogan: ""A new breed of realtor."" Concerning this practice:",It is permissible,It is grounds for revocation or suspension of his real estate license,It is acceptable as long as he is not licensed in more than one state,It is a violation of Fair Housing laws,B,REALTOR® is a registered trade name that may only be used by members of the NATIONAL ASSOCIATION OF REALTORS®. REALTORS® subscribe to a strict Code of Ethics which governs their conduct. If you are not a member of the association of Realtors you can not use it in your advertising.
The Federal Fair housing law is a United States policy which:,builds housing units designed primarily for minority groups throughout the United States.,prohibits discrimination in housing for all persons throughout the United States.,eliminates prejudice wherever it exists in the United States.,guarantees separate but equal housing units for all people in all of the states.,B,"The Federal Fair Housing Law creates a policy of providing fair housing for all persons through the United States by prohibiting discrimination based on race, color, national origin, religion, sex, familial status, and disability."
In which of the following situations may a real estate licensee lawfully refuse to show a home to a minority prospect who has requested to see it?,The agent may not refuse to show any home to a minority person at any time,When the owner is out of town and has instructed the licensee that no showing may be made in his absence,When the owner is exempt under the 1968 Fair Housing law and has stated that his single-family home is not available to minority persons,When the licensee sincerely believes that showing the property to minorities would cause panic in the neighborhood,B,"It is permitted for an agent to refuse to show a property to a minority buyer if the owner is out of town, as long as the owner left instructions that the house was not to be shown to anyone until his return. Basically, an agent may refuse to show a property to a minority prospect only if the agent is refusing to show that property to everybody, and that is only likely to happen upon owner request."
If an advertisement is placed in a newspaper advertising a house for sale and only the APR is stated:,Number of payments must be included,Total finance charges must be included,The amount of the down payment must be included,Additional disclosures are not required,D,"The APR is the cost of credit that consumers pay, expressed as a simple annual percentage. If the ad only states the APR, then other disclosures are not necessary."
RESPA would apply to which of the following?,1-4 family residential dwellings,Transactions involving purely agricultural land,Rental agreements on residential properties,Commercial real estate only,A,RESPA (Real Estate Settlement Procedures ACT) applies to loans secured with a mortgage placed on one-to-four family residential dwellings. It is primarily there to provide consumers with enough information to enable them to shop for settlement services.
A land developer offers a free prize to anyone who replies to his direct mail advertisement and visits the site of his subdivision. The sub-divider requires the prize winner to attend a sales presentation at the subdivision site prior to awarding the prize. The sales presentation requirement was not mentioned in the advertisement. This kind of promotion is:,Legal if the prize is actually awarded.,Legal if the prizewinner purchases the property.,Illegal because free prizes cannot be offered under any circumstances.,Illegal because it did not disclose the sales presentation attendance requirement.,D,Prizes are legal provided that the advertisement states that to receive the prize requires attendance at a sales presentation. Failure to disclose attendance requirements makes it illegal.
"When a buyer gives the agent a post dated check, it:",May be retained but must be disclosed to the seller.,Must be delivered to the seller within one day.,May not be accepted by the agent.,Must be cashed immediately.,A,An agent may accept a post dated check from a buyer as long as it is disclosed to the seller.
Jackson leased his home to Sullivan with a verbal agreement to sell the property to Sullivan. Jackson knows that Sullivan has been making significant improvements to the property in reliance on that verbal agreement. Jackson now declines to sell the property to Sullivan. Which of the following best describes the rights of the parties?,Jackson made an ongoing ostensible agreement and must sell the property,The doctrine of estoppel will apply in this case and Jackson will most likely have to sell,Jackson does not have to sell because of the statute of frauds,Jackson does not have to sell because verbal agreements are unenforceable,B,"The doctrine of estoppel states that a person cannot take a position that contradicts a prior position. In other words, a person can't go back on their word, especially when others have taken action based on that word. In this situation, Jackson made a verbal agreement to sell the property and Sullivan has made improvements to the property based on that verbal agreement. If Jackson refused to sell and Sullivan took him to court over it, Sullivan would likely win the court suit based on the doctrine of estoppel. The statute of frauds is only applicable to the actual purchase agreement (not a verbal agreement to sell at some time in the future) and an ostensible agreement is implied through actions only, whereas this situation has a prior verbal agreement."
"A visually-impaired person with a Seeing Eye dog makes application for rental of an apartment that has a vigorously enforced ""no pets"" policy in the building. According to the Federal Fair Housing Act as amended in 1988, the owner may:",increase the customary security deposit,require the person to house the dog outside of the apartment,require the person to restore any damage to the apartment that results from the dog,refuse to rent to the applicant as a result of the policy,C,"The Fair Housing Act, as amended in 1988, prohibits housing discrimination on the basis of race, color, religion, sex, disability, familial status, and national origin. It is unlawful to discriminate in any aspect of selling or renting housing or to deny a dwelling to a buyer or renter because of the disability of that individual, The Fair Housing Act requires owners of housing facilities to make reasonable exceptions in their policies and operations to afford people with disabilities equal housing opportunities. For example, a landlord with a ""no pets"" policy may be required to grant an exception to this rule and allow an individual who is blind to keep a guide dog in the residence. The Fair Housing Act also requires landlords to allow tenants with disabilities to make reasonable access-related modifications to their private living space, as well as to common use spaces. (The landlord is not required to pay for the changes.) The Act further requires that new multifamily housing with four or more units be designed and built to allow access for persons with disabilities. This includes accessible common use areas, doors that are wide enough for wheelchairs, kitchens and bathrooms that allow a person using a wheelchair to maneuver, and other adaptable features within the units."
"The owners of a house sign a listing agreement and later tells the salesperson that the garage roof leaks. If they tell the salesperson not to reveal the roof's condition to any prospective buyers, the salesperson MUST:",refer all prospective buyers who have questions about the roof's condition to the sellers,advise only those prospective buyers who ask about the roof's condition,advise the sellers that they must disclose the condition of the roof to prospective buyers,abide by the owners' request,C,"A licensee must reveal material facts in a house, such as a leaky roof or poor insulation. A failure to disclose material facts concerning a property may allow the innocent buyer to rescind the contract and possibly take legal action."
A minority couple asks a broker to show them a listed house. What is the broker guilty of if the broker suggests that they look at houses in areas with larger minority populations than that of the listed house?,Panic peddling,Redlining,Steering,Blockbusting,C,"Steering is a form of racial discrimination in which brokers or salespeople direct interested purchasers away from and toward certain neighborhoods to control racial composition. If an agent only shows minority buyers houses that are located in segregated areas, the agent would be guilty of Steering. An Agent should select the houses that he would show to a minority the same way that he would select houses for any other prospective buyer."
Responsibilities of the seller at closing usually include paying the:,loan origination fee,title examination,broker's commission,lender's title insurance,C,"At closing fees are incurred known as ""closing costs"" these Fees incurred in a real estate or mortgage transaction are paid by borrower and/or seller at the closing of the transaction. One of the fees is the commissions. The commission is paid from the proceeds of the seller. NOTE - This question, like many other you may see on the test is asking what usually, or generally happens. Commission is negotiable, and can be arranged any number of ways. It is most common in most states, and most closings that the seller pays the commission."
"A homeowner who plans to travel for a year asks a real estate firm to rent the house for this period and indicates a preference for a non-minority family rather than a minority family ""if at all possible."" Under the Federal Fair Housing Act, the broker should inform the owner that these instructions:",will be followed because normally the house is owner-occupied.,cannot be followed because they violate the Act.,will be followed only if the owner puts them in writing.,will be followed only if the owner accepts responsibility in case of a lawsuit.,B,"Title VIII of the Civil Rights Act of 1968 (Fair Housing Act), as amended, prohibits discrimination in the sale, rental, and financing of dwellings, and in other housing-related transactions, based on race, color, national origin, religion, sex, familial status (including children under the age of 18 living with parents of legal custodians, pregnant women, and people securing custody of children under the age of 18), and handicap (disability). Real estate firms, brokers and agents are prohibited from participating in discrimination during the sale or purchase of a home."
"In a real estate closing, which of the following is generally paid for by the buyer?",Preparation of the deed,Recording of a new mortgage,Release of the mortgage,Sales commission,B,"Recording is the act of officially recording legal instruments that affect title to real property. This is accomplished by entering them into a county book of public records, which provides notice to creditors, buyers, and all others who might have interest in the subject property. The buyer generally pays for recording a new mortgage."
"In order for a property manager to determine net operating income on a property, which of the following fees is subtracted from the effective gross income?",Operating expenses,Debt service,Advances to owners,Reserve for replacements,A. Operating expenses,"Operating expenses are the costs associated with operating income producing property usually before interest and income tax expense, but including property taxes, insurance, repairs and maintenance, replacement reserves. This would be subtracted from the effective gross income."
"Davilla is a salesperson associated with broker Brown, and is serving as a buyer's agent for Sam. After Sam has bought a house, Davilla can expect payment of a commission from:","either Sam or the seller, depending on how the sales agreement reads.",the seller.,Sam.,Brown.,D. Brown.,"A salesperson may never accept payment from anyone except his or her own supervising broker. In this case, Davilla is a salesperson associated with broker Brown so her commission will come from Brown."
The Civil Rights Act of 1866 prohibits discrimination in real estate based on:,Race,Gender and religion.,Handicap and country of origin.,Race and gender.,A. Race,The law that followed the close of the Civil War extended equal rights in real property to members of all races.
The IRS requires that an independent contractor be:,Strictly regulated in the matter of attendance at sales meetings.,Covered by unemployment insurance.,Paid on the basis of successful transactions rather than hours worked.,Allowed at least one week of paid vacation annually.,C. Paid on the basis of successful transactions rather than hours worked.,"Yes, the IRS requires that an independent contractor be paid on the basis of successful transactions rather than hours worked."
