Question,A,B,C,D,Correct Answer,Feedback / Explanation
Which of the following would be considered a violation of the Fair Housing Act of 1968?,A private club owns a building for the use of its members only and refuses to rent a unit to a couple who are not members.,A man who only owns one home refuses to sell to a man of Asian descent.,A man who owns four houses refuses to rent to a woman with two children.,"A lender refuses to make a loan to Mr. Jack, an African American male, because Mr. Jack has been unemployed for several months and has a history of unemployment.",C,Refusing to rent to a family with children is discrimination based on familial status.
"If the principal instructs the broker-in-charge to violate the law, what should the broker-in-charge do?",Refuse to obey and give the principal the name of another brokerage that would probably do as instructed.,Should do as instructed.,Should withdraw from the transaction.,Proceed very carefully to avoid prosecution.,C,The broker must withdraw to avoid participating in illegal acts.
What law allows borrowers who have been denied credit to view the credit report that was used to make the determination?,Equal Credit Opportunity Act,Sherman -Clayton Act,Fair Credit Reporting Act,Civil Rights Act,C,The Fair Credit Reporting Act gives the right to review credit reports used in decisions.
Why may a license be suspended or revoked?,For making unkind remarks about your competition.,For working for the Buyer and the Seller.,For fraudulent misrepresentation in a real estate transaction.,For refusing to join the Board of Realtors.,C,Fraud in a real estate transaction is grounds for loss of license.
"If a group of competing real estate brokers-in-charge created a ""fee schedule"" of commission rates that all the brokerages agreed to follow, what law would they be violating?",Sherman Anti-trust Act,Code of Ethics,South Carolina Commission Act,Uniform Commercial Code Act,A,Price-fixing among competitors violates the Sherman Antitrust Act.
Which action may the South Carolina Real Estate Commission take?,"Suspend, revoke or cancel any license it issues.",Imprison a violator of the license laws.,Both fine and imprison violators of license laws.,Fine a licensee a maximum of $1000.,A,"The Commission can discipline by suspending, revoking, or canceling licenses."
Wha may cause a licensee to lose their license?,Buying listed properties as an undisclosed principal.,Failing to be employed on a full-time basis.,Soliciting door to door.,Sharing commissions with licensed parties.,A,Failing to disclose when buying property for oneself is prohibited.
The Fair Housing Act has as its primary purpose the:,Elimination of prejudice.,Creation of equal but separate housing.,Creating of minority employment in the United States.,Creation and assurance of fair housing opportunities for everyone.,D,It ensures equal housing opportunities regardless of protected classes.
When applying for a VA loan the veteran must have a document from the Veteran's Administration stating that the veteran is eligible for the loan. This is called a/an:,CRV,Certificate of Eligibility,Certificate of Service,Certificate of Reasonable Value,B,The Certificate of Eligibility proves the veteran qualifies for a VA loan.
"Under the law of contracts when something remains to be done, the contract is said to be a/an ____________contract. When all the conditions of the contract have been met, the contract is said to be a/an ____________contract.",Executory - executed,Executed - executory,Implied -express,Unilateral -bilateral,A,An executory contract is incomplete; executed means fully performed.
In what type of contract do both parties promise to perform specified acts?,Unilateral contract,Option contract,Bilateral contract,Executory contract,C,A bilateral contract contains mutual promises from both sides.
Broker Betty wants to show a property. Betty finds out that a competing brokerage has an exclusive right to sell listing on the property. How should Betty proceed?,Contact the owner directly.,Ask permission from listing agent to show the property.,Hold off until the listing expires.,Advise her customer that state law requires her to be a "Buyer's Agent.",B,Permission from the listing agent is required to show the property.
Which of the following statements is true concerning a "Quitclaim Deed"?,It carries no warranties or covenants.,It warrants that there are no covenants except those recorded.,"It warrants against encumbrances, if any, which are known to the grantor.",It warrants against encumbrances known by the grantee.,A,Quitclaim deeds transfer any interest without warranties.
"If the owner of a property solicits a buyer and sells the property to that buyer while you have an exclusive agency listing, how much commission do you receive?",No commission.,The commission shown in the listing agreement that you would get if you sold the property.,The split stated in the cooperating agency agreement.,On half of the stated commission.,A,Exclusive agency allows the owner to sell directly without paying commission.
What is the primary purpose of the South Carolina Real Estate Commission?,Collect fees and issue licenses.,Issue license through police power.,Protect citizens in the real estate business.,Protect the public through police power.,D,The Commissions purpose is to protect the public interest.
"George pays Dan a sum of money which gives George the right to buy a specific parcel from Dan, within a specified period, and for a specific price. Dan remains in possession of the property. What has George acquired?",A land contract,A purchase money mortgage,A lease-purchase,An option,D,An option is the right to buy at set terms within a certain time.
"A right, benefit, or improvement, that belongs to and becomes part of the real estate is best described as a/an:",Appurtenance,Amenity,Chattel,License,A,An appurtenance is a right or improvement attached to and passing with the property.
A lawsuit in which am African American man was denied the right to purchase a home because of his race became a landmark civil rights decision because it reaffirmed the 1866 Civil Rights Act. What is the name of this case?,Smith vs. Western,Jones vs. Mayer,White vs. Plumber,Brown vs. Murphy,B,Jones v. Mayer confirmed no racial discrimination in property sales.
What is the experience requirement to become a broker in South Carolina?,Six months with an active Associate license,One year with an active Associate license,Five of the past seven years with an Associate license,Three of the past five years with an Associate license,C,SC requires 5 years as a licensed salesperson in the last 7 years.
What is an unlicensed administrative employee of a broker-in-charge allowed to do?,Sell property if it is done under the broker-in-charges direct supervision.,Sell or negotiate deals if they are done in the office.,Refer interested customers to the broker-in-charge or other licensed individuals in the office.,Show property if price is not discussed.,C,Unlicensed staff can refer prospects to a licensee but not sell or negotiate.
"Once they have completed the 60-hour Unit I Pre-License course, how long do students have to wait before they can take the 30-hour Unit II Advanced Principles course?",Six months,Until they pass the State licensing exam,Twelve months,They may take it immediately,D,Both courses can be taken back-to-back with no wait required.
Where does the South Carolina Real Estate Commission receive its police power to protect the public?,The State Legislature,The SC Real Estate Commission,The Department of Labor Licensing and Regulation,The Federal Government,A,The state legislature grants the Commissions authority.
Who would not be required to have a real estate license?,Part time real estate agent,Party selling neighbors home for a fee,Full time real estate auctioneer,Attorney selling a client's property in connection with other legal duties,D,Attorneys acting within their duties are exempt from licensing.
Which is not a duty of the South Carolina Real Estate Commission?,Examining applicants.,Promulgating regulations governing the real estate business.,Issuing licenses.,Arbitrating disputes among licensees.,D,The Commission does not arbitrate disputes between licensees.
"Roberts leaves town and a neighbor, Smiley, sells Roberts' home with Roberts' permission and charges no fee. Which choice is true?",Smiley has broken no law.,Smiley is guilty of a misdemeanor.,Smiley should have charged a reasonable fee,Roberts can be fined for his actions in this matter.,A,Selling without compensation and without license does not violate license law.
"A party living in an open, notorious, and hostile manner on a parcel of land for the time prescribed by law may, under some circumstances, gain title through what process?",Squatters rights,Constructive notice,Prescription,Adverse possession,D,Adverse possession allows legal title after statutory occupation period.
"When an supervised licensee leaves a brokerage, the broker-in-charge should take what action?",Allow the license to expire and not renew since they don't work there anymore.,Give the license to the supervised licensee.,Notify the Board of Realtors.,Return the license to the Real Estate Commission.,D,The broker must return the license to the SC Real Estate Commission.
What is the intended benefit of the truth-in-lending portion of the Truth-in-Lending Integrated Disclosure (TRID) legislation?,To protect lenders.,It protects borrowers by allowing them to compare the cost of borrowing from various firms.,It protects borrowers from paying exorbitant interest rates.,It protects both borrowers and lenders from frivolous lawsuits.,B,It allows borrowers to compare loan terms from different lenders.
How do appraisers normally obtain the square footage of single-family detached homes?,By measuring from the inside,From the title search,From comparables in the neighborhood,By measuring from the exterior,D,Exterior measurements are standard for determining square footage.
A building supply company that delivered shingles to a construction site and did not get paid by the builder may file a ______________.,Tax lien,Special assessment,Mechanics lien,Variance,C,A mechanics lien protects suppliers for unpaid materials or labor.
"Bo owns a large tract of land, and his home is next to the road. Bo sells the back part of his lot to John. At the time of the sale Bo gave John the right to use a 20-foot strip of land across his property for a driveway. This is an _______________.",Encroachment,Easement appurtenance,Easement by necessity,Easement by prescription,B,Easement appurtenant benefits the back lot and runs with the land.
"What do we call any claim, charge, or liability which attaches to and is binding on the real estate is?",Lien,Tax deed,Mortgage,Encumbrance,D,An encumbrance is any burden or limitation on property rights.
Through a condemnation suit the government may acquire private property and convert it to public use under the power of ________________.,Police,Condemnation,Eminent domain,Highest and best use,C,Eminent domain is the power to take property with compensation.
A permissive use that gives no rights to the user because it can be revoked at any time is known as a/an _______________.,License,Encroachment,Restricted covenant,Nonconforming use,A,A license is temporary and can be revoked at will.
All the following are private control of property except which one?,CC & Rs,Conditions,Deed restrictions,Zoning ordinances,D,Zoning ordinances are public (government) controls.
A property use that was legal in the beginning but is now in violation of the current zoning regulations would be a:,Variance,Rezoning,Spot zoning,Non-conforming use,D,Non-conforming use is grandfathered from before zoning changed.
"The document that shows a short history of the title, including the chain of title, would be the ______________.",Abstract of title,Certificate of title,Title insurance policy,Grantor-grantee index,A,An abstract summarizes the chain of title and recorded documents.
All the following are requirements for a valid deed except which one?,Signing by grantee,Signing by grantor,Granting clause,Definite grantee,A,Only the grantor must sign; grantees signature not required.
What type of deed creates the greatest liability for the grantor?,Quitclaim deed,General warranty deed,Special warranty deed,Bargain and sale deed,B,General warranty deed guarantees title against all defects forever.
What type of deed provides warranty by a prior owner only after they acquired title?,Quitclaim deed,Special warranty deed,Bargain and sale deed,General warranty deed,B,Special warranty limits guarantees to the grantors period of ownership.
Title insurance would normally cover all the following except for:,Unrecorded liens,Forged documents,Incompetent grantors,Changes in land use brought about by zoning,D,Zoning changes are not insurable title defects.
"What is the covenant in a general warranty deed whereby the grantor promises to compensate the grantee for any loss suffered because of the condition of the title, other than disclosed encumbrances?",Of quiet enjoyment,Of further assistance,Of warranty forever,Against encumbrances,C,Warranty forever promises to defend title against claims.
"When a grantor gives a document to transfer a possible interest in the property, which clears up defects in the title, the grantee might receive a ________________.",Limited warranty deed,Quitclaim deed,Title insurance,Warranty deed,B,"Quitclaim deeds release any interest, clearing potential title issues."
"When a person dies intestate and with no heirs found, the state has a reversionary interest called ________________.",Escheat,Condemnation,Eminent domain,Remainder estate,A,Escheat returns property to the state when no heirs exist.
The procedures used to record real estate title documents are governed by ________________.,State laws,Acts of Congress,Title company regulations,Rules of various federal regulatory agencies,A,Recording is regulated at the state level.
A recorded deed must have all but which of the following?,Encumbrances,Acknowledgement,Testimonium clause,Delivery and acceptance,A,A deed need not list encumbrances to be valid for recording.
Cities and counties incorporate their long-term land usage goals into what types of documents?,Mission Statements,Zoning Ordinances,Building Codes,Master plan,D,A master plan guides future growth and land use.
The legal premise underlying the definition of littoral rights is that a lake or sea,is not a navigable body of water,should be available to the owner for unrestricted use,is a navigable body of water,is owned by the abutting owners,c,"The legal premise underlying the definition of littoral rights is that a lake or sea is a navigable body of water and, therefore, public property owned by the state"
"Three unique physical characteristics of land are immobility, indestructibility and",heterogeneity,air rights,surface rights,personalty,a,"Land has three unique physical characteristics: immobility, indestructibility, and heterogeneity.  It cannot be moved, destroyed or identical to any other property"
Land cannot be homogenous because,it is indestructible,a parcel of land cannot be moved,no two parcels are alike,no two owners are identical,c,Land is non-homogeneous since no two parcels of land are exactly the same. They are inherently different because each parcel has a unique location
Which of the following concepts is associated with the term real property?,Bundle of rights,Personal property,Intangible property,Chattels,a,Real property is ownership of real estate and the bundle of rights associated with owning the real estate
Which of the following statements is true regarding the bundle of rights?,An owner cannot transfer subsurface rights without transferring air rights,An owner can transfer subsurface rights without transferring air rights,An owner cannot relinquish the right to own the subsurface rights,An owner can never divide the bundle of rights.,b,"The bundle of real property rights also applies separately to the individual components of real estate: the air, the surface, and the subsurface. An owner can, for example, transfer subsurface rights without transferring air rights"
Which of the following is an example of a trade fixture?,A grocers food freezers,A propertys roof,An assigned parking space,Solar panels,a,"Trade fixtures, or chattel fixtures, are items of a tenant's personal property that the tenant has temporarily affixed to a landlord's real property in order to conduct business. Examples of trade fixtures include a grocer's food freezers, a merchant's clothes racks, a tavern owner's bar, a dairy's milking machines, and a printer's printing press"
Plants and crops that grow naturally without requiring anyone's labor or machinery are considered ,emblements,trade fixtures,real property,personal property,c,Plants and crops that grow naturally without requiring anyone's labor or machinery are considered real property. Plants and crops requiring human intervention and labor are called emblements
The conversion of real property to personal property effected by detaching it from the real estate is known as,severance,chattel,attachment,affixing,a,"Severance is the conversion of real property to personal property by detaching it from the real estate, such as by cutting down a tree, detaching a door from a shed, or removing an antenna from a roof"
Which of the following statements regarding the conversion of property is true?,The classification of an item of property as real or personal is not necessarily fixed,The classification of property can never be changed by the process of conversion,The conversion of real property to personal property is not possible,The conversion of personal property to real property is not possible,a,The classification of an item of property as real or personal is not necessarily fixed. The classification may be changed by the process of conversion
"Real estate includes such things as fences, streets, buildings, wells, sewers, sidewalks, and piers. Such man-made structures attached to the land are called",chattels,emblements,trade fixtures,improvements,d,"Real estate includes, in addition to land, such things as fences, streets, buildings, wells, sewers, sidewalks, and piers. Such man-made structures attached to the land are called improvements"
The ownership of real estate and the bundle of rights associated with owning the real estate is defined as,personal property,real property,air rights,subsurface rights,b,Real property is ownership of real estate and the bundle of rights associated with owning the real estate
Which of the following is an example of tangible property?,Stock certificates,Contracts,Listing agreements,Real property,d,"All real estate, by its physical nature, is tangible property. Personal property may be tangible or intangible. Boats, jewelry, coins, appliances, computers, and art work are examples of tangible personal property. Stocks, copyrights, bonds, trademarks, patents, franchises, and listing agreements are examples of intangible personal property"
The right to ____________ the property includes the right to mortgage the property as collateral for debt,enjoy,transfer,encumber,use,c,"The right to encumber the property includes the right to mortgage the property as collateral for debt. There may be restrictions to this right, such as a spouse's right to limit the degree to which a homestead may be mortgaged"
"Since water is a resource necessary for survival, some states -- particularly those where water is scarce -- have taken the legal position that the state owns and controls all bodies of water. Which of the following applies to property owners that must obtain permits for the use of water?",Doctrine of Prior Appropriation,Doctrine of Littoral Rights,Doctrine of Riparian Rights,Zoning Permit,a,"Called the Doctrine of Prior Appropriation, this legality requires that property owners obtain permits for use of water. If a proposed usage is reasonable and beneficial, the state will grant a permit which, over time, can attach to the property of the permit holder"
"If a body of water is entirely contained within the boundaries of an owner's property,  the owner would have which of the following rights?",Littoral rights,Riparian rights,Restricted rights of usage,Unrestricted rights of usage ,d,"The legal premise underlying the definition of littoral rights is that a lake or sea is a navigable body of water and, therefore, public property owned by the state. By contrast, a body of water entirely contained within the boundaries of an owner's property is not navigable. In such a case, the owner would own the water as well as unrestricted rights of usage"
Which of the following statements is true regarding a property owners littoral rights? ,The ownership extends to the low watermark of the body of water,The ownership extends to the high watermark of the body of water,The owner enjoys unrestricted use of the water and owns the land beneath,The owner owns the land beneath the body of water to the waters midstream,b,"Owners of properties abutting a navigable, non-moving body of water enjoy the littoral right of use but do not own the water nor the land beneath the water. Ownership extends to the high-water mark of the body of water"
The primary criterion for distinguishing real property from personal property is,whether the item is permanently attached to the land or the structure,the original cost of the item,whether the item was included in the previous sale of the property,whether the item will be included in the listing agreement,a,The primary criterion for distinguishing real from personal property is whether the item is permanently attached to the land or structures attached to the land
The act of converting personal property to real property by attaching it to real estate is known as,severance,affixing,not possible,accession,b,"Affixing, or attachment, is the act of converting personal property to real property by attaching it to the real estate, such as by assembling a pile of bricks into a barbecue pit, or constructing a boat dock from wood planks"
Which of the following is the primary regulatory entity for the real estate brokerage business?,Federal government,State government,County government,Local government,b,"State governments are the primary regulatory entities of the real estate brokerage business. State governments establish real estate license laws and qualifications. In addition, state governments have established real estate commissions to administer license laws and oversee activities of licensees"
The judicial system exerts an influence on real estate ownership and use through decisions based on,land use regulations and ordinances,county and local government,case law and common law,zoning and permits,c,"The judicial system exerts an influence on real estate ownership and use through decisions based on case law and common law, as distinguished from statutory law. Case law consists of decisions based on judicial precedent. Common law is the collective body of law deriving from custom and generally accepted practice in society"
"""Real estate"" includes such things as","fences, sidewalks, and piers on a parcel of land",mobile homes temporarily parked on a parcel of land,timber that has been cut and is lying on a parcel of land,business equipment an owner or tenant has placed on a parcel of land,a,"The legal concept of real estate encompasses the land and all man-made structures that are ""permanently"" attached to the land. Real estate therefore includes, in addition to land, such things as fences, streets, buildings, wells, sewers, sidewalks and piers. The phrase ""permanently attached"" refers primarily to one's intention in attaching the item"
An "improvement" is,a modification of land to make it more useful,a modification of a structure to enhance its value,a structure intended as a permanent attachment to land,a parcel of land that has been prepared for development,c,"Real estate therefore includes, in addition to land, such things as fences, streets, buildings, wells, sewers, sidewalks and piers. Such man-made structures attached to the land are called improvements"
The physical limits of land are,the surface of the earth and infinite space above the surface,the center of the earth and infinite space above the earth,the surface of the earth and all water and minerals on or below the surface to the center of the earth,the surface of the earth and the air rights above the surface to the point defined by local zoning,b,Subsurface rights apply to land beneath the surface of the real estate parcel extending from its surface boundaries downward to the center of the earth
The "bundle of rights" refers to a set of rights,enjoyed by the owner of a property,that is inseparable from a parcel of real estate,guaranteed to citizens by the Declaration of Independence,specified in a deed or land contract,a,"This group of rights includes the right to Possess, Use, Transfer, Encumber, and Exclude others from using the property. (Remember: ""PUTEE"") Transfer rights include the right to sell, rent, donate, assign, or bequeath. The owner may also encumber the item by mortgaging it as collateral for debt"
The rights to possess and use a property are,inviolable,infinite and unlimited,limited by what the law allows,dependent on the type of property involved,c,"In owning property, one has the right to possess and use it as the law allows"
"By definition, personal property ",includes real property,is any property that is not real property,is any property owned by an individual,is real property that is not attached to real estate,b,Personal property is ownership of anything which is not real estate
The right to encumber a property means that the owner can,build fences and road blocks,use the property as collateral for debt,lease the property,assign the bundle of rights to another,b,"The right to encumber the property essentially means the right to mortgage the property as collateral for debt. There may be restrictions to this right, such as a spouse's right to limit the degree to which a homestead may be mortgaged"
A property owner has the right to transfer water rights,if the owner has not previously separated the bundle of rights,only to the owner of an adjoining property,only if there are water rights attached to the property,without constraint,c,"While all rights are transferrable, the owner can only transfer what the owner in fact possesses. A property seller, for example, cannot sell water rights if there are no water rights attached to the property"
A lease is an example of a(n),transfer of a portion of the bundle of rights,encroachment on the bundle of rights,transfer of the complete bundle of rights,transfer of surface rights,a,An ordinary lease is a common example of the transfer of a portion of one's bundle of rights
Which of the following is included in surface rights?,Air rights,Subsurface rights,Water rights,Mineral rights,c,"Surface rights apply to the real estate contained within the surface boundaries of the parcel. This includes the ground, all natural things affixed to the ground, and all improvements. Surface rights also include water rights"
The right to build a structure on top of an existing structure is an example of,the right to encumber,surface rights,the right to improve,air rights,d,"Air rights apply to the space above the surface boundaries of the parcel, as delineated by imaginary vertical lines extended to infinity"
Water rights include the right to,extract water from the water table,divert surface water onto an adjoining property,prevent a stream or river from flowing onto an adjoining property,own and use a body of water on the surface of the earth,d,"Water rights basically concern the rights to own and use water found in lakes, streams, rivers, and the ocean"
Littoral rights concern which of the following bodies of water?,Lakes entirely contained within the boundaries of an owner's property,Streams and rivers,"Navigable lakes, seas, and oceans",Navigable streams and rivers,c,"Littoral rights concern properties abutting bodies of water that are not moving, such as lakes and seas. Owners of properties abutting a navigable, non-moving body of water enjoy the littoral right of use, but do not own the water nor the land beneath the water. Ownership extends to the high-water mark of the body of water"
"If littoral rights attach to a property, the property extends to",the high water mark of the body of water,the low water mark of the body of water,the center line of the body of water,the property line of a property that also has littoral rights on the opposite side of the body of water,a,Ownership extends to the high-water mark of the body of water
Which of the following is true of littoral rights?,They revert to the state when the property is sold,They cannot be transferred,"They are a personal right belonging to an individual owner, not attaching to the real property",They transfer with the property when the property is sold,d,"Littoral rights attach to the property. When the property is sold, the littoral rights transfer with the property to the new owner"
Riparian rights concern which of the following bodies of water?,Lakes,Seas and oceans,Streams and rivers,Navigable lakes,c,"Riparian rights concern properties abutting moving water such as streams and rivers. If a property abuts a stream or river, the owner's riparian rights are determined by whether the water is navigable or not navigable. If the property abuts a non-navigable stream, the owner enjoys unrestricted use of the water and owns the land beneath the stream to the stream's midpoint. If the waterway in question is navigable, the waterway is considered to be a public easement. In such a case, the owner's property extends to the water's edge as opposed to the midpoint of the waterway"
Who owns the land under a navigable river?,Owners of properties that abut the river,No one,The state,"The municipality, if the area is incorporated",c,"If the waterway in question is navigable, the waterway is considered to be a public easement. In such a case, the owner's property extends to the water's edge as opposed to the midpoint of the waterway. The state owns the land beneath the water"
"If a property has riparian rights, the owner has the right to",pollute the water for a legitimate business purpose,build a dam,require downstream property owners to pay a fee for use of the water,use the water in a way that does not infringe on another's riparian rights,d,One's riparian rights to use flowing water are subject to the conditions that: the usage is reasonable and does not infringe on the riparian rights of other owners downstream  the usage does not pollute the water  the usage does not impede or alter the course of the water flow
"If a property abuts a navigable river, where is the boundary of the property?",At the water's edge,At the high water mark,At the midpoint of the river,At the flood marker,a,"If the waterway in question is navigable, the waterway is considered to be a public easement. In such a case, the owner's property extends to the water's edge"
What is a "fixture?",Any item of personal property located within the boundaries of a parcel of real estate,An item of personal property that has been converted to real property,An item of real property temporarily placed on land for the purpose of conducting a business,An item of personal property that has been left in one location for a period of one year,b,"A personal property item that has been converted to real property by attachment to real estate is called a fixture. Typical examples are chandeliers, toilets, water pumps, septic tanks, and window shutters"
"Even though it is attached to a structure, an item may be considered personal property rather than real property if",the owner originally intended to remove it after a period of time,it can be removed without altering the appearance of the structure,it is unnecessary to the physical integrity of the structure,the owner installed it at some time after acquiring the real property,a,"One's original intention can override the test of movability in determining whether an item is a fixture or not. If someone attached an item to real property, yet intended to remove it after a period of time, the article may be deemed personal property"
The level of government that is the primary regulator of the real estate business is,the county,the state,the court system,the U.S. Congress,b,State governments are the primary regulatory entities of the real estate business
What guarantees the right of private ownership of real estate in the United States?,Common law,Local statutes,The Napoleonic Code,The Constitution,d,The Constitution establishes absolute right of private ownership of real estate
Which of the following is the best definition of real estate?,Land and personal property,Unimproved land,Land and everything permanently attached to it,An ownership interest in land and improvements,c,"Real estate is the land and all things, man made or natural, that are permanently attached to it"
Which of the following is included in the legal concept of land?,The surface of the earth and all natural things permanently attached to the earth,Only the surface of the earth that is delineated by boundaries,The surface of the earth except for lakes and streams,"Everything above, on and below the surface of the earth",a,"Land includes minerals beneath the earth's surface, water on or below the earth's surface, and the air above the surface. In addition, land includes all plants attached to the ground or in the ground, such as trees and grass"
What are the three unique physical characteristics of land?,"Fixed, unchangeable, homogeneous","Immobile, indestructible, heterogeneous","Three-dimensional, buildable, marketable","Natural, measurable, inorganic",b,"Land has three unique physical characteristics: immobility, indestructibility, and heterogeneity"
The primary distinction between the legal concepts of land and real estate is that,real estate includes air above the surface and minerals below the surface,real estate is indestructible,land has no defined boundaries,land does not include man-made structures,d,"Real estate includes, in addition to land, such things as fences, streets, buildings, wells, sewers, sidewalks and piers. Such manmade structures attached to the land are called improvements"
The primary distinction between the legal concepts of real estate and real property is that,real property includes ownership of a bundle of rights,real property includes improvements,"real property is physical, not abstract",real estate can be owned,a,Real property is ownership of real estate and the bundle of rights associated with owning the real estate
Which of the following is included in the bundle of rights inherent in ownership?,To inherit,To tax,To transfer,To vote,c,"In owning property, the owner has the right to transfer ownership of the item (sell, rent, donate, assign, or bequeath)"
Which of the following is an example of intangible property?,Real estate,Personal property,Artwork,Stock,d,"A stock certificate, contract, or patent would be an example of intangible property"
The right to use real property is limited by,the right of others to use and enjoy their property,the police,taxation and subordination,Title 12 of the U.S. Civil Code,a,One's right to use may not infringe on the rights of others to use and enjoy their property
"Surface rights, air rights and subsurface rights are",inviolable,unrelated,separable,not transferrable,c,"The bundle of real property rights also applies separately to the individual components of real estate: the air, the surface, and the subsurface. An owner can, for example, transfer subsurface rights without transferring air rights. Similarly, an owner can rent air space without encumbering surface or subsurface rights"
Which of the following terms refers to the rights of a property that abuts a stream or river?,Allodial,Alluvial,Littoral,Riparian,d,Riparian rights concern properties abutting moving water such as streams and rivers
What part of a non-navigable waterway does the owner of an abutting property own?,To the low-water mark,To the middle of the waterway,To the high-water mark,None,b,"If the property abuts a non-navigable stream, the owner enjoys unrestricted use of the water and owns the land beneath the stream to the stream's midpoint"
What is the "Doctrine of Prior Appropriation?",A pre-emptive zoning ordinance,The right of government to confiscate land and improvements,A doctrine that gives the state control of water use and the water supply,A real estate tax applied to owners of water rights,c,"Since water is a resource necessary for survival, some states -- particularly those where water is scarce -- have taken the legal position that the state owns and controls all bodies of water. Called the Doctrine of Prior Appropriation, this position requires that property owners obtain permits for use of water"
Which of the following is considered real property? ,A tree growing on a parcel of land,A tree that has been cut down and is lying on a parcel of land,A tractor used to mow grass on a parcel of land,A prefabricated shed not yet assembled on a parcel of land,a,"The primary criterion for distinguishing real from personal property is whether the item is permanently attached to the land or to structures attached to the land. For example, a tree growing in one's yard is an item of real property"
The overriding test of whether an item is a fixture or personal property is,how long it has been attached to the real property,its definition as one or the other in a sale or lease contract,how essential it is to the functioning of the property,how it was treated in previous transactions,b,"If a person intended an article to be a fixture, even though the item is easily removable"
What is an emblement?,A piece of equipment affixed to the earth,A limited right to use personal property,A sign indicating a property boundary,A plant or crop that is considered personal property,d,"Plants and crops requiring human intervention and labor are called emblements. Emblements, despite their attachment to land, are considered personal property"
An item can be converted from real to personal property and vice versa by means of which processes?,Assemblage and plottage,Application and dissolution,Affixing and severance,Personalty and severalty,c,"The classification may be changed by the process of conversion. Severance is the conversion of real property to personal property by detaching it from the real estate, such as by cutting down a tree, detaching a door from a shed, or removing an antenna from a roof. Affixing, or attachment, is the act of converting personal property to real property by attaching it to the real estate, such as by assembling a pile of bricks into a barbecue pit, or constructing a boat dock from wood planks"
"The major sources of real estate law are legislation at federal, state and local level, and",court decisions,professional real estate associations,real estate commissions,local practices,a,Regulation takes the form of federal and state laws and regulations; county and local ordinances and codes; and court decisions in the judicial system
What is the primary thrust of federal involvement in real estate law?,Taxation,Licensing,Broad regulation of usage,Zoning,c,"In regulating real property rights, the federal government is primarily concerned with broad standards of real property usage, natural disaster, land description, and discrimination"
Which level of government controls zoning laws?,State,Taxing authorities,Federal,County and local,d,County and local governments have the power to zone land
A grocer temporarily installs special fruit and vegetable coolers in a leased grocery store in order to prevent spoilage. The coolers would be considered which of the following?,Trade fixtures that are real property,Trade fixtures that are personal property,Permanent fixtures that are real property,Permanent fixtures that are personal property,b,"Trade fixtures are items of a tenant's personal property that the tenant has temporarily affixed to a landlord's real property in order to conduct business. Trade fixtures may be detached and removed before or upon surrender of the leased premises. Should the tenant fail to remove a trade fixture, it may become the property of the landlord through accession. Thereafter, the fixture is considered real property"
