Question,A,B,C,D,Correct Answer,Feedback / Explanation
"The subject property is a condominium with monthly assessments of $400.00 due on the first day of each month.  The Seller is current in payment of the assessments as of June 1, and the closing is scheduled for June 15.  What is the amount of the credit or debit, if any is due, and how will it be reflected on the closing statement?",$200 credit to seller; $200 debit to buyer,$200 debit to seller; $200 credit to buyer,$400 credit to buyer,No credit or debit is due,a,"The seller has paid the assessment for the entire month of June and is responsible for the assessments due up to and including the day of closing.  The closing is June 15.  Therefore, the seller is only responsible for 15 days of the $400 total monthly assessment.  In this case, there are 30 days in June.  15 days is ½ of 30, so the calculation would be $400 divided by ½ =$200.  It would show as a credit to the Seller (or a reimbursement for what they have already paid) and a debit to the buyer who is the party who owes the assessment for the time they are the owner"
A lender‘s closing requirements can include all of the following EXCEPT,title insurance,a survey,a certificate of occupancy,a copy of the listing agreement,d,"The lenders closing requirements can include the following:  survey, inspections, hazard insurance, title insurance, certificate of occupancy, reserves for taxes and insurance, private mortgage insurance"
"In order to provide assurance to the lender concerning the quality of the property’s financial position, the lender may require a ",a letter from the seller’s lender that the property is free from liens,"a survey, hazard insurance, title insurance, and escrow for taxes",a certificate of occupancy from the municipality,a signed statement from the appraiser guaranteeing value,b,"The survey illustrates the size of the property and any improvements, easements, structures, or encroachments that affect title.  Hazard insurance protects the condition and liability of the property or property owner.  Title insurance insures title to the property.  A tax escrow provides the lender with the ability to pay the taxes when due to protect their lien"
The real estate agent‘s role during the time between the contract signing and the closing usually involves helping with which of the following pre-closing activities?,"Arranging for inspections, surveys, appraisals, and repairs",Preparing the deed to transfer ownership of the real estate,Arranging and paying for the movers to make the seller's transition easier,Being available to represent the buyer or seller at the closing if there is no attorney,a,"The real estate agent is not allowed to practice law, nor are they expected to be responsible for ordering services on behalf of someone else without their permission. Therefore, common duties fulfilled by the agent include arranging for inspections, surveys, appraisals, and repairs"
"Earnest Money deposits by the buyer count towards the total purchase price of the property.  Therefore, the closing statement would indicate the earnest money as a",credit to buyer,credit to seller,debit to both seller and buyer,prepaid expense,a,"Since the buyer has paid earnest money, generally with the contract, they are given credit for the amount paid against the purchase price on the closing statement"
Lender fees are to be paid by the buyer and are indicated on the closing statement as a,credit to buyer,debit to buyer,paid outside of closing,pre-payment by buyer,b,Lender fees are the responsibility of the Buyer and will be added to the buyer costs
The purchase price is noted on the closing statement as,a credit to seller,a credit to buyer,the total of the purchase price minus earnest money as debit to seller,the total of the purchase price minus earnest money as debit to buyer,a,The purchase price is credited to the seller
How is the pay-off amount to the seller’s lender shown on the closing statement?,Credit to seller,Debit to seller,Not included in the official closing statement,Prepaid by the seller before closing,b,"When the seller has a mortgage, it must be paid off from the closing proceeds.  The pay-off amount is therefore shown as a debit on the seller side of the closing statement since those are funds due by the seller"
"If the seller has pre-paid the annual real estate taxes of $12,000, as well as the monthly $500 assessment through July 31, what would the total amount of the prorations be if the closing date is June 30?","$6,500 ","$6,000 ","$11,500 ","$12,500 ",a,"Real Estate Taxes: $12,000 per year = $1,000 per month, Association Assessment = $500 per month paid through July 31, Closing is June 30, Real Estate Taxes July 1 – December 31 = $6,000, Assessment July 1 – July 31 = $500, Total proration amount is $6,500"
"If the seller has pre-paid the annual taxes, how would the prorations be shown on the closing statement?",As a credit to buyer and a debit to seller,As a credit to seller and a debit to buyer,The amount will not be prorated since it was prepaid,The amount will not be prorated since annual taxes are not prorated,b,"Since Seller has already paid the amounts shown above, the buyer will give a credit to the seller by way of a debit to the buyer on the closing statement"
"If the Seller has paid the monthly homeowner association assessment of $620 for the month of July, what would be the amount of the credit due to the seller if the closing is July 1?",$20 ,$600 ,$620 ,"$1,240 ",b,"Total monthly assessment is $620.    $620/31 days = $20 per day, Seller has paid the July assessment.  Closing is July 1, so the seller owes only 1 day of assessments, Therefore, buyer will credit 30 days (31 days in July) of assessments (30 x $20) to Seller at closing.  $20 x 30 days = $600"
"Using the 12 month/30 day/365 day method, calculate the proration credit for the current year’s real estate taxes that the buyer will receive at closing if the total tax amount for the year is $6,000 and the closing occurs on November 1.  The seller has paid the taxes through June 30",$500.00 ,"$1,500.00 ","$1,972.28 ","$2,038.56 ",d,"Total annual tax = $6,000. Closing November 1.  Taxes paid by seller through June 30 (6 months). Seller is responsible for taxes from January 1 through November 1. $6,000 divided by 365 days = $16.44/day. July 1 – November 1 = 124 days. 124 days x $16.44/day = $2,038.56 credit to Buyer"
"If the sales price of the property is $200,000 and the cost of the state transfer tax stamp is $1.00 per $1,000 of sales price, what is the amount of the transfer tax that is due at closing?",$10 ,$200 ,$100 ,"$2,000 ",b,$1 x 200 = $200
"If the county transfer tax is $.50 per $1,000 of the sales price of the property being sold,  what is the amount of county transfer tax due at closing if the sales price is $250,000?",$250 ,$125 ,$500 ,$25 ,b,$.50 x 250 = $125
"The commission paid is shown on the closing statement as a debit to the seller since this will be paid out of the closing proceeds.  Calculate the amount of commission due if the sales price is $400,000 and the commission rate is 5.5%.","$15,500 ","$20,000 ","$10,000 ","$22,000 ",d,"$400,000 x 5.5% = $22,000"
"If the annual taxes are $12,000, the closing is August 15, and the lender requires 6 months of taxes to be deposited into the escrow at closing, what is the amount of taxes that the lender will require?","$4,000 ","$5,000 ","$6,000 ","$4,500 ",c,"$12,000 per year = $1,000 per month x 6 months = $6,000"
There are certain restrictions placed on the lender when charging borrowers more than the amount on the original Loan Estimate form.  Certain charges that are not affected by the restrictions  include which of the following?,"Property insurance premiums, prepaid interest, and amounts placed into an escrow","Recording fees, attorney fees, and credit report fees",Seller’s loan payoff and per diem interest,Closing cost credits,a,The TILA/RESPA Disclosure Rules allow limited restrictions for these charges to deviate from what was disclosed on the Loan Estimate. The requirement is that the information on the Loan Estimate was based upon the best information reasonably available to the lender at the time the Loan Estimate was provided
The TILA RESPA Integrated Disclosure Rule does not apply to,home equity lines of credit,construction loans,loans or lines of credit to trusts for tax or estate planning,loans secured by vacant land or by 25+ acres,a,"Home equity lines of credit, reverse mortgages and private creditor are types of loans that are not a part of the TRID requirements"
The information itemized on the Closing Disclosure would include the ,list of occupants of the purchased property,debits and credits to buyers and sellers,itemization of the contract terms,buyer credit scores,b,All debits and credits to both the seller and buyer must be listed on the Closing Disclosure
"Charges for third-party services and recording fees paid by or imposed on the buyer or seller are grouped together on the Closing Disclosure and are subject to a 10% cumulative tolerance.  This means that the lender may charge the buyer or seller more than the amount disclosed on the Loan Estimate, as long as the total amount charged does not exceed 10%  ",more than the amount shown on the Loan Estimate,of the total charges in any one group,of the sales proceeds,of the amounts dues to creditors,a,"Charges for third-party services and recording fees paid by or imposed on the consumer are grouped together and subject to a 10% cumulative tolerance (""10% tolerance"" charges). This means the creditor may charge the consumer more than the amount disclosed on the Loan Estimate for any of these charges so long as the total sum of the charges added together does not exceed the sum of all such charges disclosed on the Loan Estimate by more than 10%"
"Closed transactions must be reported to the Internal Revenue Service, according to The Tax Reform Act of 1986.  The information must be reported on the IRS Form",1099-S,1040,1040-SR,W-2,a,The 1099-S is the form required by the IRS to report the names and addressed of the parties and information about the sale proceeds
The Tax Reform Act of 1986 also requires that persons designated by the act as “real estate brokerages” must report a closed real estate transaction to the IRS and provide information contained in the report to each party to the transaction.  The act defines “real estate broker” as which of the following?,The title company staff,The vice president of the mortgage company,The senior executive of the title company,"The seller or buyer brokerage, settlement agents,  or mortgage lenders",d,"The IRS defines the term “real estate broker” for the filing requirement as the seller or buyer brokerage, settlement agents, mortgage lenders"
"If the transaction involves a non-resident alien, the directive of such requirements would be found in the",Foreign Investment and Real Property Tax Act of 1980 (FIRPTA),Foreign Tax Credit Act,Tax Reform Act of 1986,Foreign Housing Costs Act,a,This is the Act that relates to whether or not a tax report must be filed for parties that are non-resident aliens
Which of the following documents should be used to transfer title?,Warranty Deed,Deed of Trust,Release Deed,Affidavit of Title,a,The Warranty Deed is one type of deed that transfers title
Which of the following documents transfers the seller’s personal property?,A handwritten invoice,The bill of sale,The deed ,The sales contract,b,The bill of sale is the document that itemizes the personal property that is to be sold and transferred to the buyer at the closing
Which of the following does RESPA prohibit?,Referral fees and kickbacks,Redlining,"Brokers from earning a commission, as stated in the listing agreement",Brokers from engaging in dual agency,a,"Because RESPA does not allow “kickbacks” from a 3rd party service provider in the transaction, the brokers must disclose to the parties whether or not they may or will be receiving any fees from outside service providers for work done on behalf of the closing and the clients, or if there is an affiliated business arrangement with a 3rd party provider"
"During the period between the signing of the sale contract and the closing date,",the seller may continue to accept offers on the property,the seller may not occupy or use the property,buyer and seller are expected to remove any contingencies that are stated in the contract,buyer and seller continue to negotiate the selling price if either party is dissatisfied,c,"The time period between signing and closing is expected to be sufficient for the removal of any contingencies, such as the buyer's obtaining of financing, the performance of inspections, and the correction of identified physical defects. Failure of either buyer or seller to perform pre-closing actions specified in the contract can delay or terminate the transaction"
"When should a buyer undertake a ""buyer's walk-through"" of a property that is under contract?",Immediately after the offer is accepted,Immediately after closing,As shortly before the closing date as possible,As soon as all inspections have been completed,c,"A final inspection, called a buyer's walk-through, should be conducted as close to the closing date as possible"
"If a sale transaction is to occur in escrow,",the broker has no further involvement,an escrow agent holds funds and documents until all parties have satisfied the conditions necessary for closing,the seller's broker holds the sale documents until the buyer has satisfied the terms of the contract,the buyer's escrow agent and the seller's escrow agent complete the transaction,b,"If the closing occurs ""in escrow"" rather than face-to-face, the principal parties deposit funds and documents with the appointed escrow agent, and the escrow agent disburses funds and releases documents to the appropriate parties when all the conditions of the escrow have been met."
"If the conditions of an escrow agreement are not met and the transaction cannot be completed, the escrow agent",levies a fine against the defaulting party,assigns his or her fiduciary responsibilities to the seller's broker,returns funds to the buyer,cancels the sale contract and destroys the transaction documents,c,"If for any reason the transaction cannot be completed, for instance if the buyer refuses the title as it is offered, or the buyer fails to produce the necessary cash, the escrow instructions usually provide a mechanism for reconveying title to the seller and funds to the buyer. In such a case, both parties return to their original status as if no sale had occurred"
A buyer and a seller have employed an escrow agent to handle a closing.  Which of the following statements is true?,Buyer and seller do not need to attend the closing,The seller receives the earnest money deposit from the escrow agent as soon as the buyer delivers it,The buyer receives legal title as soon as the seller accepts the down payment,The escrow agent certifies the buyer's earnest money check and provides the buyer with an opinion of abstract,a,"If the closing occurs ""in escrow"" rather than face-to-face, the principal parties deposit funds and documents with the appointed escrow agent, and the escrow agent disburses funds and releases documents to the appropriate parties when all the conditions of the escrow have been met.The primary parties at the closing are normally buyer, seller, and a closing agent or escrow officer. Other parties who might be present include the title officer, attorneys, brokers or agents, and the lender's representative. It is not actually necessary for any of these parties to attend the meeting. The closing agent can complete the transaction, provided all documents have been duly executed in advance"
"If the Real Estate Settlement Procedures Act applies to a transaction, the lender must",give the seller a booklet describing settlement costs and procedures,use a prescribed form to disclose settlement costs to the buyer,sign an agreement with seller and buyer to act as closing agent,allow the buyer to inspect the closing statement at least one week prior to the closing date,b,"Effective October 3, 2015, a TILA/RESPA Integrated Disclosure Rule (TRID) integrates the disclosure requirements of RESPA and Truth-in-Lending, replacing the old Good Faith Estimate form and HUD-1 Uniform Settlement Statement a new Loan Estimate form and Closing Disclosure form, respectively"
"To avoid violating the Real Estate Settlement Procedures Act, parties who are providing services to the buyer or seller in a transaction must",be paid before the closing date for any service they provide,inform the closing agent of the cost of their services at least one week before the closing date,"receive payment only from the funds held in escrow, not directly from buyer or seller",disclose in writing any business relationships they have with other parties involved in the transaction,d,"Business relationships and affiliations among real estate firms, mortgage brokers, title insurance firms and other such companies that are involved in a transaction are permitted, provided the relationships are disclosed in writing to the consumer, the consumer is free to go elsewhere for the relevant service, and the companies do not exchange fees for referrals"
"In the context of a closing, proration refers to",determining the amount of the commission that buyer and seller owe their respective agents at the closing,"apportioning an amount paid, received, or due according to the period of time that a party is responsible for the item",determining which expenses the buyer and seller should pay unilaterally outside of the closing,completing the settlement statement,b,"Many of the items to be settled at the closing are partly the responsibility of the buyer and partly of the seller. Some are expense items that the seller has paid in advance, where the buyer owes the seller part of the expense. Some are income items that the seller received in advance, and the seller owes the buyer a part of the income. Others are items the buyer will have to pay in arrears, and the seller owes the buyer part of the expense. The method of dividing financial responsibility for such items is proration. With a prorated item, there is always a debit to one party and a corresponding credit for the same amount to the other party"
"If an item to be prorated affects buyer and seller, and no outside party, which of the following statements is true?",The item must be prorated and recorded as a debit to one party and a credit to the other party for the same amount,The item must be prorated and recorded as a debit to one party; the remainder is recorded as a credit to the other party,"The party who is owed money receives a credit for the entire item, and the party who owes money receives a debit for the prorated amount",The party who owes money receives a debit for the portion owed and a credit for the portion that is not owed,a,"With a prorated item, there is always a debit to one party and a corresponding credit for the same amount to the other party"
An item is said to be paid in arrears if it is normally paid,on a monthly or yearly basis,at some time after the expense is incurred,only after it is billed,whenever it is incurred,b,Items paid in arrears are paid after the expense has been incurred
Which of the following items is paid in arrears?,Apartment rent,A flood insurance premium,A loan origination fee,A real estate tax bill,d,"Typical items paid in arrears are real estate taxes, utility bills and interest on an assumed mortgage"
Which of the following items is paid in advance?,A special assessment for a sidewalk,A commission to a real estate broker,An insurance premium payment,Interest on a home equity loan,c,Hazard and flood insurance premiums are typical items paid in advance
"A seller paid a $100 item in advance.  At closing, the seller has ""used"" only $75 of this item.  What should appear on the closing statement?",A debit to the buyer and credit to the seller for $25,A debit to the buyer for $25 and a credit to the seller for $75,A debit to the buyer for $25 and a credit to the seller for $100,A debit to the buyer and credit to the seller for $75,a,The excess of the buyer's debits over the buyer's credits is the amount the buyer must bring to the closing. The excess of the seller's credits over the seller's debits is the amount the seller will receive at closing.  The excess here is $25
"A seller received a rental payment of $100 in advance.  At closing, the seller has ""earned"" only $32 of this rent.  What should appear on the closing statement?",A debit to the seller and credit to the buyer for $32,A debit to the seller for $68 and a credit to the buyer for $32,A debit to the seller for $32 and a credit to the buyer for $100,A debit to the seller and credit to the buyer for $68,d,The buyer is owed $68 for their share of the rent so they are credited for $68
"A buyer will receive a water bill for an estimated $100 at the end of the month.  At closing, the seller has used an estimated $43 in water.  What should appear on the closing statement?",A debit to the seller and credit to the buyer for $57,A debit to the seller and credit to the buyer for $43,A debit to the buyer and credit to the seller for $57,A debit to the buyer and credit to the seller for $43,b,"For an item the buyer will pay in arrears, the buyer receives a credit and the seller receives a debit. In effect, the seller has incurred some of the expenses that the buyer will be paying for after closing. Thus the seller must pay the buyer the used portion of the expense, or $43"
"A sale transaction closes on April 1, the ninety-first day of the tax year.  The day of closing belongs to the seller.  Real estate taxes for the year, not yet billed, are expected to be $3,150.  According to the 365-day method, what is the seller's share of the tax bill?",$776.71 ,$785.34 ,$959.54 ,"$2,364.66 ",b,"$3,150 / 365 is $8.63 per day.  $8.63 x 91 is $785.34"
"A sale transaction closes on July 4.  The day of closing belongs to the seller.  On January 1, the seller paid a hazard insurance premium of $375 for the calendar year.  According to the 12-month/30-day method, what is the seller's share of the insurance premium?",$183.33 ,$187.50 ,$189.05 ,$191.67 ,d,"This method assumes all months are 30 days and the year is 360 days. The daily proration is therefore $375 ÷ 360, or $1.0416. The closing occurs on the 184th day of the year. Thus, ($1.0416 x 184) = $191.67. Note that if the day of closing is the buyer's, there would be 183 day's worth of prorated expense"
What is the seller's share of the real estate taxes?,"$1,093.98 ","$1,103.01 ","$2,196.99 ","$2,206.03 ",d,"Assuming a 365 day year, the daily tax expense is ($3,300 ÷ 365), or $9.041. As taxes are paid in arrears, the buyer will be paying the annual bill. Thus, he will be owed a credit for the seller's share of the bill, which is $9.041 x 244 days, or $2,206.03"
What is the buyer's share of the existing hazard insurance already paid in full?,$232.05 ,$350.00 ,$467.95 ,$245.55 ,a,"The buyer's share is the unused portion, or (365 days – 244 days), or 121 days. The daily expense is ($700 ÷ 365), or $.9589. ($1.918 x 121) = $232.05. The seller receives this amount as a credit and the buyer a debit"
How much is the buyer's tax and insurance escrow?,"$1,174.00 ","$1,972.00 ","$2,000.00 ","$2,348.00 ",c,"The lender wants the hazard insurance and real estate taxes to be split.  Therefore, the total is $725. $700 x .5 = $350,  $3,300 x .5 = $1650,  $350 + $1650 = $2,000  "
What is the buyer's prepaid interest?,$951.56 ,$984.37 ,"$1,018.31 ","$1,047.33 ",a,"If the buyer pays $984.37 interest for 30 days, the daily expense is ($984.37 ÷ 30), or $32.812. If there are 29 days of pre-paid expense, the buyer's charge is ($32.812 x 29), or $951.56"
How much will the buyer pay for points?,$472.50 ,"$4,175 ","$4,725 ","$4,500 ",c,"$236,250 x .02 (2 points) = $4,725"
How much will the seller pay the broker?,"$7,087.50 ","$7,875 ","$14,175 ","$15,750 ",d,"$262,500 x .06 = $15,750"
