Question,A,B,C,D,Correct Answer,Feedback / Explanation
Carol buys “subject to” VA loan; liability,Carol primarily liable,Neither liable,Greg & Carol equally liable,Greg primarily liable,D,The original borrower (Greg) remains primarily liable; “subject to” does not transfer liability.
Open-End clause benefits borrower when,Prepaid the loan,Loan subordinate to construction loan,Subsequent buyer assumes loan,Borrow additional money,D,Open-end clause allows borrower to borrow additional funds using same mortgage as security.
Mortgage allowing borrowing additional funds later,Equitable mortgage,Extendible mortgage,Open-end mortgage,Junior mortgage,C,Open-end mortgages let borrower take additional funds under original mortgage.
Beneficiary statement identifies,Owner listing loan benefits,Lender stating current balance due,Designating property receiver at death,Insurer stating payout,B,Beneficiary statement shows the loan balance needed to pay off a mortgage.
Market changes to seller’s market,Construction declines,Prices drop,Prices unaffected,Prices rise,D,"When demand exceeds supply, prices rise."
Measure of goods/services produced in a year,Cost of living index,National income,National economic cycle,Gross national product,D,GNP (or GDP) measures total goods and services produced in a year.
Majority of money for real estate loans,Individual savings,Co-op savings,Federal reserves,Government bonds,A,Individual savings are the primary source for mortgage funds.
Lenders try to minimize,Chance of substandard loan,Loan to value ratio,Borrower personal difficulties,Overall net yield,A,Lenders aim to avoid substandard (high-risk) loans in their portfolios.
Credit score used to assess borrower risk,Balance sheet,FICO score,Preliminary report,Pre-approval,B,FICO scores indicate likelihood of borrower default.
Warehousing in real estate financing,Unregulated loans,Financing industrial warehouses,Large bank/S&L,Mortgage company collecting loans before resale,D,Warehousing is collecting loans temporarily before selling them on the secondary market.
Warehousing with regard to mortgages,Selling loans on secondary market,Making low-interest loans,Accepting unsecured loans,Making long-term loans,A,Warehousing often refers to accumulating loans before selling in the secondary market.
FHA financing – buyer would NOT,Buy FHA-compliant home,Apply to bank/S&L,Apply to local FHA office,Pay mortgage insurance premium,C,Buyers do not apply to a local FHA office; the lender handles FHA appraisal.
APR defined by Truth-in-Lending,Cost paid each year including fees,"Total direct costs, variable rate","Only indirect costs, excluding fees",All costs including closing costs,A,APR includes interest and fees expressed as an annual percentage of borrowing cost.
Seller under land contract,Vendor,Vendee,Grantor,Grantee,A,The seller in a land contract is called the vendor; buyer is the vendee.
Discount points on VA/FHA loan,Sales price,Loan amount,Down payment,Appraised price,B,"Discount points are a percentage of the loan amount, not the sales price."
Effect of increased money availability,No effect (TILA),Interest rates go up,No effect (RESPA),Interest rates go down,D,More money in the market lowers interest rates due to supply and demand.
True of a second mortgage,Usually higher interest,Priority over first mortgage,Cannot be security,Not negotiable,A,"Second mortgages are riskier for lenders, so interest rates are higher."
Usury means,Loans without co-signers,Capable of multiple usage,Fluctuating rates,Charging illegally high interest,D,Usury is charging more than the legal maximum interest rate.
Mortgage requiring principal + interest in installments,Amortized loan,Assemblage loan,Annuity loan,Acceleration loan,A,Amortized loans are repaid with regular principal and interest payments.
Primary purpose of Truth in Lending,Control costs to close,Disclose true costs of credit,Disclose only FHA costs,Control interest rates,B,Regulation Z ensures borrowers know the total cost of credit.
Recording an instrument gives,Actual notice,Passive notice,Positive notice,Constructive notice,D,Recording provides constructive notice to the public of a property interest.
A promissory note,Government guarantee,Primary evidence of debt,Agreement to perform acts,Not executed with real estate loans,B,The note is the main evidence that a debt exists.
Loan amount as % of property value,Amortization ratio,Debt to equity ratio,Loan-to-value ratio,Capital use ratio,C,LTV measures the loan as a percentage of collateral value.
Least concern about state economy,Restaurant,Medical building,Hardware store,House,B,Medical buildings rely less on general economic conditions.
Liquidation of debt in installments,Acceleration,Condemnation,Amortization,Conveyance,C,Amortization is repayment of a debt over time in regular installments.
Payment allocation in level-payment amortized loan,"Principal increases, interest decreases","Principal decreases, interest increases",Principal decreases constant,Principal increases constant,A,Each payment reduces principal more over time while interest decreases.
Home loan interest,Discount interest,Compound interest,Simple interest,Annuity interest,C,Most mortgages charge simple interest on outstanding principal.
Note paying only interest,Installment note,Amortized note,Void,Straight note,D,Straight note requires only interest payments; principal due at maturity.
Balloon payment definition,10th payment on 30-year,Entire balance due at end,Interest due before first installment,Payment to avoid prepayment penalty,B,Balloon payment is a lump sum due at the end of partially amortized loan.
Release clause in mortgage,Releases guarantor,Frees portions of property,Creates lien second to taxes,Option to extend due date,B,Release clause allows part of property to be freed upon partial payment.
Employment & GNP rise,All other choices correct,Personal income rises,New residential developments increase,Sales of existing homes increase,A,All listed outcomes occur with rising employment and GNP.
TILA exemption,$20k signature loan,Agricultural loan,VA loan from S&L,$25k credit union loan,B,Agricultural loans are exempt from TILA disclosure requirements.
Cost of credit expressed as,Maximum % rate,Minimum % rate,Monthly % rate,Annual % rate,D,Truth-in-Lending requires disclosure of APR for credit cost.
Mortgage loan insurance provider,VA,FNMA,GNMA,FHA or private insurer,D,FHA and private mortgage insurers provide mortgage insurance.
FHA primarily created to,Provide insurance to approved lenders,Provide secondary mortgage market,Insure all home equity loans,Insure borrowers,A,"FHA insures lenders against losses, facilitating home loans."
Home loan without down payment,GNMA,FHA,Conventional,VA,D,VA loans require no down payment for eligible veterans.
Assumed loan > seller’s basis,Added to basis,Deducted from basis,Part of sales price,Part of down payment,D,Excess loan assumed over basis is treated as down payment for tax purposes.
Limited partners,May use name in business,Not responsible beyond investment,Must have two general partners,May participate in management,B,Limited partners are liable only up to their investment; cannot manage.
Shell space lease landlord spending,Rent abatement,Tenant improvement allowance,Security deposit,Earnest money,B,TI allowance is funds landlord provides to improve leased shell space.
Property value minus liens,Collateral,Equity,Down payment,Actual cash value,B,Equity is the owner’s stake in property after liens are subtracted.
Clause accelerating loan if property alienated,Right to sell,Variable interest rate,Prepayment,Due-on-sale,D,Due-on-sale clause requires full loan repayment upon property sale.
Charging higher than legal interest,Graft,Compounding,Usury,Discounting,C,Usury is charging interest above the legal maximum.
A lender is required under the Truth-in-Lending Act (Regulation Z) to furnish an applicant for a real estate loan with a(n):,Financial statement,Disclosure statement,Amortization schedule,Deed,B,"Regulation Z requires lenders to give a disclosure statement showing APR, finance charges, and other loan terms."
A CORRECT statement about the Federal National Mortgage Association (FNMA) is that it:,Purchases certain mortgages originated by lending institutions,Is the nation's central bank,Insures mortgages through fees,Provides guarantees to lenders,A,"Fannie Mae buys mortgages from lenders, providing liquidity in the primary mortgage market."
Which clause puts an existing mortgage below a later-recorded mortgage?,Subordination clause,Assumption clause,Prepayment clause,Exculpatory clause,A,Subordination clauses allow a later mortgage to take priority over an existing one.
Pledging a freestanding stove and refrigerator as security in addition to real property is a:,Open mortgage,Package mortgage,Blanket mortgage,Wraparound mortgage,B,Package mortgages include both real property and personal property like appliances.
A loan with interest rate increases and decreases during its term is a:,Graduated-payment loan,Reverse-annuity loan,Equity sharing,Adjustable-rate mortgage,D,ARMs have interest rates that adjust periodically based on an index.
Recovering title to property lost through foreclosure is called:,Reclamation,Reparation,Restitution,Redemption,D,Redemption allows the borrower to regain ownership after foreclosure.
"If buyers purchase a home for $142,500 with 100% financing, the loan is likely:",VA-guaranteed,FHA-insured,Conventional,Wraparound,A,VA loans often require no down payment and are guaranteed by the VA.
Capital gain on sale of a principal residence is calculated by:,Subtracting adjusted cost basis from net sales price,Subtracting sales price from purchase price,Subtracting selling expenses from purchase price,Subtracting selling expenses from sales price,A,Capital gain = net sales price – adjusted cost basis.
Tax credits are usually not available for:,Low-income housing,Historic property restoration,Rehabilitation of older buildings,New ventures running at a loss,D,"Credits target community improvements, not new business losses."
Lenders who deal directly with borrowers make up the:,The Fed,Primary mortgage market,Savings and loan,Secondary mortgage market,B,Primary market lenders originate loans directly to borrowers.
Which expense is tax deductible for homeowners?,Utility payments,Mortgage interest,Pest control,Addition of a pool,B,Homeowners can deduct mortgage interest (and property taxes).
"Jones owns a house, cottage, and woodland. Deductible on all three:",Property taxes,Mortgage interest,Both mortgage interest and property taxes,Insurance premiums,A,Property taxes are deductible for all real estate holdings.
Credit lenders may not discriminate on age unless the borrower is:,Minors,Out-of-state buyers,Parents,Part-time workers,A,The Equal Credit Opportunity Act allows age consideration only for minors.
Paying extra points to lower interest rate is called a:,Buydown,Cap rate,Absolute clause,None,A,A buydown involves paying points upfront to reduce interest.
Mortgage payments less than required to cover interest/principal risk:,Graduated payments,Negative amortization,Equity sharing,Conversion of mortgage,B,Negative amortization increases loan balance because payments are insufficient.
Homeowners may NOT deduct:,Property taxes,Depreciation and maintenance,Mortgage interest,Points on purchase mortgage,B,Depreciation/maintenance are not deductible for personal residences.
VA provides additional benefit beyond no down payment by:,Inspecting property,Regulating interest rate,Paying closing costs,Guaranteeing a portion of the loan,D,VA guarantees part of the loan to protect lenders from default.
Truth in Lending Act (Regulation Z) applies:,If loan secured by residence,Loan ≥ $50k,Commercial/agricultural loans,Business loans,A,TILA applies when loans are secured by residential property.
"In some states, the instrument used instead of a mortgage is a:",Negotiable instrument,Release deed,Promissory note,Deed of trust,D,A deed of trust is an alternative to a mortgage for securing a loan.
Mortgage applicants may NOT be evaluated on:,Immigration status,National origin,Source of income,Number/ages of dependents,B,National origin is a protected class under the Equal Credit Opportunity Act.
Which might lend money to buy a home?,Investment group,Credit union,Mortgage broker,Secondary market company,B,Credit unions lend directly to members for home purchases.
"At closing, the mortgagor must:",Execute purchase agreement,Secure deed by signing mortgage,Assign note to third party,Secure note by signing mortgage,D,"Borrower signs the promissory note, secured by the mortgage."
"After mortgage is paid in full, borrower should:",Obtain deed of partial reconveyance,Return mortgage to lender,Record satisfaction of mortgage,Keep paid note in safe,C,Recording satisfaction confirms lien has been released.
Mortgage where seller extends credit to buyer:,Growing equity mortgage,Package mortgage,Purchase money mortgage,Blanket mortgage,C,Purchase money mortgage is seller-financed for all/part of purchase price.
When supply decreases:,Prices & demand drop,"Demand drops, prices rise","Demand rises, prices drop",Prices & demand rise,D,Lower supply often increases both prices and demand.
Finance fee charged by lender is a:,Advance interest,Loan origination fee,Prepayment penalty,Prepayment of mortgage insurance,B,Loan origination fee is the upfront charge to make the loan.
Not true of conventional loans:,Require higher down payment,Requirements uniformly fixed by state law,Policy requirements not uniform,Made without gov’t insurance,B,"Conventional loan requirements vary by lender, not state law."
Lender discouraging loan in minority area is:,Redlining,Steering,Blockbusting,Panic selling,A,Redlining is illegal discrimination based on neighborhood demographics.
Two friends hold property with right of survivorship. Form of ownership:,Tenants in common,Joint tenants,Community property,Tenants by entirety,B,Joint tenants have equal interest and survivorship rights.
"When appraising commercial property, most concern is:",Income generated,Total debt service,Accrued depreciation,Sales prices of comparables,A,Income approach is key in commercial property appraisal.
The primary activity of Fannie Mae is to:,act in tandem with Ginnie Mae to provide special assistance in times of tight money,buy and pool blocks of conventional mortgages and sell bonds that use them as security,buy and sell only VA and FHA mortgages,guarantee mortgages with the full faith and credit of the federal government,B,"Fannie Mae buys existing conventional mortgages, pools them, and sells bonds backed by these pools. Ginnie Mae handles VA/FHA loans."
Which of the following is true regarding an FHA insured loan transaction?,discount points may be paid by the seller or the buyer,interest rate is set by the FHA,mortgage insurance premium may be paid by either the seller or the buyer,mortgage insurance premium must be paid by the seller,A,Either the seller or buyer may pay discount points. FHA does not set interest rates; MIP is paid by the buyer.
Federal income tax regulations allow homeowners to reduce their taxable income by amounts paid for,repairs and maintenance,real estate property taxes and interest,both principal and interest,hazard insurance premiums,B,"Real estate taxes and mortgage interest are deductible. Repairs, maintenance, and insurance are not."
A lender's interest in a mortgage loan with a high LTV (loan-to-value) ratio is protected by obtaining additional security from:,impound accounts,the borrower's note,private mortgage insurance,title insurance,C,Loans over 80% LTV typically require PMI to protect the lender. Title insurance and impound accounts serve other purposes.
A purchaser is qualified to obtain an FHA loan for his new home. Through which of the following would he obtain his loan?,An FHA lender,The FHA,Fannie Mae,Freddie Mac,A,FHA loans are made through FHA-approved lenders. FHA insures loans but does not lend directly.
"In a fixed-rate, fully amortized loan:",each mortgage payment reduces the principal by the same amount,each mortgage payment amount is the same,the principal amount in each payment is greater than the interest amount,a balloon payment will be made at the end of the loan,B,"Fully amortized loans have equal payments. Interest portion declines, principal portion grows over time."
The CFPB (Consumer Financial Protection Bureau) requires that:,brokers are responsible for verifying the new loan disclosure matches the new loan estimate,lenders provide the borrower with a new loan estimate at the time of application or no more than three days after application,real estate brokers and lenders must include the APR and all charges in all real estate advertisements,lenders provide a closing statement to all purchasers of residential or commercial properties,B,CFPB/TRID requires lenders to provide a loan estimate within three business days of application.
"A purchaser negotiates a mortgage loan in which she will make equal monthly payments over a period of 30 years, with the balance of the loan being zero at the end of that term. The purchaser has negotiated a(n)",straight mortgage,partially-amortized loan,fully-amortized loan,balloon mortgage,C,Fully-amortized loans have equal payments resulting in a zero balance at the end of the term.
The term of a loan is the,time required to underwrite the loan,years required to pay private mortgage insurance,length of time the borrower has to repay the loan,time period in which a borrower may cancel a loan contract,C,Loan term is the length of time the borrower has to repay the loan.
What is the clause in a mortgage instrument that prevents the assumption of a mortgage by a new purchaser without the lender's permission?,due-on-sale clause,power of sale clause,acceleration clause,defeasance clause,A,Due-on-sale clause prevents assumption of the mortgage without lender approval.
Fee for services means,working only with for-sale-by-owners,providing consumers all the same services for a discounted price,allowing non-licensees to conduct real estate transactions,the consumer only pays for services actually used,D,Fee-for-service allows the consumer to pay only for the services actually used.
"A homeowner has owned her house for over 65 years. It has fallen into disrepair, but because she lives on a fixed income, she does not have the money to make the needed repairs. She has a considerable amount of equity in the house. What type of loan would BEST provide her the funds to make the necessary repairs?",Blanket loan,Open-end loan,Reverse-mortgage,Home equity loan,C,"Reverse mortgage allows seniors to borrow against home equity without monthly payments until sale, default, or death."
The right of borrowers who have defaulted on a loan to redeem their property after the sale of a foreclosure for a certain period of time established by law is called a(n):,owner's right of redemption,mortgagee's right of redemption,statutory right of redemption,equitable right of redemption,C,Statutory right of redemption allows borrowers to reclaim property after foreclosure within a legal period.
Conventional loans are viewed as the MOST secure loans because,private mortgage insurance protects the lender for the full amount of the loan,they are not purchased by investors in the secondary mortgage market,they are government insured loans,their loan-to-value ratios are often lower than other types of loans,D,"Conventional loans usually have down payments ≥20%, resulting in lower LTV and higher security."
Conventional loans are viewed as the MOST secure loans because,they are government insured loans,they are not purchased by investors in the secondary mortgage market,their loan-to-value ratios are often lower than other types of loans,private mortgage insurance protects the lender for the full amount of the loan,C,Lower LTV ratios make conventional loans less risky.
A loan fee charged by a lender to increase the lender's yield on a loan is:,the interest,the yield,the principal,a discount point,D,Discount points increase lender yield. One point = 1% of loan amount.
In a fully amortized loan:,"interest may be paid in arrears, at the end of each period during which it is accrued",only the interest is paid in each payment period,the final interest payment will be determined after the last payment is made,the interest portion of each payment increases throughout the term of the loan,A,"Interest is usually paid in arrears; payments first cover interest, then principal."
The clause in a trust deed or mortgage which permits the mortgagee to declare the entire unpaid sum due upon a default by a mortgagor is called:,a forfeiture clause,a judgment clause,an acceleration clause,an escalator clause,C,Acceleration clause allows the lender to demand full payment upon default.
The deed in which you take title to a property contains the clause "subject to the existing loan". This means:,the lender is guaranteed that you alone will pay off the loan,you are in danger of losing the property if the seller does not make the payments on the underlying loan,the seller is permanently relieved of any liability,you agreed to assume the loan and make the payments directly to the lender in your name,B,"""Subject to"" means the buyer takes the property but the seller remains responsible for the loan."
"If advertised alone, which would be in violation of TRUTH IN LENDING?","""assumable loan""","""FHA financing available""","""No down payment required.""","""easy financing terms""",C,"""No down payment required"" triggers TILA disclosures; non-specific terms like ""easy financing"" do not."
A balloon payment is usually associated with a,package mortgage,large payment during the term or at the end of the payment schedule,variable mortgage that varies with the cost of living index,blanket mortgage,B,Balloon payments are large payments due at the end of the loan term.
"A borrower takes out a mortgage loan with monthly payments of $875.70 for 20 years, and a final payment of $24,095. This is what type of loan?",Variable,Wraparound,Accelerated,Balloon,D,A balloon loan has a large final payment not fully amortized over the term.
A mortgage that covers more than one parcel of real property would be:,Blanket mortgage,Junior mortgage,Package mortgage,Open-ended mortgage,A,"Blanket mortgages cover multiple parcels, often used by developers."
"The amount of the prepayment penalty when a veteran pays off a $5,200 VA loan is:",nothing,$52 ,1% of the original loan,0.5% of the original loan,A,VA loans do not have prepayment penalties.
A builder offers cash to the lender at closing so buyers get a lower interest rate. What type of loan is this?,Participation,Buydown,Equity,Open-end,B,Buydown loans reduce interest rates temporarily through upfront payment.
A loan made with real estate as security without government participation is a:,Bancroft bond,Budget mortgage,Standby loan,Conventional loan,D,Conventional loans are private loans not insured or guaranteed by the government.
Which is NOT a characteristic of a conventional loan?,Not insured/guaranteed by a public agency,Security rests on borrower ability and collateral,It is never insured by a private agency,LTV usually ≤80% without PMI,C,Conventional loans can be insured privately; “never insured” is false.
"Concerning typical land sale contracts, which is correct?",Buyer has absolute assurance of title,Buyer not responsible for taxes until deed delivered,Similar to lease; buyer has possession but not title,"Least secure method; seller retains title, buyer is equitable owner",D,Land contracts retain title with seller; buyer has equitable ownership.
A late payment penalty in a loan is to:,penalize prepayments,raise lender’s yield,motivate timely payments,adjust interest rate,C,Penalties incentivize timely payments.
"A lender investing in long-term real estate loans, prefers commercial properties, and does not service loans is a:",Life insurance company,Savings & loan,Commercial bank,Credit union,A,Life insurance companies prefer large commercial loans and rarely service them.
"After final mortgage payment, records still show a lien until:",estoppel filed,novation,reconveyance delivered,satisfaction recorded,D,Recording a satisfaction releases the lien officially.
"To have a valid real estate loan contract, it must:",Be notarized,Be in writing,Be recorded,Have grantor's signature,B,Statute of Frauds requires written contracts for real property loans.
A mortgage broker arranges home loans using:,Money from financial institutions,Open market funds,Personal funds,Borrowers' funds,A,Brokers use funds from banks or other financial institutions.
A mortgage results in:,Judgment lien,General lien,Specific contractual lien,Agreement without lien,C,Mortgages are specific liens on the financed property.
A characteristic of a partially amortized loan is:,All have variable interest,No loan balance at term end,Balloon payment at term end,Terms of 25 years,C,Partially amortized loans have a final balloon payment.
A mortgage is usually accompanied by:,Conditional sales contract,Promissory note,Title policy,Deed,B,The promissory note is the borrower’s promise to repay.
"When obtaining a home loan, which is NOT true?",Promissory note is a written promise,Note must accompany mortgage before funding,Note not required if >30% down,Note serves as security,C,Promissory note is always required; down payment does not change that.
A Purchase Money Mortgage is:,Used in installment contract,Given from buyer to seller to secure purchase,On personal property,Partial release of first mortgage,B,Buyer gives seller a mortgage to secure purchase price (seller financing).
A buyer taking title "subject to" a mortgage should request a:,New mortgage,Deficiency judgment,Satisfaction affidavit,Reduction certificate,D,Reduction certificate shows remaining loan balance.
A typical subordination clause in a deed of trust:,Prohibits payoff early,Allows renegotiation,Forbids junior liens,Places lien inferior to others,D,Subordination clauses set lien priority under other liens.
Absence of which clause may cause financing difficulties when buying land and planning construction later?,Acceleration,Release,Subordination,Alienation,C,Lender may require subordination for future construction financing.
Who provides funds for VA loans?,Approved lenders,Freddie Mac,HUD,Secondary market,A,VA loans are guaranteed but funded by approved lenders.
Court order directing sheriff to sell property to satisfy judgment:,Writ of execution,Security agreement,Writ of attachment,Foreclosure,A,Writ of execution enforces judgment through property sale.
Truth in Lending disclosure must include:,"APR, late fee, total monthly payments","APR, late fee, total repayment amount","APR, late fee, finance charges","APR, late fee, total interest",B,"Regulation Z requires total repayment amount, APR, and late charges."
"Yuters purchase $75,000 home with $15k down, assume $23k mortgage, finance $37k with seller second mortgage. Type of loan?",Balloon note,Part purchase mortgage,Wraparound mortgage,Package mortgage,B,Part purchase mortgage (“purchase money second”) finances remaining balance.
An impound/reserve account MOST benefits:,Trustee,Lender,Borrower,Trustor,B,"Ensures taxes and insurance are paid, protecting the lender."
A VA loan may be granted if:,Down payment ≥10%,Amortized ≤20 years,Borrower agrees to live there,Rent collected covers mortgage,C,VA loans require occupancy by the borrower.
Maximum permissible loan-to-value ratios are:,"Based on sale price or appraised value, whichever is lower",Based on banker's CMA,Not determined for FHA,Fixed by law for conventional,A,LTV uses lower of sale price or appraised value.
Clause allowing lender to call entire unpaid balance due upon default:,Acceleration,Cancellation,Defeasance,Balloon payment,A,Acceleration clause allows lender to demand full payment upon default.
"To have loan due if property is resold, which clause is required?",Substitution,Defeasance,Alienation,Subordination,C,Alienation clause (“due-on-sale”) triggers repayment if property changes hands.
"Under TRID, a lender must extend the closing how many business days if the APR is increased by more than .125% before closing?",Three,Two,Seven,Five,A,TRID requires a new three-business-day waiting period if the APR changes by more than 0.125% for fixed-rate loans (0.25% for adjustable-rate loans).
A clause in a loan document which makes the payments periodically increase is known as a,interest clause,acceleration clause,escalation clause,alienation clause,C,"Escalation clauses allow loan payments to increase at set intervals, often to make the initial payments lower."
A clause may be inserted into a lease allowing rent to increase based upon a formula. This is known as a:,contingency clause,habendum clause,escalation clause,acceleration clause,C,"Common in commercial leases: rent increases tied to inflation, operating costs, or pre-determined schedules."
"To help a buyer get an FHA loan, a real estate broker should put the buyer in contact with",Federal Home Loan Mortgage Corporation,designated FHA appraiser,lending institution approved by FHA,FHA,C,Only approved lenders can originate FHA-insured loans.
"On an FHA loan, which of the following would the buyer not be required to do?",Make a 20% down payment,Provide mortgage insurance,Meet FHA credit standards,Find an approved lender,A,"FHA loans require lower down payments (as low as 3.5%), not 20%."
Which of the following is not a characteristic of an FHA loan?,Maximum debt is determined by a formula,Lender is insured against loss,Mortgage insurance premium is charged,FHA provides the money for the loan,D,FHA insures loans made by approved lenders; it does not directly provide funds.
Who is the recipient of the mortgage insurance payment on an FHA insured loan?,Lending institution,Mortgagor,FHA,State real estate organization,C,Mortgage insurance premiums are paid to the FHA to protect the lender.
Why would a mortgagee (beneficiary) have an appraisal on the property?,Protect the buyer from fraud,Determine value for tax purposes,Ensure value covers the loan,Make sure buyer didn’t overpay,C,Lenders require appraisals to confirm the property value is sufficient to secure the loan.
A standardized measurement expressing the true annual cost of borrowing is expressed as the what?,Regulation Z,APR,ECOA,RESPA,B,APR (Annual Percentage Rate) includes interest plus fees to show true cost of borrowing.
An owner was selling his own home. Can he advertise the down payment?,"No, violates Regulation Z","Yes, if listed with broker","Yes, because it’s his own home","No, violates RESPA",C,Individual homeowners are generally free to sell their own homes without Truth in Lending restrictions.
The rescission provisions of the Truth in Lending Act apply to which transactions?,Consumer credit,Construction lending,Agricultural loans,Business financing,A,"The right of rescission applies to consumer credit transactions, not business or agricultural loans."
Conventional loans are made from,Fannie Mae funds,FHA funds,Home Owners Loan Corporation,Private sources,D,"Conventional loans are funded by private lenders, not government programs."
"During a period of high inflation, the Federal Reserve Board can limit, to some degree, the expansion of currency by:",Increasing reserve requirements,Increasing income tax,Decreasing reserve requirements,Decreasing income tax,A,"Higher reserve requirements reduce bank lending, slowing money supply growth."
Which transaction requires a securities license?,Selling shares in Fannie Mae,Leasing a commercial building,Sale-leaseback,Selling a warehouse,A,Selling shares in Fannie Mae requires a licensed securities broker.
A Savings & Loan institution would be violating the Federal Fair Housing Act by denying a loan to Mr. and Mrs. Sparks for which reason?,Low earnings,Credit history,Minority background,Age,C,"Discrimination based on race, color, religion, sex, familial status, or disability is prohibited."
Which of the following liens will have first priority?,Primary mortgage lien,Mechanic's lien,Judgment lien,Property tax lien,D,Tax liens generally take priority over all other liens during foreclosure.
"From a lender's point of view, the most important consideration in granting a mortgage loan is the:",Borrower’s need for money,Risk of default,Availability of money,Neighborhood,B,Lenders prioritize the borrower’s ability to repay the loan.
Funds for conventional loans are received directly from whom?,Federal Housing Mortgage Association,Government National Mortgage Association,Private parties and nongovernmental institutions,Federal National Mortgage Association,C,"Conventional loans come from private lenders, not government agencies."
"The lender is not insured or guaranteed against a loss, by reason of the borrower’s default, under which type of loan?",Conventional,GI,VA,FHA,A,Conventional loans do not carry government insurance or guarantees.
"If an individual gives his property as security for a debt, but does not give up possession, he has",Devised,Hypothecated,Conveyed,Converted fee simple,B,Hypothecation allows the borrower to pledge property as collateral without surrendering possession.
"A homeowner defaults on their mortgage. After the foreclosure sale (in most states), the homeowner has a right of:",Estoppel,Non-foreclosure,Reinstatement,Redemption,D,Redemption allows a defaulted homeowner to reclaim the property by paying owed amounts within a statutory period.
"In an installment land contract, what type of title did the seller retain?",Equitable,Record,Legal,Joint,C,The seller retains legal title until the buyer completes payments; the buyer has equitable title.
"If a single parent is applying for a real estate loan, when must income from child support be revealed?",If relied on for repayment,"Never, violates ECOA",Only if income < $25k,If >50% non-wage income,A,Only income relied upon for qualifying for the loan must be disclosed.
It would be to the advantage of lending institutions to waive prepayment penalties when which of the following occurs?,"Funds short, demand high",Fed sets bank standards,"Funds easily available, demand low",Fed raises discount rate,A,"Waiving penalties encourages payoff, creating funds to lend when demand is high."
"Just as his foreclosed property is about to be sold at public auction, a mortgagor appears with sufficient funds to prevent the sale by exercising his right of:",Redemption,Umbrage,Lis pendens,Habendum,A,The equitable right of redemption allows a borrower to prevent foreclosure by paying owed amounts before the sale.
A buyer wants to take out an FHA loan. The broker should refer the buyer directly to:,Federal National Mortgage Association,FHA appraiser,Federal Housing Administration Office,Any approved lending institution,D,Only FHA-approved lenders can originate FHA-insured loans.
Life insurance company mortgage holdings are greatest in:,Large commercial/apartment loans,Farm loans,FHA & VA residential loans,Conventional residential loans,A,Life insurance companies favor large commercial and apartment loans for long-term investments.
