Question,A,B,C,D,Correct Answer,Feedback / Explanation
Undue influence or duress applied to a party makes the contract:,Unenforceable,Void,Invalid,Voidable,D,Contracts under duress or undue influence are voidable; the affected party may rescind.
A voidable contract is:,Valid now but can be voided by one party for cause,Binding on neither party,Subject to disciplinary action,Has no force or effect,A,A voidable contract is valid until rescinded by the affected party.
"According to Statute of Frauds, which must be in writing?",9-month lease,Purchase contract for a single-family home,Lease on seasonal fruit tree,Bill of sale for appliances,B,Real estate purchase contracts must be in writing to be enforceable.
"Buyer not informed about septic tank and system fails before possession, buyer may:",Sue title company,Sue broker,Remain silent,Rescind the contract,D,Failure to disclose material facts allows the buyer to rescind.
Contract where one party cannot revoke offer for a period:,An option,Estate for years,Listing contract,Ratification,A,An option contract keeps the offer open for a specific period; optionor cannot revoke.
Any advance fee contract must include all except:,Detailed services description,Date fee to be paid,Total advance fee amount,Guarantee of sale completion,D,No guarantee of success; must disclose services and fee details.
A listing agreement is essentially a/an:,Purchase contract,Option to sell,Unilateral contract,Employment contract,D,Listing agreements are employment contracts where broker is employed to find a buyer.
Listing where owner pays commission even if she sells:,Exclusive agency,Exclusive right to sell,Open listing,Net listing,B,Exclusive right to sell guarantees broker commission regardless of who sells.
Prospective purchaser may withdraw offer before seller acceptance:,If no deposit,If offeree breached,For any reason,Unless offer is irrevocable,C,Buyer may cancel anytime before acceptance for any reason.
"Option exercised on commercial property, when must optionee perform?",Whenever they want,When optionor demands,Under terms of option contract,Within 6 months by law,C,Performance is governed by terms agreed in the option contract (price and timeframe).
"Agent promised advertising but did not perform, guilty of:",Actual fraud,Comprehensive fraud,Objective fraud,Constructive fraud,A,Intentionally failing to perform a promised act constitutes actual fraud.
Which is NOT true about an option?,Optionee has no interest until exercised,Optionor can revoke offer during period,Optionor retains money if unexercised,Option rights assignable unless noted,B,False: Optionor cannot revoke during the option period.
Broker entitled to commission for negotiations started during listing but completed after expiration:,Listing has liquidated damages clause,Completion during protection period,Listing involves property exchange,Broker sues principal,B,Protection/safety clause allows broker to earn commission for deals closing after listing term.
"""Quiet enjoyment and possession"" means:",Right to tell neighbors to be quiet,Nuisance from adjacent landowners,Possession without disturbance from owner of paramount title,Free from all encumbrances,C,Tenant has the right to enjoy property without interference from superior title holders.
A contract in which all parties have fulfilled their promises is a(n):,Expired contract,Executed contract,Executory contract,Contingent contract,B,An executed contract has been fully performed by all parties.
The primary purpose of a listing agreement is to:,Give broker permission to sell all principal's properties,Serve as a contract of employment between owner and broker,Serve as a guide for a sales contract,List all improvements and amenities,B,Listing agreements define the broker’s employment to find a buyer for the property.
Which would not make a contract voidable?,Duress,Illegal purpose,Undue influence,Fraud,B,"Contracts with illegal purpose are void, not voidable. Voidable contracts arise from duress, fraud, or undue influence."
"All of the following are essential elements of every valid contract, except:",Payment of money,Legal act,Capable parties,Meeting of the minds,A,"Essentials: capable parties, lawful object, consideration, mutual consent. Payment occurs upon performance."
The document that defines the relationship between the broker and the seller is the:,Disclosure statement,Exclusive agency contract,Purchase contract,Listing agreement,D,Listing agreements define the broker-principal relationship.
Which is NOT a type of listing contract?,Open listing,Exclusive agency,Exclusive right to sell,MLS contract,D,MLS contract is not a listing; it’s a cooperative advertising agreement.
An offeree has the right to:,Reject an offer,Revoke an offer,Rescind an offer,Release an offer,A,Offeree may accept or reject; only offeror can revoke or rescind.
Which is NOT required for a contract to be legally binding?,Mutual consent,Legal capacity,Writing,Lawful object,C,"Not all contracts require writing, except those covered by the Statute of Frauds."
Janice makes an offer and gives her agent a check. When is it enforceable?,As soon as Richard receives offer and check,When Janice is notified seller accepted,As soon as seller receives offer and check,When check clears,B,Acceptance must be communicated to the offeror; then the contract is enforceable.
Prevents adopting a position conflicting with previous action?,Fiduciary duty,Lis pendens,Doctrine of estoppels,Doctrine of good faith,C,Estoppel stops a person from contradicting prior positions or actions.
"Monies, labor, supplies given by landlord to tenant for occupancy:",Interim occupancy agreement,Tenant improvement allowance,Security deposit,Earnest money,B,Tenant improvement allowance is funds provided to customize or improve leased space.
Albert coerced into signing contract with threats. Contract is:,Enforceable,Void,Illegal,Voidable,D,Contracts signed under duress are voidable by the coerced party.
Exclusive agency listing; owner sells independently. Broker receives:,Full commission,No commission,Half commission,Expenses incurred,B,Exclusive agency: broker earns commission only if they procure the buyer.
Listing where owner must pay commission even if self-sells:,Exclusive right to sell,Exclusive agency,Restricted listing,Non-exclusive listing,A,Exclusive right-to-sell guarantees broker commission regardless of who sells.
"By signing exclusive right-to-sell listing, seller contracts with:",Broker,MLS,Sales Agent,Buyer,A,Listing is a bilateral employment contract between seller and broker.
Buyer withdraws offer before acceptance; what happens?,Seller entitled to half earnest money,Buyer gets refund,Seller may sue for specific performance,Broker may sue for performance,B,No contract exists until acceptance; earnest money returned.
Buyer dies before notified of seller acceptance. Effect?,Notification binds estate,Death revokes offer,Contract enforceable,All correct,B,Offer terminates upon death before acceptance is communicated.
An executed contract is:,Under probate court,Requires novation,Completed and fully performed,"Signed, notarized, recorded",C,Fully performed by all parties.
A voidable contract remains binding until:,Discovered,Rescinded,Invalidated,Qualified,B,Voidable contracts are valid until the affected party rescinds.
Option given for purchase of property is:,Same as land contract,Involuntary lien,Contract to keep offer open,Offer to revoke,C,Option keeps the offer open; seller cannot revoke.
True concerning an option contract:,Title dates back,Only optionor bound,All answers correct,Optionee has no interest,C,Optionor cannot revoke; optionee not obligated; rights follow rules stated.
Not a necessary element for forming a contract:,Offer,Acceptance,Consideration,Performance,D,"Performance occurs after formation; elements needed: offer, acceptance, consideration, legal purpose, competent parties."
Contract between seller and licensee for commission if buyer procured:,Unilateral executed,Bilateral executory,Unilateral executory,Bilateral executed,B,Both parties promise performance; contract is bilateral and executory until completed.
Contract allowing agent commission if anyone (even owner) sells:,Open listing,Exclusive right to sell,Net listing,Exclusive agency,B,Exclusive right-to-sell: broker earns commission regardless of who sells.
Necessary for valid conditional installment sales contract:,"Lawful object, competent parties, offer/acceptance, writing","Consideration, offer/acceptance, lawful object, competent parties, writing","Consideration, offer/acceptance, expressed time, price","Consideration, offer/acceptance, mutuality, competent parties, writing",B,"Essentials of a valid contract: consideration, offer/acceptance, lawful object, competent parties, writing if required."
Written agreement allowing use of property and right to buy:,Estate at sufferance,Listing contract,Lease option,Estate for years,C,Lease option allows tenant to lease and have right to buy property later.
Which terminates original offer?,Performance,Forfeiture clause,All options,Counter offer,D,"Counteroffer creates new offer, terminating the original."
Voidable contract is:,No legal effect,"Valid, but may be rejected",Contains all essentials,Valid but cannot be sued,B,Voidable is enforceable unless the affected party rescinds.
Substituting one party for another in contract is:,Rescission,Novation,Waiver,Redaction,B,Novation replaces parties or obligations with consent of all involved.
Buyer enters verbal contract for house with earnest money. Legally:,Unenforceable,Executed,Void,Enforceable,A,Verbal real estate contract is unenforceable under the Statute of Frauds until written.
"Under a lease for a commercial property, a tenant agrees to pay $4,000 per month plus 3% of the gross monthly sales. This type of lease is called a:",ground lease,percentage lease,net lease,triple net lease,B,A percentage lease requires the tenant to pay a base rent plus a percentage of gross sales made on the property.
A salesperson who prepares a written listing agreement with a seller is helping to create a contractual relationship between the:,salesperson and the listing broker,salesperson's broker and the seller,salesperson and the buyer,salesperson and the seller,B,"Listings belong to the broker, not the salesperson, even if the salesperson solicited the listing."
One of the required elements of a valid real estate sales contract is that it MUST:,provide for method of payments,be signed by the buyer,provide for possession of the property by the buyer,be signed by the seller,D,A valid real estate sales contract must be signed by the seller; buyer signatures affect enforceability.
"Under a sales contract, the legal remedy that may be used to force the seller to consummate the sale is called:",specific performance,a writ of execution,foreclosure,an unlawful detainer,A,Specific performance is a court order requiring the seller to complete the sale.
"If a lessee pays a fixed amount of rent plus all expenses such as taxes and insurance, the lease is known as a:",percentage lease,gross lease,graduated lease,net lease,D,A net lease requires the tenant to pay rent plus some or all operating expenses.
A lease that provides for periodic increases of rent at regular intervals is called a:,percentage lease,yearly lease,graduated lease,long-term lease,C,A graduated lease has rent adjustments at specified intervals during the lease term.
"When a contract states that ""time is of the essence,"" the contract MUST be delivered and presented:",within forty-eight hours,within two business days,within twenty-four hours,as soon as possible,D,"""Time is of the essence"" means that all dates in the contract are mandatory and must be adhered to."
"If the owners of a shopping center want a major department store's lease to provide rental payments that reflect the store's sales, they are MOST likely to use which of the following types of leases?",Flat fee,Net,Percentage,Gross,C,A percentage lease ties rent payments to a percentage of the tenant’s gross sales.
"With the exception of court-ordered sales, the amount of earnest money to be deposited by a prospective buyer is determined by the:",state real property law,local real estate association,agreement between the seller and the buyer,listing broker,C,Earnest money is agreed upon between buyer and seller to show good faith.
"In the event that a buyer fails to perform on an agreement to purchase, the seller may be allowed to keep the earnest money deposit as:",compensatory losses,due compensation,an escrow bonus,liquidated damages,D,Contracts often state that earnest money may be kept as liquidated damages if the buyer defaults.
"A written purchase agreement has been signed by both a buyer and a seller. The Uniform Vendor and Purchaser Risk Act states that until the buyer has either possession of or title to a property, responsibility for the physical condition of the property:",is assumed by the seller's homeowner's insurance company,"is delegated to the buyer, who upon signing has equitable title to the property",remains with the seller,is given to a third party,C,Responsibility for hazards or damage remains with the seller until the buyer has possession or title.
Each party is bound to a specific date for performance if a real estate sales contract contains:,a provision that time is of the essence,a time limit for the buyer to secure mortgage financing,a due-on-sale clause,a congratulatory clause,A,"""Time is of the essence"" makes dates and deadlines critical and mandatory in the contract."
"To be valid, an exclusive listing contract must contain all of the following except:",the signatures of all interested parties,an expiration date,the final contract price,a description of the property,C,"The final contract price is determined after an offer is presented and accepted, not at the listing stage."
"A promise in exchange for a promise, supported by consideration, is the basis for a:",offer to lease,multilateral contract,unilateral contract,"valid, binding, bilateral, contract",D,A bilateral contract involves a mutual exchange of promises supported by consideration.
"Jones, the seller, receives an offer to purchase and puts forth a counteroffer to Brown, the buyer. Until Brown notifies Jones of his acceptance or rejection, Jones:",cannot accept another offer from a different buyer,is legally bound to the terms of the counteroffer,may produce a new counteroffer,may accept Brown's original offer,C,Counteroffers can be changed or withdrawn until notice of acceptance is communicated.
"Under the statute of frauds, in order to be legally enforceable, all real estate contracts must be:",in writing,drafted by a lawyer,on a government approved form,a unilateral agreement,A,Real estate contracts must be in writing to comply with the Statute of Frauds.
The earnest money accompanying a purchase offer:,is generally 7.5% of the proposed purchase price,is not necessary to establish a valid contract,is mandated by federal law,must be held in escrow by the seller,B,A sales contract can be valid even without earnest money; its main purpose is to show good faith.
The party most likely to sue for specific performance in the purchase of real estate is the:,Buyer,Broker,Lender,Appraiser,A,Buyers may sue for specific performance to compel a seller to complete a real estate sale.
"Jones goes into a restaurant and orders lunch. At the end of the meal, is he legally obligated to pay the check?","Yes, but only if Jones is a legal adult","Yes, because by ordering, Jones entered into an implied contract to pay for the meal","Yes, because Jones is liable through the process of novation","No, because strictly speaking, Jones did not promise to pay",B,Ordering creates an implied contract to pay for goods or services received.
What is it called when a sum of money is submitted by a buyer with an offer to purchase?,Liquidated damages,An earnest money deposit,A limited liability premium,A warranty bond,B,Earnest money is a deposit showing intent to perform under the contract.
The most important document in the sales process is the purchase contract because:,it tells the government why the buyer wishes to buy,the agent is not guaranteed fee without it,"unless a real estate transaction is in writing, state law dictates how the money is spent and distributed",it provides the road map for the closing,D,"The purchase contract outlines duties, rights, and closing procedures."
One effect of a clause in a sales agreement that states that "time is of the essence" might be that:,The buyer can take care of matters at his convenience,The seller can take care of matters at his convenience,The agent must see that the contract has been fulfilled prior to closing,All parties must attend to those details called for in the agreement in a timely manner,D,All parties must adhere to deadlines; failure may constitute a breach.
If during negotiations one party crosses out or alters any wording in a contract:,The whole contract becomes void,The document must be retyped,Each party must initial the change in the margin for it to be valid,The party who didn't make the changes or omissions becomes responsible for the deal,C,Changes require initials from both parties to be valid.
"Jones' offer to buy Brown's house has been accepted, but the actual sale will not take place for three months. Until then, their written sales contract is considered to be:",Voidable,Voided,Conditional,Executory,D,An executory contract is not fully performed yet.
"In April, Jones accepted an offer to sell his house to Brown. In June, Brown paid the purchase price and received a deed to the house and the keys. After June their contract was considered to be:",Implied,Liquidated,Void,Executed,D,An executed contract is fully performed by all parties.
When is a contract said to be discharged?,When most of its basic terms have been accomplished,When the contract is in dispute,Once all of its terms and conditions have been met,When there are further actions to be taken,C,Complete performance discharges the contract and obligations.
Jones put his house on the market. Brown made a written purchase offer that Jones accepted in writing. When is the contract valid?,Immediately,When Brown is notified of the acceptance,When the broker gets his fee,As soon as the signatures are notarized,B,Acceptance must be communicated to the offeror to create a valid contract.
"A buyer paid $2,800 for an option to purchase a property within 90 days for $450,000. Within a month, the buyer made an offer to buy the property immediately for $425,000. Which of the following is true in this situation?",The buyer is in default of the option agreement,Both parties are in violation of contract law,The option money is forfeited,"The owner may accept the offer for $425,000",D,The owner can accept or reject a new offer; negotiation is allowed.
"The buyer gives the owner a $2,500 payment and a written agreement stating that, on June 1 of the following year, the buyer will purchase the property for $475,000 cash or the owner may keep the money. This transaction is known as:",an option agreement,a right of first refusal,a lease purchase agreement,an installment sale,A,An option gives the buyer the right to purchase at a later date for a specified price.
"The buyer has been held to be in default on a contract of sale. If buyer and seller had not agreed on liquidated damages, the seller could do which of the following?",Sue the buyer for compensatory damages,Require the buyer to find a substitute purchaser,Obtain a court order preventing the buyer from purchasing another property,Arrange for criminal proceedings against the buyer,A,Seller can sue for actual losses if buyer defaults without liquidated damages clause.
"When a contract contains provisions outlining what money penalties will be levied against the party that refuses to perform, the amount specified is known as:",liquidated damages,earnest money,consideration,performance guarantees,A,"Once the contract has agreed on whatever amount will serve as liquidated damages in case of nonperformance, no greater amount can be sought in the courts."
A prospect for the lease of a commercial property feels the need for adversarial representation and hires a broker to negotiate the lease on his behalf. What is the name of the contract entered into between the prospect and the broker?,A property management agreement,An authorization to negotiate,A cooperative brokerage agreement,A buyer broker agreement,D,A contract wherein the broker represents a buyer or tenant is called a buyer broker agreement or an exclusive right to represent agreement.
What is an "executed contract?","A contract in which all parties have fulfilled their promises, and performed the contract",A contract that is dead in the water,A contract that has been terminated by both the listing agent and the home owner,A contract terminated by either party,A,"An executed contract is one in which all parties have fulfilled their promises in the original contract, and thus performed the contract."
Which of the following would usually occur in a sale-and-leaseback transaction?,The seller gets a return on the purchase in the form of rental payments,The rent that the seller pays is not income-tax deductible,The buyer keeps capital in inventories rather than in realty,The property is sold on the condition that the new owner lease it back to the seller at the time title passes,D,A sale-leaseback is usually used for creating cash flow. The owner sells the property and leases it back while continuing to use it.
"Micah agrees to represent Dan in the sale of a property. The listing contract states that Micah will receive a fee of $25,000 from Dan at closing, regardless of the sales price. Is this a valid form of compensation?",No. The seller should pay on a basis of a stated percentage of contract price,"Yes. Compensation can be determined in any number of ways, as long as the seller and broker agree",No. A flat fee exposes the seller to being cheated,Yes. The broker is supposed to charge what the traffic will bear,B,"Compensation is negotiated between broker and seller and may be stated in many ways including percentage, flat fee, or by service."
"When part of an agreement is changed, or an agreement is replaced by a new one, it is called a:",assignment,novation,waiver,ratification,B,Novation describes replacing an obligation with a new obligation or replacing a party to an agreement with a new party.
"When zoning changes occur, but owners are allowed to continue with non-conforming uses, this is a:",Subordination clause,Release clause,Acceleration clause,Grandfather clause,D,A grandfather clause allows the continuation of a previously lawful use even after zoning changes.
The basic purpose of a listing agreement is to authorize the broker to:,sell the house,find a buyer,negotiate the contract,market the house,B,A listing agreement authorizes the broker to find a buyer for the owner's property in exchange for a commission.
In which of the following situations could a broker receive no commission?,The broker proves that he is the procuring cause of the buyer in a net listing,The broker proves that he is the procuring cause of the buyer in an exclusive right to sell listing,The broker proves that he is the procuring cause of the buyer in an open listing,The broker proves that he is the procuring cause of the buyer in an exclusive agency listing between himself and the seller,A,"In a net listing, if the broker brings in an offer at or below the agreed price, no commission is earned."
"If a principal no longer desires the broker to act for him during the period of an exclusive right to sell listing, he may:","not revoke the agency, because an exclusive right to sell listing is an irrevocable contract",revoke the agency created by the listing contract without incurring damages,be forced to sell his property,"revoke the agency created by the listing contract, but may be liable for damages",D,"A seller can terminate the relationship with a broker, but may be liable for damages."
The act of replacing an existing contract with a new one.,Hypothecation,Rediction,Novation,Subordination,C,Novation is the act of replacing an existing contract with a new one.
A family signs a lease to rent a house from January 1st to June 30th. This is considered a(n):,estate for years,periodic tenancy,tenancy at sufferance,tenancy at will,A,An estate for years is a lease for a fixed period with a definite termination date.
A buyer has entered into an agreement with more than one buyer's agent at the same time. She only owes compensation to one of the brokers if she uses their services. This arrangement is known as a(n):,multiple-listing agreement,open buyer agency agreement,exclusive right agreement,exclusive buyer agency agreement,B,An open buyer agency agreement is similar to an open listing seller agreement.
"One week after entering into an exclusive authorization and right to sell listing, the owner dies. His designated administrator decides not to sell the property. In this case:",the owner's heirs will be liable for the commission,the owner's estate will be liable for the commission,the owner's death terminated the listing contract,the administrator must sell for the full 90-day listing period,C,Death of the seller automatically terminates an exclusive right to sell listing.
Mr. Seller signs an open listing on his home with five different brokers. In this case:,the owner must pay the first broker to take the listing no matter who sells it,the owner must pay a full commission to all five brokers when it sells,each broker has an opportunity to earn the entire commission,the brokers will split the commission five ways regardless of who sells it,C,"In an open listing, the first broker to secure a ready, willing, and able buyer earns the commission."
"Under a lease, the leasehold interest lies in the:",beneficiary,lessee,landlord,lessor,B,A leasehold interest is the right to possession and use of property for a fixed period held by the lessee.
Which of the following requires real estate listings to be in writing?,CAR,Statute of Frauds,Department of Real Estate,Statute of limitations,B,"The Statute of Frauds requires contracts for the sale of land, including listings, to be in writing."
"All of the following listings require that the broker be the ""procuring cause"" of the sale if he/she is to be entitled to a commission, EXCEPT:",an open listing,an exclusive listing,"there are no exceptions, all listings require proven procuring cause",an exclusive right to sell listing,D,"Under an exclusive right to sell listing, the broker earns commission regardless of procuring cause."
"Mr. Owner enters into an exclusive listing with Broker X. One week later, Broker X brings in a full-price offer, but Mr. Owner refuses the offer. Seeking an action of specific performance would be an option for:",both the buyer and the broker,the buyer,the broker,neither the buyer nor the broker,D,Specific performance cannot be sought because the offer was refused; no contract exists.
Broker Jones takes an exclusive listing on a property owned by three different people. Broker Jones takes the listing contract to each of their places of business to get it signed. Broker Jones must:,Only one signature is needed,give one copy to any of the three owners,give a copy to each owner when he/she signs or get them together in one place to sign at the same time,give a copy to the first owner who signs only,C,Broker must provide a copy to each owner or have all sign together at the same time.
A tenant signs a lease that stipulates that the lessee pays the property tax. This lease is probably a:,net lease,reverse lease,sandwich lease,standard lease,A,"Net leases require the tenant to pay rent plus operating expenses such as taxes, insurance, utilities, and repairs."
"When creating a contract, consideration may be:",money,"money, work, or a promise",a promise,work,B,"Consideration may be money, services, or a promise; it is something of value that induces a party to enter into a contract."
"Salesperson Beth presented an offer to purchase from her buyer to the listing agent broker Smith. The offer included a $1,000.00 promissory note from the buyer as the earnest money deposit. Broker Smith should do which one of the following upon receipt of the offer?",Tell Beth that a promissory note could be acceptable for the deposit and present the offer to his seller,Tell Beth he won't present the offer as written to the seller,Tell Beth the note is not good enough because it did not come with a deed,Tell Beth that he cannot accept the offer without cash or a check for the deposit,A,A listing agent must present all written offers. A promissory note can be accepted if the seller agrees.
"During the term of an exclusive authorization and right to sell listing, the broker has his license revoked by the Real Estate Commission. To prove that he is entitled to a commission, he must prove all of the following, except:",that he was licensed at the time the commission was earned,that the listing was a legally binding agreement,that he was the procuring cause of the sale,that the buyer and seller agreed to the sale during the listing term,C,"Under an exclusive right to sell listing, procuring cause does not need to be proven for commission entitlement."
"You enter into a contract with a person, not knowing they had been declared incompetent. The incompetence of one of the parties to this agreement would make the contract:",void,enforceable,valid,voidable,D,A contract with an incompetent party is generally voidable by the incompetent party.
A listing agreement is a(n):,employment contract,all are correct,contract to find a buyer for a property,unilateral or bilateral contract,B,"A listing agreement is an employment contract, can be unilateral or bilateral, and authorizes the broker to find a buyer."
"A tenant's five-year lease has expired but they continue to live on the premises and pay their rent monthly. If the landlord hasn't asked them to leave and continues to accept rent, this is considered a(n):",semi-annual tenancy,periodic tenancy,estate at will,estate for years,B,The lease continues from period-to-period; this is a periodic tenancy.
The Statute of Frauds outlines which contracts must be in writing to be enforceable through court action. Which of the following contracts would be enforceable?,An oral agreement to pay a broker a commission for the negotiation of an exchange of two businesses,"A verbal agreement to secure a loan of $1,500",A verbal lease for six months,An exclusive listing taken orally by a broker to sell a single-family residence,C,"Leases under one year do not require writing under the Statute of Frauds, so a verbal lease for six months is enforceable."
Which of the following is NOT essential to a contract?,Acceptance,Offer,Performance,Consideration,C,"Performance is not required for a valid contract; the essentials are capable parties, lawful object, offer and acceptance, and consideration."
Failure to perform any of the terms or conditions of a contract is called a(n):,breach,break,addendum,novation,A,"A breach of contract is the violation of any terms or conditions without legal excuse, allowing remedies like damages, rescission, or specific performance."
A broker has a combination of a listing and an option on a property. She exercises the option to buy without disclosing to the seller that she has found a buyer at a higher price. The broker:,is guilty of theft.,is attempting to make a secret profit.,has done nothing wrong.,created an illegal dual agency.,B,"In this situation, the broker exercised an option to buy, already knowing that she had a buyer on the hook that would pay her more, resulting in ""secret profit."" Secret profit refers to a broker making an undisclosed profit at the seller's expense. Brokers cannot conceal offers from buyers until after they have exercised the option- full and fair disclosure must be given to the seller. The common law duty of an agent to make no secret profit has been a fixture of modern jurisprudence, which means that engaging in conduct that creates secret profit can result in litigation."
Bob signs a contract under duress. By whom can the contract be voided?,Neither can void,Both can void,Only the maker voids,Only by Bob,D,Duress is a threat whereby a person is forced to do some act against their will. The person who was forced to perform under a threat has the right to void the agreement or let it stand.
"A broker is going to take a listing on a church that is owned by an unincorporated association. In order to determine who has the proper authority to sign documents and represent the group, the broker should do which of the following?",Contact the head of the group who originally built the building,Contact the group members and arrange to have a meeting of the majority for a vote,Check the County Recorder's records,Check the charter or bylaws of the group,D,"Both incorporated and unincorporated associations are governed by bylaws or charters. The president of a corporation, by virtue of his/her office, does not have authority to act for the organization. The minister of a church does not have authority unless conferred by the bylaws."
Which of the following is NOT essential to all contracts?,None are correct.,Capable parties.,Mutual consent.,In writing.,D,"The 4 essentials of a valid contract are capable parties, mutual consent, offer & acceptance and lawful object. Certain other contracts are required to be in writing (like real estate), but writing isn't essential to ALL contracts."
Which of the following is TRUE concerning promissory notes?,They are used as security for trust deeds,They are recorded at the county recorder's office,They are always used when real estate is sold,They are the evidence of the debt,D,The promissory note is the evidence of the debt. The trust deed is the security of the debt.
"An exclusive agency listing between a broker and owner incorrectly states 6 dollars rather than 6 percent as the commission payable to the broker for producing a buyer. If the owner sells the property himself, the broker is entitled to:",six dollars.,an amount to be determined by the real estate commission.,"six percent, regardless of mistakes.",nothing.,D,"Because this is an exclusive agency listing, the owner may sell the property themselves without being liable for a commission."
"A broker accepts an exclusive authorization and right to sell listing from a corporation. During the listing term, all of the officers of the corporation die. In this case:",the listing is automatically terminated.,the listing remains in full effect.,the listing must be acknowledged by the newly appointed officers.,the listing must be signed by the corporation's board of directors.,B,"One of the main characteristics of a corporation is its perpetual existence- that is, corporations never die and only cease to exist when properly dissolved. Someone in the corporation's chain of command would have the authority to carry through with a sale, so the listing is unaffected."
"A lease contains an assignment clause requiring the consent of the landlord. If the lessee assigns the lease without approval, the assignment is:",void.,voidable.,illegal.,valid.,B,"An assignment of a lease in violation of an anti-assignment restriction does not make the lease void, but does make it voidable at the lessor's discretion. When a lease has an assignment clause requiring the consent of the landlord, the landlord may not unreasonably or arbitrarily withhold consent, but consent must be given before the assignment becomes enforceable."
"A tenant verbally agrees to lease a house for six months. The following month, the tenant notifies the owner that he has found a more desirable unit and will be moving out. The contract is:",void.,enforceable.,unenforceable.,"invalid, since it was not in writing.",B,Oral leases for periods of less than one year are generally valid and enforceable.
A month-to-month lease is considered a(n):,estate for years.,life estate.,periodic tenancy.,estate at sufferance.,C,A periodic tenancy is a lease that continues from period to period until one of the parties gives notice of termination. A periodic tenancy has no definite termination date.
An agent must submit all new offers to the owner until:,the sale is completed.,escrow opens on a potential sale.,the broker decides there have been enough offers.,the agent decides the seller isn't interested.,A,"Offers must be presented even after the seller has accepted an offer. It is a violation of an agent's fiduciary duties to willfully fail to present any written purchase offer prior to the closing of the sale, unless the agent is expressly instructed by the owner not to present any more offers (or an offer is patently frivolous). Depending on the terms of the agreement a seller may not be able to accept the offer during the escrow period."
