Question,A,B,C,D,Correct Answer,Feedback / Explanation
Factor NOT contributing to obsolescence:,Increase in crime rate,Change of locational demand,Out-of-date equipment,Wear and tear from use,D,"Wear and tear = physical deterioration, not obsolescence."
Soil truckloads for backfill most likely used to:,Topsoil for landscaping,Fill trenches and brace foundations,Supplement percolation test,Fill septic tank,B,Backfill = soil used to fill around foundation trenches.
Price at which willing buyer and seller agree is:,Market value,Income approach to value,Assessed value,Book value,A,"Market value = fair price in an open, informed market."
Legal description outlining boundaries with directions/distances from point of beginning:,Lot and block,Geodetic,Rectangular,Metes and bounds,D,Metes & bounds uses directions/distances from point of beginning.
Income approach most important for valuing:,Office building,Single-family home,Vacant lot,Cooperative apartment,A,Income approach applies to income-producing properties like offices.
Value loss due to external negative forces beyond owner’s control is:,Uncontrollable obsolescence,Functional obsolescence,Physical deterioration,Economic obsolescence,D,Economic obsolescence = depreciation from outside factors.
Direct sales comparison approach most appropriate for:,5-year-old single-family house,Retail commercial property,10-unit apartment,25-year-old church,A,Market data approach best for recent single-family sales.
Cost approach to estimate residential dwelling value:,Determine replacement value less depreciation,Determine potential NOI,Adjust price if economic changes occur,Use comparable locations,A,Cost = replacement cost – depreciation.
Land gained from river deposits is acquired by:,Succession,Avulsion,Accretion,Reliction,C,Accretion = gradual land buildup by water action.
Home with termite infestation despite maintenance is:,Incurable physical obsolescence,Possible curable obsolescence,Possible curable economic obsolescence,Incurable internal obsolescence,B,Termite damage = curable if repair cost < benefit.
Metes and bounds legal description must:,Cover >10 acres,Begin and end at same point,Be used outside rectangular survey,Always use north as direction,B,Must begin & end at same identifiable point.
Physical characteristics of land include all EXCEPT:,Indestructibility,Immobility,Scarcity,Uniqueness,C,"Scarcity = economic concept, not physical characteristic."
Factor NOT directly affecting supply:,Population,Government controls,Construction costs,Labor force,A,"Population affects demand, not supply."
An acre contains approximately:,"5,270 sq yds",¼ sq mile,"43,560 sq ft","40,000 sq ft",C,"1 acre = 43,560 sq ft."
Which is economic obsolescence?,Termite damage,Zoning changes,Architectural design,Negligent care,B,"Zoning changes = external factor, hence economic obsolescence."
Land value is estimated on the basis of:,the unit-in-place method.,the cost approach.,the selling price of comparables.,square footage.,C. the selling price of comparables.,"The Market Data Approach to appraisal, also know as the Comparison approach, is the process of estimating the value of a property through the examination and comparison of actual sales of comparable properties. This Approach is best used to find values of residential houses, vacant lots and land.

When comparing two properties, it's important to deduct for features of the comparable- for example, if one property has a pool and the other does not, the appraiser needs to account for the value of the pool. This is the most difficult aspect of this approach. Adjustments are necessary because, while some properties are mostly similar, two properties are rarely similar concerning everything."
An appraiser was hired by Joe to appraise Bill's property. With whom should the appraiser discuss his findings?,any interested party,Joe,any party willing to pay,Bill,B. Joe,"The results of an appraisal are confidential. The appraiser is working for the entity that orders the appraisal (usually the lender). In this case, Joe ordered the appraisal, so that's who gets the final appraisal."
The objective value of a property is closest to:,future value.,market value.,listing price.,curb appeal.,B. market value.,Objective value is what a reasonable person ends up paying for a property
A four-bedroom house with a one-car garage would be an example of:,environmental obsolescence.,physical deterioration.,functional obsolescence.,economic obsolescence.,C. functional obsolescence.,"The correct answer is functional obsolescence, which is a loss in the value of a property resulting from a deficiency in the floor plan of a house. A one-car garage would be inadequate for the four bedroom house."
"In an appraisal, the term ""utility value"" would most nearly be described as:",insurance value.,liquidation value.,market value.,use value.,D. use value.,Utility value is the value in use to an owner-user. A property that has no utility has no value.
What is the best way to appraise the land value of a property?,Capitalization,Income,Allocation,Residual,C. Allocation,The allocation method (also called the abstraction or extraction method) is an appraisal method whereby the appraiser estimates the land value of any improved property by deducting or abstracting the value of any site improvements from the overall sales price of the property. The amount remaining is the estimated sales price or indicated value of the land.
You are preparing a comparative market analysis on a vacant lot that you hope to list for sale. Which of the following approaches to value should be used in the development of the estimated value?,Income approach,Cost approach,Sales comparison approach,Gross rent multiplier,C. Sales comparison approach,The sales comparison approach is most applicable to the appraisal of vacant land. The cost approach is most applicable to the appraisal of special purpose properties such as a church. The gross rent multiplier is used as a substitute for the income approach in the valuation of a single-family home. The income approach is used in the appraisal of an income-producing property.
Which of the following comparables would be the most helpful in appraising a home?,A similar home sold by a motivated seller to a motivated buyer.,A similar home sold for nonpayment of taxes.,A similar property sold under duress.,A similar home sold by an unwilling seller to an unsure buyer.,A. A similar home sold by a motivated seller to a motivated buyer.,"This relates to the ""willing seller, willing buyer"" concept of value."
The hardest and yet most important part of the market data method of appraising a property is:,analyzing the volume of sales data.,adjusting for differences between the comparable and the subject property.,establishing the unit of comparison.,collecting a sufficient volume of sales data.,B. adjusting for differences between the comparable and the subject property.,The most difficult part of the market data method of appraising is adjusting for differences in the properties.
"In order to accurately calculate a gross rent multiplier, what data would an appraiser obtain from comparable properties?",Annual rent and the selling price,Original cost and the annual income,Net income and selling price,Net income and the capitalization rate,A. Annual rent and the selling price,The gross rent multiplier is arrived at by dividing the monthly or annual gross rent into the selling price of the property.
"A homeowner builds a $200,000 house among $100,000 homes. A loss in value suffered by the expensive home would be best attributed to:",the principle of balance.,economic obsolescence.,physical deterioration.,functional obsolescence.,B. economic obsolescence.,"Otherwise known as Social Obsolescence, economic obsolescence is when the value of a property decreases due to factors outside of the property in the neighborhood or immediate area. The $100,000 homes are outside (external) of the $200,000 house and cause the more expensive home to lose value- so the answer is economic obsolescence. Functional obsolescence occurs inside the property lines such as poor design, while physical deterioration refers to deferred maintenance that results in property starting to fall apart, and not be useable."
The period over which a property may be profitably utilized is called its:,amortized life.,net life.,income life.,economic life.,D. economic life.,Economic life is the estimated period over which it is anticipated that a property may be profitably utilized.
The relationship between a property and a prospective purchaser is known as:,utility.,highest and best use.,value.,progression.,C. value.,Value can also be described as the relationship between a property and a prospective purchaser. The most probable price a property should bring in a competitive and open market under all conditions requisite to a fair sale (market value).
What is a "fee appraiser?",An appraiser who works for a lending institution.,An independent appraiser who works on a fee basis.,An appraiser who works for a federally insured lender.,A certified appraiser who works on salary.,B. An independent appraiser who works on a fee basis.,A fee appraiser is a non-salaried professional who furnishes appraisal services for a fee.
The system of legal description that defines a parcel of land by tracing its perimeter is known as:,lot and block system.,rectangular survey.,street address.,metes and bounds.,D. metes and bounds.,"A metes-and-bounds description traces a parcel's perimeter by starting at a POB (point of beginning) and always ending back at the POB, so that the described tract is completely enclosed. The rectangular survey system divides land into rectangles and describes those rectangles with principal meridians and base lines. The lot and block system uses lot and block numbers in a plat map to describe property and is often used in urban areas. A street address is not a legal description."
A metes-and-bounds legal description:,can be made only in areas excluded from the rectangular survey system.,is not acceptable in court in most jurisdictions.,is used to complete areas omitted from recorded subdivision plats.,uses descriptions moving in a clockwise direction.,D. uses descriptions moving in a clockwise direction.,"A metes-and-bounds description starts at a POB (point of beginning) and moves clockwise around the boundaries always ending back at the POB, so that the described tract is completely enclosed. The metes-and-bounds, government survey, and lot and block are all accepted in courts. The method may be used in areas included in the rectangular survey system. The metes-and-bounds method is often used to survey large parcels of land before the parcels are broken into subdivision plats."
A title search for a property under contract has revealed several outstanding liens against the property. Which of the following liens has highest priority?,An outstanding first mortgage lien dated and recorded one year ago,A special assessment for the current year,A judgment lien rendered and recorded last month,A property tax lien for the current year,D. A property tax lien for the current year,"The answer is a property tax lien for the current year. Tax liens have priority over previously recorded liens and over a special assessment, which will also take priority over previously recorded liens. The priority of the other liens will be based on the dates they were recorded. Liens recorded first will have a first right to payment or priority."
How many acres are in a lot that is 1/4 of a mile wide by 1/4 of a mile long?,80 acres,40 acres,120 acres,10 acres,B. 40 acres,"Find the square mileage in the land by multiplying the sides: 1/4 mi. x 1/4 mi. = 1/16 sq. mi.
Multiply the square mileage in the land by the number of acres in a square mile (640) to find the answer: 1/16 x 640 = 40."
"If there is a discrepancy between a residential lot size quoted in a listing contract and the actual lot size, the actual lot size that will prevail in a sales transaction will be found in the",deed.,MLS listing,listing contract.,survey.,D. survey.,"The accuracy of the lot size is essential for both residential and commercial properties. If there is a discrepancy between the lot size quoted in a listing contract or deed and the actual lot size, the actual lot size found by a survey will prevail. Most MLS services will note that any square footage listed is only an estimate."
A township contains only:,36 sections.,36 square yards.,640 acres.,"23,040 square feet.",A. 36 sections.,"Each section is 1 square mile. Each township is 6 miles square and contains 36 square miles, so a township contains 36 sections. Each section is 1 square mile, or 640 acres. The 36 square miles of a township are 23,040 acres."
A developer grants a local power company the right to install necessary transmission lines. The developer has granted the power company a(n):,conditional use permit.,easement in gross.,easement by prescription.,license.,B. easement in gross.,An easement in gross one party's right to use another's land. An easement in gross belongs to its owner regardless of whether the owner has ownership or possession of any specific land. A license is a personal privilege to enter the land of another for a specific purpose. A license can be terminated or canceled. An easement by prescription is acquired when a person makes continuous and visible use of another's land for a certain period of time without the owner's permission. A conditional use permit is granted by a municipality to a property owner to allow a special nonconforming use of property in a residential district.
A condominium form of ownership is officially established when the,developer records a declaration in the public record.,construction of the improvements is completed.,unit owners all file their documents in the public record.,condominium owners' association is established.,A. developer records a declaration in the public record.,"When a developer declares in the public record the existence of a condominium, the condominium is officially established. The declaration includes survey, legal description, bylaws, restrictive covenants, and architect drawings. Construction of improvements, the establishment of an owners' association, and sale of individual units follow the establishment of the condominium."
A landowner divided much of her land into smaller parcels and has recently sold a tract adjacent to a nature preserve. The preserve and the tract that was sold are landlocked and cannot be entered except through one of the other tracts still belonging to the landowner. The buyer of the tract will probably be granted what type of easement by a court action?,Conditional use permit,Easement by necessity,Easement in gross,Easement by prescription,B. Easement by necessity,An easement by necessity arises when there is no ingress or egress (entry or exit) from one piece of property without crossing over a parcel of land owned by another. An easement in gross permits a right-of-way for an individual or company to use another's property. An easement by prescription is acquired when a person makes continuous and visible use of another's land for a certain period of time without the owner's permission. A conditional use permit is granted by a municipality to a property owner to allow a special nonconforming use of property in a residential district.
"A buyer purchased two parcels of land. One parcel was one square mile and the other contained 10 acres. If the land cost $2,500 an acre, what was the cost of the land?","$1,425,000 ","$1,526,000 ","$1,600,000 ","$1,625,000 ","D. $1,625,000","One square mile is 640 acres, so the two parcels together contain 650 acres (640 + 10 = 650). To find the cost, multiply the cost per acre by the total acres: 650 �- $2,500 = $1,625,000."
"The following legal description contains how many acres: the S½ of the SE¼ of the NW¼ of the NE¼ of Section 7? (Hint: In a township, a standard section is 1 square mile or 640 acres.)",5 acres,6.5 acres,2 acres,10 acres,A. 5 acres,"Each 36-square-mile township can be divided into 36 individual square-mile sections, beginning in the upper right-hand corner. A standard section is 1 square mile or 640 acres. A section can then be divided into halves (320 acres) and quarters (160 acres). Those halves and quarters can then be halved and quartered again.To calculate acres in this legal description, multiply all the denominators and divide that number into 640 acres. Multiply all denominators: 2 x 4 x 4 x 4 = 128.
Then divide 640 by 128. 640 acres ÷ 128 = 5 acres."
The BEST way to ensure that there are no encroachments to a property and to properly verify the boundaries of a parcel of land is to,write a legal description.,find the monuments.,get a survey.,verify the benchmarks.,C. get a survey.,"Encroachments are found through actual notice or visual inspection by the buyer or someone working for the buyer. A survey shows the location of all improvements on a property and whether any improvements extend over the property lines. A legal description is a description of a specific real estate parcel complete enough for an independent surveyor to locate and identify the parcel. Monuments are fixed objects or markers to identify corners or places where boundary lines change directions, but they will not identify encroachments. Benchmarks are permanent reference points established for use in surveys to measure differences in elevation, but they will not identify encroachments."
Rising mortgage rates are an example of:,incurable depreciation.,curable depreciation.,external obsolescence.,functional obsolescence.,C. external obsolescence.,Factors outside the property boundary lines that affect a property's value are examples of external obsolescence (also known as economic obsolescence). Rising mortgage rates are an example of external obsolescence as it is not related to anything inside of the property.
One part of the process used in the income approach to determine value is to:,calculate the replacement cost.,apply the capitalization rate.,apply a depreciation schedule.,estimate reproduction cost.,B. apply the capitalization rate.,"In the income approach to value, the capitalization rate is applied to the property's annual net operating income to arrive at the estimate of the property's value. Calculating reproduction costs, replacement costs, and depreciation are procedures used in the cost approach to value, not the income approach."
Which appraisal method uses a rate of investment return in estimating a property's value?,Sales comparison approach,Income approach,Cost approach,Gross income multiplier,B. Income approach,"The income approach uses the rate of investment return, also known as the capitalization rate, to estimate a property's value. The value is determined by dividing the annual net income by the capitalization rate (NOI ÷ Rate = Value).

The capitalization rate is not used in the cost approach or the sales comparison approach. The gross rent multiplier is a factor used in the income approach to estimate the value of five or more residential units, commercial, or industrial properties."
Rents have gone up in the area. The principle that BEST describes this increase is,conformity.,contribution.,substitution.,supply and demand.ANSWER KEYS,D. supply and demand.,"Under the concept of supply and demand, if demand increases and supply remains the same, the supply becomes more valuable. Fewer rental properties will produce higher rents. The principle of substitution says that the maximum value of a property tends to be how much it would cost to purchase an equally desirable substitute property. The principle of contribution is used to determine if improvements will increase or decrease the value of the real property. Conformity is the appraisal principle that holds that the greater the similarity among properties in an area, the better the properties will hold their value."
An appraiser is responsible for,finding value.,set value,estimating value.,computing value.,C. estimating value.,"The appraiser does not set the value. After the appraiser completes the analysis and considers all the data, an estimate of value will be provided. An appraisal is an official estimate of value."
The physical characteristic of real estate that means that every parcel of land is different is known as,indestructibility.,uniqueness.,immobility.,scarcity.,B. uniqueness.,"Uniqueness is the concept that no two parcels of property are exactly the same or in the same location- you might also see this described as non-homogeneity or heterogeneity. An individual parcel has no substitute because each is unique. Immobility means that the geographic location of a parcel of land can never be changed. Indestructibility means that land is durable and cannot be destroyed. Scarcity is an economic characteristic of land, meaning that when the supply of land is limited, the price of the land increases."
All of the following terms are associated with the economic characteristics of real estate EXCEPT,area preference.,permanence of the investment.,improvements.,license.,D. license.,A license is the permission to use another's property and is not an economic characteristic of property. Permanence of the investment refers to the labor and capital used for an investment. Area preference refers to the location of the property. Improvements are additions to a property to enhance its value.
"In general, when the supply of a certain commodity increases:",demand for it tends to rise.,price tends to rise.,price tends to drop.,demand for it tends to drop.,C. price tends to drop.,"According to the principle of supply and demand, if demand is constant and supply increases, sellers of a particular commodity compete with each other by lowering prices. Prices tend to rise if the demand for the commodity increases while the supply remains the same."
"The principle of appraising, which states that the maximum value is achieved when the property is in harmony with its surroundings, is the principle of",competition.,highest and best use.,conformity.,contribution.,C. conformity.,"The principle of conformity means that maximum value is realized if the use of land conforms to existing neighborhood standards. The principle of competition is the interaction of supply and demand, as excess profits tend to attract competition. The principle of contribution states that the value of any part of a property is measured by the effect of that part on the value of the entire property. The highest and best use of a property is the use that will give the property its greatest current value."
A developer experiences success and good profits in a recent real estate project. What principle of value indicates that her experience will attract others to engage in similar projects in the same area?,Competition,Conformity,Highest and best use,Anticipation,A. Competition,"Competition is the interaction of supply and demand, meaning that the good profits achieved by a real estate project will tend to attract new activity and competition from other developers or investors. According to the principle of anticipation, a property's value is affected by the expectation of future benefits or detriments. The principle of conformity means that the maximum value of a property is created when the property is in harmony with its neighborhood and surroundings. The highest and best use of a property is the use that will give the property its greatest current value."
Which of the following would be classified as external depreciation?,Convenient access to schools and recreational facilities,A poorly designed floor plan that could be modified,A leaking roof that needs to be completely replaced,Poorly maintained properties in the neighborhood,D. Poorly maintained properties in the neighborhood,"External depreciation is caused by factors not on the subject property, such as poorly maintained properties in the neighborhood. A leaky roof is an example of physical deterioration. A poorly designed floor plan is an example of functional obsolescence. Convenient access to schools and recreational facilities are examples of good features that may add to the desirability of a neighborhood."
An example of functional obsolescence is,a five-bedroom home with one bathroom.,a decrease in the area's population.,an unattractive curb appeal.,chipping paint and other deferred maintenance.,A. a five-bedroom home with one bathroom.,"Obsolescence is a loss of value. Functional obsolescence results from outdated or unacceptable physical features in a property. A five-bedroom home with only one bath is an example of functional obsolescence. Chipping paint and other deferred maintenance are examples of physical deterioration, which may be repaired or cured by repainting or other maintenance. Unattractive curb appeal and a decrease in the area's population are examples of external obsolescence, items which will not be easily cured by spending more on the property itself."
