Question,A,B,C,D,Correct Answer,Feedback / Explanation
Police powers include:,Zoning,Taxation,Restrictive covenants,Deed restrictions,Zoning,"Zoning is a proper function of a municipality's police power. Police power is defined as the power to regulate a municipality for the advancement and protection of the health, morals, safety, or general welfare of the community as a whole."
The "secondary mortgage market" refers to the market where:,Conventional loans are originated,Existing loans are bought and sold,FHA loans are originated,Secondary financing may be obtained,Existing loans are bought and sold,"The secondary mortgage market is where home loans and servicing rights are bought and sold between lenders and investors. Most home loans in the U.S. are eventually sold to the secondary mortgage market. When a consumer obtains a home loan, that loan is underwritten, funded, and serviced by a bank or lending institution."
TILA/RESPA Integrated Disclosure (TRID) rules require lenders to provide which document to potential borrowers within three business days of applying for credit?,Closing disclosure (CD) ,Settlement statement ,FICO score,Loan estimate (LE),Loan estimate (LE),TILA/RESPA Integrated Disclosure (TRID) rules require lenders to provide a Loan Estimate (LE) to potential borrowers within three business days of applying for credit.
"The clause in a mortgage, contract, or trust deed which allows the lender to call the entire unpaid balance upon default is called what?",Balloon payment clause ,Cancellation clause,Defeasance clause,Acceleration clause,Acceleration clause,An acceleration clause — or acceleration covenant — in the law of contracts is a term that fully matures the performance due from a party upon a breach of the contract. Such clauses are most prevalent in mortgages and similar contracts to purchase real estate in installments.
The minimum downpayment for an FHA loan is what?,35%,1%,20%,76%,35%,The minimum down payment to qualify for an FHA loan is 3.5%.
Oscar and Susan are next-door neighbors. Susan told Oscar that he could store his camper in her yard for a few weeks until she needed the space. Susan did not charge Oscar rent for the use of her yard. Susan gave Oscar a(n) what?,License,Estate inland,Easement by necessity,Easement appurtenant,License,"Granting the use of property for a defined period for a specific purpose is almost always a form of licensing. Easements grant only access, not ownership, use, or occupancy rights. Further, that access is generally for the benefit of the property owner, such as maintaining utilities or sidewalks."
"Which of the following is a specific, involuntary lien?",An estate tax lien ,An income tax lien ,A real estate property tax lien,Ajudgment lien,A real estate property tax lien,"A real estate property tax lien is always on a specific piece of real estate; it happens without the permission of the property owner and so is involuntary. Income tax liens, estate tax liens, and judgment liens are general, as they are levied against both personal and real property owned by a debtor but do not take priority over other liens."
The priority of liens refers to which of the following?,The order in which a debtor assumes responsibility for payment of  obligations,The order in which liens will be paid if property is sold to satisfy a debt,The fact that specific liens have greater priority than general liens,The dates liens are recorded,The order in which liens will be paid if property is sold to satisfy a debt,"The priority of liens refers to the order in which claims against the property will be paid off. In general, the rule for priority of liens is ''first in time, first in line."" The priority is created by the recording date, but property taxes and special assessments are exceptions to the rule, as they take priority over all other liens regardless of when the liens were recorded."
A contract signed under duress is:,Void,Voidable,Valid,Unenforceable,Voidable,Duress is a threat whereby a person is forced to do some act against his/her will. The person who was forced to perform under a threat has the right to void the agreement or let it stand.
The act of replacing an existing contract with a new one is called what?,Assignment,Hypothecation,Alienation,Novation,Novation,The act of replacing an existing contract with a new one is called novation. It's where one contract is replaced with another. Assignment is when a new person takes over an existing contract without creating a new contract.
A contract based on an illegal consideration is:,Voidable,Unenforceable,Void,Valid,Void,"A contract must be legal in its formation and operation. Both its consideration and its object must be lawful, or the contract is void."
Which of these would the statute of frauds require to be in writing?,A contract for Jim to mow May's lawn, A contract to sell a condo, An agreement to sell a dozen cookies ,An unspoken agreement for a customer to pay for their meal at a restaurant, A contract to sell a condo,"Yes, the statute of frauds requires sales of real property to have contracts in writing."
"A broker receives a full-price offer on a house he has listed in accordance with the terms of the listing. Before he can present the offer, another broker brings in an offer with slightly better terms, but for $500 less. The listing broker should:",Present both offers at the same time.,Tell the other broker the property has been sold,Refuse to accept the second offer,Wait until the seller makes a decision on the first offer before presenting the second,Present both offers at the same time.,"Even though it's tempting to favor his own offer, it is the listing broker's fiduciary duty to present both offers. Since the broker hasn't presented his own offer yet, he should present both offers to the seller during the same conversation."
Most real estate contracts contain pre-printed clauses or spaces for information to be added in writing. When interpreting such contracts:,Pre-printed parts take precedence over the written parts.,The written parts and the pre-printed parts are given equal consideration,The written parts take precedence over the pre-printed parts,No changes or amendments to the pre-printed clauses are permitted by law,The written parts take precedence over the pre-printed parts.,"The pre-printed parts are often generic so that they can apply to many different situations, but anything handwritten is specific to a particular transaction. If there is a conflict between the written and pre-printed parts of a contract, handwritten parts are given priority over pre-printed parts."
An appraiser was contracted to determine the value of a large apartment building for a potential investor client. Which appraisal method is the MOST useful for this type of property?,Cost approach,Income approach ,Sales comparison approach ,Square foot method,Income approach ,"The income approach is one of three major groups of methodologies, called valuation approaches, used by appraisers. It is particularly common in commercial real estate appraisal and in business appraisal. It uses the income a property currently or potentially could generate to determine value."
"In the cost approach to value, the appraiser makes use of the:",Owner's original cost of the building,Assessed value of the building,Sales prices of similar buildings in the area,Estimated replacement cost of the building.,Estimated replacement cost of the building.,"The cost approach is used to estimate the replacement or reproduction cost of the building. Estimated replacement or reproduction cost less accrued depreciation plus estimated land value equals the estimated value by the cost approach. The owner's original purchase cost is not used in any approach to value since the process is determining current value. The sale of similar buildings is used in the sales comparison approach. Assessed value is used only by taxing authorities, but never in determining market value."
Which of the following comparables would be the most helpful in appraising a home?,A similar home sold by a motivated seller to a motivated buyer in the past three months,A similar property sold under duress,A similar home sold by a motivated seller to a motivated buyer two years ago,A dissimilar home sold for nonpayment of taxes.,A similar home sold by a motivated seller to a motivated buyer in the past three months.,"The most useful comps are similar properties, sold recently, for market value."
"Within months of buying their home, the Jackson family learned that the roof leaked during heavy rains. When the house was listed with the Bankers Agency, the seller had told the Bankers broker that the roof leaked, but Bankers claims the Jacksons did not ask about the roof. What actions can be taken in this situation?",The buyer cannot do anything because this fact should have been discovered during home inspection,The buyer can press criminal charges against their agent,The buyer can sue the broker for nondisclosure,The buyer cannot sue the broker under the license law,The buyer can sue the broker for nondisclosure.,"Disclosure is required by license law, thus the Jacksons can sue the broker for nondisclosure. The broker is required by law to disclose any fact that would materially affect the buyer's decision to make an offer, such as a leaky roof."
A seller refuses to provide a seller's property disclosure to the buyer. What could the listing agent do in this situation?,Offer to provide a filled out disclosure to the best of their ability,Provide the buyer with a disclaimer signed by the supervising principal broker,Provide the buyer with a disclaimer without the seller's signature,Provide the buyer with a disclaimer signed by the seller,Provide the buyer with a disclaimer signed by the seller,"A seller's disclosure is a document completed by the seller that lists any known issues and ""material facts"" known about the property during the time they owned the home. In most states, the seller is required to provide this disclosure within a few days of mutual acceptance.

NOTE: There is only one action provided as an answer that could be taken by the listing agent, which is to get the seller to sign a disclaimer and deliver that to the buyer."
Which of these advertisements for a loan would trigger a TILA disclosure?,“Easy financing terms",“No down payment required”,“Assumable loan",“FHA financing available",No down payment required.,"""No down payment required"" triggers the Truth in Lending disclosures because it is a specific statement about only one aspect of the financing. ""Easy terms"" does not trigger the regulation because it's non-specific."
To whom must an agency disclosure be given when a broker represents a seller of property?,"The purchaser, before the purchase contract is signed","The seller, at their first face to face meeting","The seller, at their first face to face meeting","The purchaser, at their first face-to-face meeting","The purchaser, at their first face-to-face meeting",The agency disclosure must be made at the beginning of the first personal meeting with the purchaser so that the buyer is aware of the agency representation options.
Creating improved real property from raw land involves,"financing, construction contracting, and regulatory approvals","property managers, rental agreements, and asset managers","property portfolios, architects, and zoning regulations","real estate licensees, regulators, and state laws",a,"The creation and improvement of properties are functions performed by real estate professionals. However, developing real property from raw land involves capital formation, financing, construction contracting, and regulatory approvals.  The key parties involved in this aspect of the business are generally the developer, the landowner, the mortgage lender and the leasing agent(s)"
The experts who manage the legal aspects of a development project are the,real estate licensees,attorneys,escrow companies,assessors,b,"The legal aspects of the development project include real estate attorneys, title companies, surveyors, property insurance companies, and government regulatory officials. Real estate licensees should avoid handling any legal aspect of a real estate transaction and should refer such matters to the legal experts"
Which one of the following do asset managers oversee?,Groups of properties,Groups of investors,Tenants,Landlords,a,Asset managers oversee groups of investment properties or portfolios
Which of the following statements describes the role of an asset manager?,The asset manager’s role is to achieve the investment objectives of the owners,The asset manager’s role is to manages the day-to-day operations,The asset manager’s role is to maintain the property’s condition,The asset manager’s role is to file the investor's tax return,a,The role of an asset manager is to achieve the investment objectives of the owners as opposed to managing day-to-day operations
Which of the following are generally considered to be the key parties involved in the improvement of land?,"Developer, landowner, and mortgage lender","Retailers, attorneys, and subcontractors","Market analysts, real estate licensees, and buyers","Farmers, shareholders, and emblements",a,"The key parties involved in this aspect of the business are generally the developer, the landowner, and the mortgage lender. Also involved are market analysts, architects, engineers, space planners, interior designers, and construction subcontractors"
A licensee’s choice of specialization is most likely influenced by,zoning restrictions,competitive factors in the market,governmental restrictions,trade organizations and designations,b,The licensee’s choice of specialization is influenced by competitive factors in the market and by perceived opportunities
A Realtor® must maintain membership in which of the following trade organization?,NAHB,NAR,NAREB,IREM,b,Only individuals who maintain membership in the National Association of Realtors (NAR) are allowed to call themselves a Realtor®
State license laws are administered in each state by,Real Estate Commissions,police powers,labor associations,brokerages,a,"State license laws are administered in each state by a Real Estate Commission or other similarly named government agency. The Commission is charged with administering and enforcing license laws. In addition, the Commission may pass regulations that further refine or clarify state statutes"
The real estate industry is regulated by which of the following?,Federal laws only,State laws only,Local municipalities,Every level of government,d,"The real estate industry is regulated by every level of government. Federal and state statutes, as well as a large body of court decisions, generally referred to as common law, determine how real estate can be developed, managed, and transferred"
Special purpose properties may include,residential dwellings,condominium units,cooperative buildings,recreational facilities,d,"Special purpose properties include publicly or privately-owned recreational facilities, government buildings, churches, and schools"
Which of the following statements is true regarding investment properties?,Residential properties are not considered investment properties,Only commercial properties are considered to be investment properties,All classifications of property may be investment properties,Only properties that produce a positive cash flow are considered to be investment properties,c,Investment property refers to any property that is held by its owners for investment purposes. All classifications of property may be investment properties since all types are capable of generating rental income and/or tax savings
Which of the following statements is true regarding individual specialization in real estate?,One’s choice of specialization is influenced by competitive factors in the market and by perceived opportunities,Specialization in certain areas of real estate requires mandatory membership in the appropriate organization,One’s choice of specialization is regulated by the National Association of Realtors®.,Specialization in commercial transactions requires special certification in addition to licensure,a,"A licensee’s choice of specialization is influenced by competitive factors in the market and by perceived opportunities. Since different properties have different features and potential buyers, brokers commonly choose to specialize in a property type"
"The principal types of transactions are in real estate brokerage are sales, leases and subleases, exchanges, and",wills,trades,management,options,d,"The principal types of transactions are sales, leases and subleases, exchanges, and options"
Which of the following statements is true regarding the National Association of Realtors’® Code of Ethics?,The Code of Ethics is regulated by state laws,The Code of Ethics sets an even higher standard of performance for its members,The Code of Ethics must be adhered to by all licensees regardless of membership,The Code of Ethics does not apply to real estate licensees,b,The National Association of Realtors® Code of Ethics not only reflects the law but sets an even higher standard of performance for member brokers and agents
The primary body of laws and regulations governing real estate brokerage practice is,state real estate license laws,federal real estate license laws,zoning regulations,local municipalities,a,State real estate license laws comprise the primary body of laws and regulations governing real estate brokerage practice. License laws in each state specify who must obtain a license to practice real estate and set the requirements for obtaining and maintaining the license
Which of the following professional activities is a real estate broker or agent most likely to be directly involved in?,Holding real estate as an investment,Regulating use of real estate,Transferring real estate ownership,Destroying existing improvements,c,"Rights and interests in real estate can be bought, sold, assigned, leased, exchanged, inherited, or otherwise transferred from one owner to another. Real estate brokers and the brokers' salespeople are generally centrally involved in such transfers"
The distinguishing feature of commercial property is that,it is not occupied by an owner-user,it has the potential to generate income from its use by a business,it is held by its owners primarily for its investment value,it houses multiple tenants,b,"Commercial property generally refers to retail and office properties, but may also include industrial real estate. The term ""commercial"" relates to the fact that the property can potentially generate income from a business's usage"
An important reason for a real estate salesperson or broker in a large market to specialize in a geographical area is that,large market areas have usually been divided up geographically by competing brokers,customers generally identify brokers with the area immediately around their offices,geographical specialization is the only legal way to organize business,it is difficult to maintain adequate market knowledge on a large area,d,"Brokers and agents must maintain current, accurate data on properties. It is not possible to keep track of every property in larger markets. Therefore, one must create an area of geographical specialization. One's area may be defined by natural barriers; by streets and highways; or by a certain set of subdivisions"
A real estate professional who oversees the day-to-day operation of a specific property on behalf of the owner is a(n),property manager,asset manager,maintenance technician,management consultant,a,"Property managers and their staff oversee specific properties on behalf of the owners, making sure the condition of the property and its financial performance meet specific standards"
Which of the following is a primary real estate brokerage activity?,Obtaining a zoning variance for a home owner,Appealing an assessed valuation for a client,Assisting a developer to subdivide a property,Locating a landlord for a tenant,d,Primary real estate brokerage activities involve performance of one or more of the following tasks:  •locating a buyer for a seller  • locating a seller for a buyer  •locating a tenant for a landlord  •locating a landlord for a tenant
"The real estate industry is regulated by federal, state and local laws, as well as by",its own professional codes of ethics,the local Chamber of Commerce,the Consumer Protection Agency,the Better Business Bureau,a,"In addition to federal, state, and local laws and regulations, the real estate industry is, to a degree, self-regulated by the codes of ethical conduct propounded by the industry's many trade organizations"
The agency that administers and enforces license laws in each state is the,state department of revenue,U.S. Attorney's office,"real estate commission, council, or similar board",U.S. Circuit Court or U.S. Court of Appeals,c,"State license laws are administered in each state by a real estate commission. The commission is charged with administering and enforcing license laws. In addition, the commission may pass regulations that further refine or clarify state statutes"
"In addition to specifying who must obtain a real estate license and requirements for obtaining one, license laws also define","how licensees must handle escrow deposits, funds, and fees",the minimum commission split a broker can give a salesperson,how many salespeople in a broker's office can have active licenses at a given time,how many brokers may cooperate in a single transaction,a,"License laws in each state specify who must obtain a license to practice real estate and set the requirements for obtaining and maintaining the license. License laws also define critical aspects of real estate brokerage, including:  •procedures for handling escrow deposits and fees. •procedures for advertising  •guidelines for dealing with clients and customers"
An investment property is,any property that yields a profit to the owner when it is sold,any property that is used for a purpose other than habitation,any property that is held by its owners for investment purposes,any property that produces a positive cash flow for its owner,c,Investment property refers to any property that is held by its owners for investment purposes
A residential property is one that,is occupied by no more than five families,is used primarily for habitation,is located in a residential zone,contains a house,b,Residential property refers to property that is owned and used for habitation
Property management and real estate asset management are both real estate management professions. The primary distinction between the two is that,property managers always report to an asset manager,asset managers have greater knowledge of a property's finances,property managers handle day-to-day operations while asset managers manage portfolios of properties,asset managers are primarily responsible for maintenance technicians,c,"Asset managers oversee groups of properties, or portfolios. Their role is to achieve the investment objectives of the owners as opposed to managing day-to-day operations"
People in the real estate business who primarily focus on creating new properties are,brokers,developers,zoning administrators,excavators,b,Developers are primarily focused on creating new properties
The term "commercial property" generally refers to,non-owner-occupied properties,"retail, office and industrial properties",multi-tenant properties,retail properties,b,"Commercial property generally refers to retail and office properties, but may also include industrial real estate"
Which of the following professionals involved in the real estate business are most concerned about procuring buyers and sellers for clients?,Brokers and agents,Property managers,Corporate real estate managers,Appraisers,a,"The brokerage company, in its simplest form, consists of a broker and the broker's agents, who together work to locate buyers, sellers, tenants and landlords for the broker's clients"
Which of the following ways of specializing is common in the real estate brokerage business?,By type of house,By geography,By financial background of client,By type of mortgage,b,"In the modern brokerage environment, brokers and agents specialize along the following lines:  • property type  • geographical area  •type of transaction  •type of client  •type of relationship"
What is an advisory service provider?,A broker of fee simple titles,A corporate real estate broker,A broker performing non-transactional services for a commission,A broker who renders real estate services for a fee,d,"In the advisory relationship, the broker works on identified real estate tasks or projects in exchange for a fee, salary, or retainer"
The level of government which is most active in regulating real estate licensees is the,federal government,state government,county government,municipal government where the person resides,b,State real estate license laws comprise the primary body of laws and regulations governing real estate brokerage practice
Under the SC Fair Housing Act of 1968 an aggrieved person may file a complaint directly with what agency?,The Civil Rights Act,South Carolina Human Affairs,South Carolina Real Estate Commission,Consumer Affair,B,"Under the SC Fair Housing Act of 1968, complaints are filed with the South Carolina Human Affairs Commission, which enforces state-level fair housing laws."
"You are asked to show a property, which you know to be in a high crime area. What should you do?",Refuse while giving statistics on the crime rate.,Offer to show a property in a safer atmosphere.,Show the property.,Show that property and the surrounding areas.,C,You must show the property as requested; refusing could be discriminatory. You can provide crime statistics only if asked and from objective sources.
When could an associate legally act as a broker-in-charge?,"When a broker-in-charge leaves the company, and the Real Estate Commission allows them to for up to 6 months.","When the BIC dies, and the Commission appoints them for up to 6 months.",Within 90 days after passing the brokers exam.,"When they are the owner of the office, and the broker-in-charge dies.",B,"If the broker-in-charge dies, the Commission may appoint an associate to act as BIC for up to 6 months."
"You, the listing agent, receive an offer on a home you have listed which refers to the sewer connection. You know that the property has a septic tank. How should you proceed?",Refuse the offer based on the inaccurate information.,"Recommend that the seller make this change in their counteroffer, initial, date it and send it back.",Give the offer to the seller and say nothing.,Give the offer to the seller who accepts the offer and says sewers are a matter of record and the other broker should have known.,B,"Any inaccuracies in an offer should be corrected before presenting it, typically in a counteroffer that is initialed and dated."
"When a property is sold with a recorded easement on that property, what happens to the easement?",Terminates since constructive notice is given,Goes to the grantee.,Reverts to the previous owner.,Remains with the grantor,B,Easements generally “run with the land” and transfer to the new owner (the grantee).
"Under Title VIII of the Fair Housing Act, family is best defined as:",Single parent family,Family with dependent children,Person or persons with children under 18 or the expectation of same,Married couple with children under 18,C,Family under Title VIII includes any person(s) with children under 18 or expecting a child.
It is important to distinguish between real property and personal property. Which of the following would not be real property?,Air space over the city airport,A decorative bush planted in the front yard,Mineral rights,Chattel real,D,"“Chattel real” refers to personal property interests in real estate, so it is not considered real property."
What is true of a voidable contract?,One executed on Sunday,Unenforceable in all cases,Automatically void to the injured party,Valid until action is taken to rescind,D,A voidable contract is valid until one party takes legal action to rescind it.
The landlord refused to keep the property in habitable condition and the tenant terminated the lease and moved. What is this action called?,Ejectment,Constructive eviction,Surrender and acceptance,Ostensible eviction,B,"Constructive eviction occurs when a landlord fails to maintain habitable conditions, forcing the tenant to leave."
What type of lien would be filed by someone who does work or furnishes supplies to a project and does not get paid?,Machinist’s lien,Mechanics lien,General lien,Mortgage lien,B,A mechanic’s lien is filed by someone who supplied labor or materials to a property and was not paid.
"When the brokerage is employed, they become the agent for whom?",Seller,Buyer,Buyer and seller,Client,D,"In real estate agency, the brokerage represents the client (could be buyer or seller, depending on the agreement)."
The buyer normally has the right to select the attorney to close the property. This right is assured by what law?,South Carolina Consumer Protection Code,South Carolina Horizontal Property Act,Truth-in-Lending Act,Constitution of the United States,A,"In SC, the buyer’s right to choose the closing attorney is protected under the South Carolina Consumer Protection Code."
"Broker Rob buys an option from seller Johnson that is good for 6 months. Concerning this option, Broker Rob is the:",Optionee,Vendor,Optionor,New owner of the property,A,The optionee is the person who holds the right to buy under an option contract.
Which of the following would not be a purpose for which property would normally be condemned under the power of eminent domain?,Erection of public buildings,Subdivision development,Construction of public highways,Widening of city streets,B,Subdivision development is not a public use and would not justify condemnation under eminent domain.
"A land use which was in existence prior to the current zoning ordinance, which is now in violation of the current zoning ordinance, is best described as:",A non-conforming use,A variance,Spot zoning,Grandfather zoning,A,A non-conforming use is a land use established before a new zoning law that no longer conforms to current zoning.
