Question,A,B,C,D,Correct Answer,Feedback / Explanation
"Mr. Fixit wanted to remodel his business, so he got a loan of $4,300 at an annual interest rate of 6 percent. He paid this loan off in 8 months. Knowing this, what was the total amount of interest Mr. Fixit paid?",$172,$258,$358,$21.50,A. $172,"To figure this problem, first take the loan amount multiplied by the interest rate for the annual interest ($258). Then, divide this amount by 12 (as in months per year) to find out the interest paid per month. Multiply that total ($21.50) by 8 (months) for the total interest paid of $172."
"How much less are the monthly payments on a $36,000 home than on a $40,000 home if a 75% loan is obtained at $8.70 per month per $1000 of value?",$8.70,$26.10,$28.90,$17.40,B. $26.10,"To arrive at this amount, start with the difference between the prices of the two homes, which is $4,000. Multiply that amount by 75%:
 $4,000 x .75 = $3,000
 
 Now, divide that by $1000:
 $3,000 ÷ $1000 = 3
 
 Finally, multiply that by $8.70 to get the final difference:
 3 x $8.70 = $26.10"
"If Chris's house depreciated at the rate of 2.5% per year for 10 years and has a present value of $12,500, what was the original value of the house?","$17,000","$20,000","$18,346","$16,666","D. $16,666","To solve this problem, first multiply 2.5% by 10 (years) for the total depreciation of 25%. Subtract that from 100% for 75%. Then, take $12,500/.75 = $16,666, which was the home's original value."
"What are the actual measurements of a property shown as 5-3/4 inches long and 4-1/2 inches wide, if the scale is 1/8 inch = 1 foot?",46' x 36',48' x 36',12' x 9',36' x 32',A. 46' x 36',"First, convert your scale to feet. If 1/8 in. = 1 foot, then 1 in. = 8 feet (multiply both sides of the equation by 8). Use this to solve the problem.
 
 8 x 5 3/4 is the same as 8 x 5.75 = 46
 8 x 4 1/2 is the same as 8 x 4.5 = 36
 The area is 46' x 36'."
Freddy Froghammer owns a lot measuring 80 ft. x 120 ft. The city puts in a new street on the front and the side of his house and assesses him 6 cents per square foot based on the area of this lot. His costs are:,$67.50,$675.00,$576.00,$57.60,C. $576.00,"To arrive at this answer, figure out the area first:
 120 x 80 = 9,600 sq. ft.
 
 Then multiply that by the assessed amount (6 cents or $.06), and this is what you'll have:
 9,600 x $.06 = $576.00"
"If the transfer taxes are payable at the rate of 55 cents per $500 or part thereof, what is the grantor's cost on a $49,750 sale?",$5.50,$55.00,$125.00,$235.00,B. $55.00,"When figuring transfer tax, you are generally required by the state to round up to the nearest $500.
 
 Round $49,750 up to $50,000 and divide it by $1000. The transfer tax is $.55 per $500, but you can double it to $1.10 per $1000 because it's easier to work with:
 
 $50,000 ÷ $1000 = 50
 Now multiply that by $1.10, so:
 50 x $1.10 = $55.00
 
 NOTE - This math problem uses a generic transfer tax amount, the transfer taxes in your state may be charged at a different rate."
"Sydney Blackwell manages an office building with leases of $60,000 per year. Her management agreement is for 7 years, with fees as follows: 7% the first year; 5% the second and third year; and 3 % the remaining years. What will be Sydney's total management fee?","$17,400","$13,400","$10,000","$15,400","A. $17,400","To solve this problem, you have to figure out the commission for each year, as follows: 7% of $60,000 = $4,200; 5% of $60,000 = $3,000, and that multiplied by 2 years at that rate is $6,000; 3% of $60,000 = $1,800 x 4 (years at that rate) = $7,200. Add these totals to reach the total of $17,400."
"Find the capitalization rate on a building that is worth $430,000, and rents for $1,500 a month.",5%,5.25%,4%,3%,C. 4%,"To solve this, find the yearly rent and divide by the cost of the building:
 $1,500 x 12 = $18,000 in yearly rent.
 $18,000 ÷ $430,000 = 4%
 
 NOTE - The full answer is 4.186047% (.04186047), but when the answers provided are rounded to a whole number, you'll want to choose the ""most correct"" answer."
The reciprocal of 8% is:,125,1250,0.125,12.5,D. 12.5,"In math, the reciprocal is the inverse of a number. This means that the product of a number and its reciprocal yields 1. So the reciprocal of 8/100 is 100/8.
 
 8% is equivalent to .08
 .08 is equal to the fraction 8/100
 The opposite of 8/100 is 100/8
 100 divided by 8 = 12.5"
"Sage owned an income property with an adjusted cost basis of $150,000 and a fair market value of $200,000. He exchanged the property for another income property, which has a fair market value of $210,000. Both parties had no loans against them and no adjustment was made for the difference in value. For federal income tax purposes, the new property will have a basis for Sage of:","$200,000","$210,000","$100,000","$150,000","D. $150,000","In a tax deferred exchange transaction, the cost basis of the property transferred becomes the cost basis of the property which is acquired or received. Even though Sage's new property had a higher fair market value, no adjustment was made for the difference in value so the basis for the new property remained the same as the basis for the old property."
"A small studio sold for $16,350, which was a 9% appreciation over the original cost of the studio. What was the original cost of the studio?","$16,000","$14,875.50","$15,000.00","$17,915.50","C. $15,000.00","This problem tells you that the original cost of the studio plus a 9% appreciation equals $16,350:
 Cost (100%) + Appreciation (9%) = $16,350
 
 So here's another way to look at it- the studio sold for 109% of its original cost:
 109% = $16,350
 
 To find out 100% of this number, divide $16,350 by 1.09 (109%):
 $16,350 ÷ 1.09 = $15,000"
"A prospect is considering the purchase of an income property. The property's operating statement shows the deductions subtracted from a total gross income of $94,500. The deductions amount to 60% of the gross income. If the prospect wants a 12% return on the purchase price of any investment he makes, what should he pay for the property?","$720,000","$315,000","$196,000","$81,000","B. $315,000","To solve this problem, start with finding the net income. Expenses equal 60% of the gross income, so the net income is the other 40%. To find the net income, multiply the gross income by 0.4 (which is the same as 40%):
 $94,500 x 0.4 = $37,800
 
 Now, divide the net income ($37,800) by the desired return (12%) to determine the desired purchase price:
 $37,800 ÷ 0.12 = $315,000"
"After subtracting $140.00 escrow fees and 6% commission on gross sales price, a seller receives $13,584.00. What is the selling price?","$14,540","$14,440","$14,600","$12,770","C. $14,600","To find the answer, add the seller's net sales price ($13,584) to the subtracted escrow fees ($140), then divide that by .94 (100% - 6% for the commission), which is the percentage of gross sales the seller gets to keep.
 $13,584 + $140 = $13,724
 $13,724 ÷ .94 = $14,600
 The selling price is $14,600."
"An acre is to be divided into four equal lots. If the lots are parallel to each other, rectangular, and 200 feet long, the width of each lot would most nearly be:",225 feet,55 feet,100 feet,15 feet,B. 55 feet,"One acre = 43,560 square feet, divide this by 200 to find the total width of all 4 lots:
 43,560 sq. ft. ÷ 200 ft. = 217.8 ft.
 Now divide the total width by number of lots to find the width of each lot:
 217.8 ft ÷ 4 = 54.45 ft, rounded to 55 ft. (the question asks ""would most nearly be"" and only provides one ""near"" answer of 55 feet)."
"Pat purchased a brand new piece of income property for $180,000. The listed price was $220,000. Pat considered this a good deal on his part, since he only put $10,000 down and acquired a new first trust deed for the difference. The tax assessed value was indicated at $150,000. Pat's cost basis for income tax purposes would be:","$155,000","$215,000","$180,000","$200,000","C. $180,000","For income tax purposes, the cost basis is generally the actual purchase price of the property. Improvements are added to the cost basis, and depreciation subtracts from it. When a property owner sells a home, the sale price is compared to the property's cost basis to determine if the seller realized any ""capital gains"", or profit, from the sale that needs to be taxed."
"A house sold for $345,000, which was 9% more than the cost of the house. The original cost of the house was most nearly:","$319,125","$316,514","$332,500","$304,500","B. $316,514","The Original Cost (OC) is Current Cost (CC) divided by Adjusted Cost Ratio (ACR).
 The Current Cost is $345,000, the Adjusted Cost Ratio is 100% plus or minus the appreciation/depreciation of the house. Because the house is now worth 9% more than OC, the ACR is 109% (or 1.09).
 OC = CC ÷ ACR, so OC = $345,000 ÷ 1.09
 $345,000 ÷ 1.09 = $316,513.76, so the answer is ""most nearly"" $316,514."
A rectangular parcel of land that measures 220' by 330' contains most nearly:,1 2/3 acres,2 acres,1 1/4 acres,1 3/5 acres,A. 1 2/3 acres,"Multiply both sides of the parcel to figure out square footage:
 220' x 330' = 72,600 square feet
 Now figure out how many acres that is:
 1 acre is 43,560 sq. ft., so 72,600 ÷ 43,560 = 1.66 acres
 Now we know it's an answer that starts with 1, but we need to figure out which fraction equals .66. Fractions equal the top number divided by the bottom number, so: 3 ÷ 5 = .6, 1 ÷ 4 = .25, and 2 ÷ 3 = .6666
 The answer that fits ""most nearly"" is 1 2/3 acres."
Andrew purchased a property at 20% less than the listed price and later sold the property for the original listed price. What was the percentage of profit?,40%,25%,23%,10%,B. 25%,"This problem can be figured using any list price, but let's assume that the property was listed at $10,000.
 20% of that list price is 0.2 x $10,000 = $2,000.
 So the purchase price is $10,000 - $2,000 = $8,000.
 Andrew sold the property for the original list price, so his profit is $10,000 - $8,000 = $2,000.
 To find the percentage of profit, divide the profit by purchase price: $2,000 ÷ $8,000 = 0.25, or 25% profit.
 
 NOTE - Percentages are ratios, which is why you don't need the list price to solve the problem. You can substitute any list price in this problem and still get the same answer."
Stephen sold his house and took back a note for $4200 secured by a Second Deed of Trust. He promptly sold the note for $2730. This represents a discount of:,35%,24%,10%,5%,A. 35%,"To figure this problem, first we need the ""discount"" (or difference) between the amount of the note and the amount the note was sold for:
 
 (original amount of note) - (net received from sale) = (amount of discount)
 $4200 - $2730 = $1470
 
 Now, divide the discount by the original note amount to find the rate of discount:
 $1470 ÷ $4200 = .35, or 35%"
"Selwyn was the owner of a straight note with an annual interest rate of 8.4%. In 5 years, he had received $5,460 in interest. What was the principal amount of the note?","$3,250","$1,092","$6,500","$13,000","D. $13,000","$5,460 divided by 5 years = $1,092 annual interest
 $1,092 divided by .084 = $13,000 principal amount"
"If $150 interest is paid in 8 months on a straight note loan of $2,500, what is the annual rate of interest?",9%,10%,12%,2%,A. 9%,"In 8 months, or 2/3 of a year, $150 interest was paid. Divide $150 by 2/3 to find the total paid in a year, so $150 ÷ (2/3) = $225 interest per year.
 Divide interest per year by total loan amount to find the interest rate, so $225 ÷ $2500 = .09, or 9% APR."
"Solly bought a home for $31,680 and now wishes to sell. He is informed that the cost of selling will amount to 12% of the selling price. He wants to sell at a high enough price that he doesn't take a loss. How much does the home need to appreciate in value to offset the selling costs?","$4,320","$5,400","$1,080","$2,160","A. $4,320","Solly wants his original home purchase price of $31,680 to be 88% of his desired sales price. Start by finding his desired sales price, which is the original purchase price divided by 88%:
 $31,680 ÷ .88 = $36,000
 
 Now, subtract Solly's original purchase price from his desired sales price to find out how much the house needs to appreciate in value:
 $36,000 - $31,680 = $4,320
 
 Alternately, you can multiply $36,000 by 12%, which is the portion of the overall sales price that must be appreciation in value:
 $36,000 x .12 = $4,320"
A building has interior dimensions of 26 feet by 30 feet. The walls are 6 inches thick on every side. How much square footage of land does it cover?,21 sq. ft.,192 sq. ft.,837 sq. ft.,"1,230 sq. ft.",C. 837 sq. ft.,"To find the total square footage of land covered by a building, you'll need to add the wall thickness from each end (6 inches) of the building to the internal dimension. When you measure the width, there are two walls; when you measure the length, there are two walls. Once you have the total length by the total width, multiply them together to find the square footage:
 
 26 ft. (internal dimension) + 6 in. (one wall) + 6 in. (the other wall) = 27 ft. on one side (remember that 6 in. + 6 in. = 1 ft.)
 30 ft. (internal dimension) + 6 in. (one wall) + 6 in. (the other wall) = 31 ft. on the other.
 31 ft. x 27 ft. = 837 sq ft.
 
 NOTE - You must add the thickness of each wall (6 inches for each wall, 2 walls length-wise and 2 walls width-wise) to the interior dimensions to calculate the entire square footage of land covered by the building."
"A homeowner sold his house for $23,000. This selling price represented a 15% profit over what he had originally paid for the house. What was the original price of the home?","$2,000","$30,000","$20,000","$25,000","C. $20,000","100% + 15% = 115%
 $23,000 divided by 1.15 = $20,000"
"If a man paid $50,000 for a business which gave him a 6% return on his money, how much did he make during the first year that he owned it?","$30,000","$33,000",$300,"$3,000","D. $3,000","$50,000 x 6% = $3,000"
"An individual who receives $225 per month on a money market savings account that pays 7 1/2% per year, has invested which of the following amounts?","$36,000","$48,000","$41,000","$12,000","A. $36,000","$225 X 12 = $2700 per year
 $2700 divided by 7.5% = $36,000"
"A homeowner sold his house for $230,000. If the selling price represented a 15% profit over what he had originally paid for the house, the original price of the home was:","$200,000","$50,000","$100,000","$300,000","A. $200,000","selling price = cost (100%) + profit (15%) = 115% which is $230,000
 $230,000 divided by 1.15 = $200,000"
"Jones sold his home for $17,200. If this represents 9% more than what he paid for it, the cost of the home was most nearly:","$15,500","$15,800","$13,200","$14,000","B. $15,800","Selling price = cost + 9% or 109%
 $17,200 divided by 1.09 = $15,779
 Closest answer is $15,800"
"The Noonan family sold their home and had to carry back a Second Trust Deed and note of $5310.00. If they sold the note for $3823 before any payments had been made on the note, the rate of discount amounted to:",28%,18%,15%,31%,A. 28%,"To figure this problem, first we need the ""discount"" (or difference) between the amount of the note and the amount the note was sold for:
 
 (original amount of note) - (net received from sale) = (amount of discount)
 $5310 - $3823 = $1487
 
 Now, divide the discount by the original note amount to find the rate of discount:
 $1487 ÷ $5310 = .28, or 28%"
"A borrower signed a straight note for a term of eight months in the amount of $2500. If she paid $150 in interest on the loan, the interest rate was:",7%,5.70%,5%,9%,D. 9%,"$150 divided by 8 months = $18.75 per month
 $18.75 X 12 = $225 per year (APR is Annual Percentage Rate, so you must figure the rate for 1 year)
 $225 divided by $2500 = 9%"
"An income property was appraised for $100,000 based on a 6% capitalization rate. If an investor used an 8% cap rate, the value of the property would be:","$60,000","$80,000","$75,000","$90,000","C. $75,000","First, multiply the appraisal value by the capitalization rate:
 $100,000 X 6% = $6000 net income
 
 Then, divide the net income by the alternate cap rate to find the alternate value:
 $6000 divided by 8% = $75,000 value."
"If a borrower pays $1,650 interest per quarter on a straight note of $60,000, the interest rate would be:",11.00%,12.00%,15.00%,9.00%,A. 11.0%,"$1,650 = interest for 3 months
 $1,650 X 4 = $6,600 interest for one year
 $6,600 divided by $60,000 = 0.11 or 11%
 
 NOTE - 1 quarter of a year is equal to 3 months."
"An investor purchased two lots and paid $18,000 for each one. Since each lot had a 60' frontage he was able to subdivide the combined parcels in three lots with equal front footage. If the three lots sold for $15,000 each, his rate of profit on his investment was:",40%,20%,25%,12%,C. 25%,"First, find the selling price of the three lots:
 3 lots X $15,000 each = $45,000 selling price.
 
 Next, find the purchase price:
 2 lots X $18,000 each = $36,000 purchase price.
 
 Now we find the difference between selling price and purchase price:
 $45,000 selling price - $36,000 purchase price = $9000 profit.
 
 Finally, we divide the profit by the purchase price to determine the rate of profit on the investment:
 $9000 ÷ $36,000 = .25, or 25%"
"A real estate professional who holds a fiduciary relationship with a principal and whose responsibilities include financial reporting, tenant selection, property maintenance, and safeguarding the investment for one or more owners is acting as",an inspector,an appraiser,a mortgagor,a property manager,d,A real estate broker who manages properties for one or more owners may belong to a property management firm devoted to full-time property management. The broker can be self-employed or be one of the several managers in a real estate firm
The individual who manages a residential property on behalf of the owner and who lives on the property as his/her primary residence is known as,a resident manager,a mortgagee,an engineer,a lessee,a,"The term resident manager applies to an individual who lives on the property and may be employed by a real estate broker, a managing agent or an owner to manage a property on a part-time or full-time basis. The resident manager role only applies to residential properties"
Net operating income is defined as,summarizing all income sources less fixed expenses,calculating revenue minus debt expenses,operating expenses subtracted from effective gross income,total rent income minus vacancy losses,c,"Net operating income is calculated when fixed or variable operating expenses are subtracted from the effective gross income. When debt service is subtracted, the result is cash flow"
High vacancy issues are attributed to,proper management and positive ratings,"ineffective marketing, high rent, and poor tenant-retention efforts",low rents and desirable amenities,effective marketing and efficient tenant screening,b,"Property managers understand these factors as the causes of high or increased vacancy rates. Other factors include image and appearance problems, high market vacancy rates, and management quality"
Which of the following statements is an example of corrective maintenance?,Repairing the heating system,Installing updated appliances,Replacing the air conditioner with an energy-efficient model,Installing a fence to increase privacy,a,"Corrective maintenance occurs when repairs and replacements are required to keep the property operational. They are not included or scheduled with any routine or preventative maintenance program, and do not consist of capital improvements such as new A/C systems"
Property managers will employ which of the following strategies as part of their risk management plan,"Avoidance, transference, retention, or reduction","Discuss, review, retain, or study","Prepare, install, update, or remove","Improve, renovate, build, or insure",a,"The property manager and owner will employ one or several of these risk management strategies depending on the nature of the risk, the size of the potential loss, the likelihood of the occurrence, and costs"
"The property owner will use this type of insurance coverage to safeguard against theft, vandalism, burglary, illness and accident, and machinery damage",Multi-peril,Surety,Casualty,Liability,c,"Many types of insurance allows the shifting of liability away from the owner. Casualty coverage applies for specific risks, such as theft, vandalism, burglary, illness and accident, and machinery damage"
"To minimize losses resulting from an employee’s criminal activity, such as theft or negligence, the property owner will use this type of coverage",Workers’ compensation,"Consequential loss, use, and occupancy",Surety bond,Casualty,c,The surety bond covers the property owner should an employee engage in criminal or negligent activities during employment
What type of agent is the property manager?,Appointed,Designated,General,Universal,c,"Property managers are general agents empowered to perform some or all operational duties, including the authority to enter into contracts"
What type of lease did the tenant sign when a landlord is to receive a portion of the tenant’s business income?,A percentage lease,A periodic lease,A gross lease,A graduated lease,a,A percentage lease requires the tenant to pay the landlord a portion of the retail operation’s income or sales. This may be in addition to a base rental amount
The lease used when the tenant agrees to pay a portion or all of the operating expenses is known as a,net lease,percentage lease,gross lease,graduated lease,a,"Under a net lease, the tenant pays rent plus some or all of the operating expenses attributable to the rented space. This arrangement is commonly used in office and industrial leases"
What type of eviction occurs when the tenant vacates the leased premises due to the landlord’s negligence or if the property is deemed as unfit?,Constructive,Actual,Court,Unenforceable,a,"A constructive eviction occurs when a tenant vacates the leased premises and declares the lease void, claiming that landlord’s actions have made the premises unfit for the purpose described in the lease"
The legislation known to address equitable remedies between the landlord and tenant when breaches occur is known as the,Residential Leasing Act,Uniform Residential Landlord-Tenant Act,Fair Housing Act,Sherman Antitrust Act,b,"The Uniform Residential Landlord-Tenant Act has been adopted to a greater or lesser extent in many states. The Act aims to clarify lease terms such as the rental amount, security deposits, landlord access, procedures for default and eviction, and general obligations of landlord and tenant"
Which of the following occurs upon lease expiration and surrender of the premises?,Enjoyment,Exclusion,Reversion,Disposition,c,"When the lease term expires, the lessee has no further rights in the property and full ownership reverts to the lessor"
"The rights to quiet enjoyment, habitability, and constructive eviction fall under the",landlord’s rights and responsibilities,tenant’s rights and responsibilities,property manager's rights and responsibilities,owner’s rights and responsibilities,b,"The tenant rights and responsibilities include quiet enjoyment, habitable conditions, constructive eviction, while agreeing to paying rent, obeying rules, providing property notice, returning property in prescribed conditions, and use the property for intended purposes"
"The responsibilities to provide safe living conditions, proper heating and cooling, and operational plumbing fall under the",landlord rights and responsibilities,lessee rights and responsibilities,tenant rights and responsibilities,shared rights and responsibilities of both parties,a,"The landlord maintains the right to enter the premises, receive payments, repossess upon lease termination, and pursue default remedies. Landlord must also agree to provide habitable conditions, operational building systems, cleanliness, and safety"
"The tenant continues to reside in the property without the landlord’s approval in an estate for years lease. By doing so, the tenant has created which of the following estates?",At sufferance,From period-to-period,At will,Holdover,a,A tenancy or an estate of sufferance occurs when a tenant stays on the property without the landlord’s approval after the expiration of the lease
The general agency relationship between the owner and property manager is established when a contractual arrangement is created through which of the following?,Listing agreement,Compensation agreement,Management agreement,Sales agreement,c,"The management agreement establishes an agency agreement between manager and owner as well as specifying such essentials as the manager’s scope of authority, responsibilities, objective, compensation, and the term of the agreement"
Which of the following statements is an example of preventative maintenance?,Daily vacuuming and dusting,Replacing a nonoperational air-conditioning unit,Seasonal service calls for the water heater,Repairing a broken elevator,c,"Preventative maintenance goes beyond the routine to address or deter situations that can become serious problems if ignored. Seasonal or scheduled replacement of appliances and equipment, regular painting of exterior and interior areas, and planned roof replacements are a few examples"
"The tenant pays the landlord a fixed rental amount, and the landlord agrees to pay for all operating expenses, such as utilities, insurances, and other services. The lessee has signed a",gross lease,net lease,percentage lease,periodic lease,a,"In a gross lease, the tenant pays an established, fixed rent, and the landlord pays all property operations expenses, such as taxes, insurance, utilities, and other services. This is the arrangement commonly used in residential leases"
