Question,A,B,C,D,Correct Answer,Feedback / Explanation
Which of the following statements is most accurate?,A broker-in-charge can maintain real estate records only in hardcopy form,A broker-in-charge may maintain real estate records electronically as long as a backup copy is stored in an off-site location,A broker-in-charge may maintain real estate records electronically as long as a copy is stored in an off-site location in hardcopy form only,A broker-in-charge may not use any electronically stored data as back-up copies,b,A broker-in-charge may maintain real estate records electronically as long as a backup copy is stored in an off-site location
Which of the following statements best defines the practice of commingling?,Depositing escrow money in a business trust account,Establishing a business trust account at the institution where a personal account is being held,Depositing funds in a business trust account for administrative maintenance purposes,Depositing business account trust funds in a licensee’s personal account,d,Commingling means mixing or mingling business and personal funds
Which of the following statements best defines the practice of conversion?,Adding personal funds to a business trust account to make-up for shortfalls in the balance,Using trust funds for a purpose other than the purpose for which they are held,Returning trust account funds when a transaction has ended,Depositing trust fund monies in an interest-bearing account,b,Conversion means using trust funds for a purpose other than the purpose for which they are held. Conversion is a violation of South Carolina real estate license law
Every broker-in-charge must maintain transaction documents for a minimum of ,3 years,4 years,5 years,7 years,c,Every broker-in-charge must maintain transaction documents for a minimum of 5 years
Which of the following account titles would violate South Carolina trust fund laws?,Sunshine Real Estate Trust Account,Davis Real Estate Office Account,Sunshine Real Estate Escrow Account,Davis Real Estate Trust Account,b,The account must be designated and titled to include the word “trust” or “escrow” in the name of the respective broker-in-charge’s or property manager-in-charge’s licensed real estate firm
Trust funds received by a supervised licensee must be delivered to the supervising licensee ,no later than the following business day,on the same day,the next day,within two business days,a,Trust funds received by an associated licensee must be delivered to the supervising licensee no later than the following business day
How must advance rental property deposits be treated?,As Accounts Receivable,As Accounts Payable,As operating income,As trust fund monies,d,Advance rental property deposits must be treated as trust fund monies
Which of the following disciplinary actions is within the purview of the Commission in a disciplinary case?,Arresting a licensee for serious statute violations,"Imposing a fine of not less than five hundred ($300) or more than three thousand ($3,000) dollars for each violation","Imposing a fine of not more than ten thousand dollars ($10,000) for each violation",Serving a disciplinary decision to the charged licensee within 30 days from the effective date of a ruling,c,"The Commission may impose disciplinary action as a public reprimand, a fine of not less than $500 or more than $5,000, permanently revoke the license, or place a licensee on probation for a definite or indefinite time"
What action can be taken by the Commission to stop an unlicensed individual from practicing real estate transactions? ,Issue a writ of non-compliance,Apply to an administrative law judge for a temporary restraining order,Issue a "warning letter",Request any state law enforcement entity to seek a bench warrant against the violator,b,The Commission can apply to an administrative law judge for a temporary restraining order to stop an unlicensed individual from practicing real estate transactions.  This is done in order to protect the public
Disciplinary investigators must have at least how many hours of real estate training?,50 hours,80 hours,100 hours,120 hours,c,Disciplinary investigators must have at least 100 hours of real estate training
"In what section of an Office Policy Manual would you find information regarding office hours, holidays, floor time, sales meetings, dress code, personal safety, workplace privacy, and policies regarding smoking and substance abuse?",Office Procedures,Employee Classifications,Business Procedures,Performance Reviews,a,"In the Office Procedures section of the Office Policy Manual you can find information regarding office hours, holidays, floor time, sales meetings, dress code, personal safety, workplace privacy, and policies regarding smoking and substance abuse"
Which of the following is one way trust funds disputes are settled?,Involuntary mediation,Voluntary mediation,Peer review,Commission ruling,b,Trust fund disputes can be settled with voluntary mediation
A licensee is legally allowed to distribute escrow funds under which of the following circumstances?,At the request of a lien holder,To pay for repair damage prior to closing,To pay for the recording of a new deed,Upon the closing of a transaction,d,A licensee is legally allowed to distribute escrow funds upon the closing of a transaction
How long must trust fund monies received in connection with a lease remain in a trust account? ,Lease transaction trust fund monies can be removed or transferred after six months,Lease transaction trust fund monies can be removed or transferred after twelve months,Lease transaction trust fund monies must remain in the account until the lease expires or is terminated,Lease transaction trust fund monies can be removed if requested by the lessor,c,Lease transaction trust fund monies must remain in the account until the lease expires or is terminated.  They must not be converted or commingled with other funds
A trust account must be a,demand deposit account located in an insured financial institution authorized to conduct business in South Carolina,demand deposit account located in a state-chartered financial institution,money market account located in a federally- chartered financial institution,savings account located in an insured financial institution authorized to conduct business in South Carolina,a,A trust fund account must be a demand deposit account located in an insured financial institution authorized to conduct business in South Carolina
In what period of time must a brokerage inform the Commission of an office telephone number change?,Within five (5) days,Within ten (10) days,Within fifteen (15) business days,Within five (5) business days,b,"If there is a telephone number change, a brokerage must inform the Commission within ten days"
How many branch offices are allowed under state statutes?,2,3,4,Unlimited,d,The state statutes allow an unlimited number of branch offices
Which of the following statements best defines a real estate team?,Five or more supervised licensees working together as a single unit within a real estate office and supervised by a broker-in-charge,"Two or more supervised licensees working together, but located in different branch offices",Two or more supervised licensees working together as a single unit within a real estate office and supervised by a broker-in-charge,Five or more supervised licensees working in a single office under the supervision of a broker-in-charge,c,A team is defined as two or more associated licensees working together as a single unit within a real estate office and supervised by a broker-in-charge. Teams have become more popular in brokerage recently
Which of the following team names would violate state statutes?,Team Walker Realty Pros,Team Walker Pros,Kelli Benson Team,Benson Team Professionals,a,"Team names may not include the terms “realty”, “real estate”, “realtors”, or similar terms suggesting a brokerage"
When may a resident licensee pay a part of the commission on a cooperative basis to a person of another state?,If that person is not licensed in South Carolina,If that brokerage license does not conduct a real estate brokerage service in South Carolina for which compensation is paid,Never,If that employee does not hold a valid real estate license,b,A resident licensee may pay part of the commission on a cooperative basis to a person of another state if that brokerage license does not conduct a real estate brokerage service in South Carolina for which compensation is paid
"What, if anything, must a licensee do if wishing to purchase real estate listed with the licensee's own brokerage firm?",A licensee must complete form 82-A and file the form with other transaction papers,A licensee has no requirements in this situation,A licensee must inform all parties of the license status at the time of closing,The licensee must make the status as a licensee clearly known in writing to all parties involved,d,"If a licensee wishes to purchase real estate listed with the affiliated brokerage firm, the broker-in-charge must ensure that the licensee first makes the status as a licensee clearly known in writing to all parties involved"
"Amelia, a licensee, creates a property description using artificial intelligence.  The program creates a listing that violates the South Carolina Fair Housing Law. Which of the following statements is true?",The developers of the technology may be held liable by the South Carolina Human Affairs Commission,The seller may be fined,The South Carolina Real Estate Commission may lessen Amelia’s fine because the violation was unintentional,Amelia alone is responsible for the content of the listing description,d,"Licensees are solely responsible for work produced by AI, machine learning, or similar programs. Any violations committed through the use of these technologies will be treated as if they were committed directly by the licensee."
"License law requires a branch office to be accessible by the public, investigators, and inspectors",during the hours of 8 AM and 5 PM,whenever the broker-in-charge is on the premises,during reasonable business hours,at least one weekend day,c,"License law requires a branch office to be accessible by the public, investigators, and inspectors during reasonable business hours"
Licensee Bruce was asked to take over the broker-in-charge duties at his office when broker-in-charge Ruth passed away unexpectedly. Bruce can remain in this position for how long?,Two months,Up to six (6) months,30 days,Up to one year,b,"In the event a broker-in-charge dies, the department may permit an associated licensee to act as broker-in-charge or property manager-in-charge for up to six (6) months"
Which of the following statements is FALSE?,A broker-in-charge can never be liable for a law violation committed by an associated licensee,An associated licensee may receive compensation for real estate activities only from the employing broker-in-charge,A broker-in-charge may be liable to some degree for law violations committed by an associated licensee,Trust funds received in connection with a real estate transaction may be deposited into an interest-bearing account,a,"For the most part, associated licenses are bound by the same laws and regulations that a broker-in-charge or property manager-in-charge is required to follow. A broker-in-charge and a property manager-in-charge may be liable to some degree for law violations committed by an associated licensee"
Which of the following statements about team members is true?,They may conduct real estate business from a home office,They may conduct brokerage activities in a branch office without direct supervision of a broker-in-charge,They must conduct all activities from their Commission-established office under the supervision of a broker-in-charge,They may conduct real estate business from a car/van,c,Team members must conduct all activities from their Commission-established office under the supervision of a broker-in-charge
A broker-in-charge may pay an unlicensed person,a percentage of the commission on a real estate transaction,"a referral fee, as long as that person is a party in the real estate transaction",a fee for showing homes to buyers,a fee for negotiating an offer for a licensee who is on vacation,b,"A broker-in-charge may pay an unlicensed person a referral fee, as long as that person is a party in the real estate transaction"
"When dealing in a real estate transaction where the licensee owns an interest in the property, a licensee must reveal his or her license status",when the customer asks for advice,when the customer makes a purchase offer,at any time prior to the customer making a purchase offer,at the first substantive contact with a consumer,d,"If a licensee owns an interest in the property, a licensee must reveal his or her license status at the first substantive contact with a consumer"
Which of the following actions would be classified as "first substantive contact?",When a customer asks what houses are for sale in a particular school district,When a customer begins to talk about financial qualifications,When a customer comes to the real estate brokerage,When a customer calls to get the asking price for a property,b,Substantive contact means contact in which a discussion between the consumer and the associated licensee moves from casual introductory talk to a meaningful conversation regarding financial qualifications of the parties
A licensee must disclose the nature of a stigmatized property,when there are rumors that the property is haunted,when a suicide occurred on the property,when a former owner had HIV,when asked directly regarding a stigma,d,A licensee must disclose the nature of a stigmatized property when asked directly regarding a stigma
"When a client's offer is rejected by a seller without a counteroffer being made, the licensee must",inform his client within 48 hours of receipt of the rejection notice,have the seller and the buyer sign a Commission-promulgated offer rejection form which affirms presentation of the offer,sign and deliver a Commission-promulgated offer rejection form within 48 hours,have the seller sign a Commission-promulgated offer rejection form which affirms presentation of the offer,c,"When a client’s offer is rejected by a seller without a counteroffer being made, the licensee must sign a Commission-promulgated offer rejection form which affirms presentation of the offer"
Which of the following statements is true?,A broker-in-charge must keep all real estate records in hardcopy form only,A broker-in-charge may keep electronic records as long as a hardcopy is stored in an off-site location,A broker-in-charge may not store electronic data as back-up copies,A broker-in-charge may keep real estate records electronically as long as a backup copy is stored in a off-site location,d,A broker-in-charge may keep real estate records electronically as long as a backup copy is stored in an off-site location
Commingling can be best described as,depositing minimal funds in a trust account to cover bank charges,depositing trust funds in a licensee’s personal account,establishing a trust account at the same institution where a personal account is held,depositing escrow money in a trust account,b,"Commingling means mixing or mingling; for example, to deposit business account trust funds in the licensee’s personal or general business account"
Conversion is defined as,depositing trust fund monies in an interest-bearing account,using trust funds for a purpose other than the purpose for which they are held,returning trust account funds when a transaction has ended,adding personal funds to a business trust account to cover shortfalls in the minimum balance,b,Conversion means using trust funds for a purpose other than the purpose for which they are held. Conversion is a breach of trust and is a crime as provided by law
For how long must a broker-in-charge maintain transaction documents?,2 years,3 years,4 years,5 years,d,A broker-in-charge must maintain transaction documents for 5 years
South Carolina would prohibit using which of the following account titles for the deposit of escrow/trust monies? ,Becker Real Estate Trust Account,Harris Real Estate Trust Account,Becker Real Estate Escrow Account,Harris Real Estate Office Account,d,The account must be designated and titled to include the word “trust” or the word “escrow” in the name of the respective broker-in-charge’s or property manager-in-charge’s licensed real estate firm
An associated licensee must deliver earnest money deposits to the supervising licensee,on the same day,the next day,no later than the following business day,within three business days,c,An associated licensee must deliver earnest money deposits to the supervising licensee no later than the following business day
Advanced rental property deposits must be treated as,operating income,trust fund monies,accounts payable,accounts receivable,b,Advanced rental property deposits must be treated as trust fund monies
Which of the following disciplinary actions is available to the Commission for law violations?,Impose a jail sentence,Issue a public reprimand,Arrest a licensee,"Levy a fine up to $25,000 for each violation",b,"The Commission may issue a public reprimand for law violations, impose a fine of not less than $500 or more than $5,000, place a licensee on probation, restrict or suspend the individual’s license, or permanently revoke the license"
The Commission can stop an unlicensed individual from practicing real estate transactions by,issuing a "cease and desist" letter,issuing a writ of non-compliance,requesting a bench warrant against the violator from a law enforcement agency,applying to an administrative law judge for a temporary restraining order,d,The Commission can stop an unlicensed individual from practicing real estate transactions by applying to an administrative law judge for a temporary restraining order
How many hours of real estate training must a disciplinary investigator have?,50 hours,100 hours,150 hours,200 hours,b,A disciplinary investigator must have 100 hours of real estate training
What is the primary difference between an associate working as an employee versus an associate working as an independent contractor?,The independent contractor must receive health coverage from the brokerage while an employee does not typically receive any benefits,"An employee works under the supervision and control of the broker, but the broker cannot control how the independent contractor associate performs the acts they were hired for",An employee has to obey South Carolina license laws while an independent contractor only has to be concerned with national license laws,"To become an employee, the associate must have at least three years of real estate experience",b,"A broker-in-charge can hire a salesperson as an employee or an independent contractor. The main difference between the two is an issue of control, as established by income tax laws. An employee works under the supervision and control of the broker. An independent contractor is hired to perform certain acts, but the broker cannot control how the salesperson performs those acts"
Trust funds disputes can be settled through,filing an interpleader action,peer review,Commission ruling,involuntary mediation,a,Trust funds disputes can be settled through filing an interpleader action
When can a licensee legally distribute escrow funds?,When paying for repair damage prior to closing,When recording a new deed,When the transaction closes,When the lender requests it,c,A licensee can legally distribute escrow funds when the transaction closes
"When dealing with a lease, how long must trust fund monies remain in a trust account?",Until the lease expires or is terminated ,Six months,Until the lessor requests release,Twelve months,a,Trust fund monies must remain in a trust account until the lease expires or is terminated
South Carolina requires a trust account to be located in,a State-chartered financial institution,an insured financial institution authorized to conduct business in South Carolina,a Federally-chartered financial institution,"any insured financial institution, regardless of the state in which is it physically located",b,South Carolina requires a trust account to be located in an insured financial institution authorized to conduct business in South Carolina
"If a brokerage changes its office name, the broker must inform the Commission of the change",within five days,within one week,within ten days,within two weeks,c,"If a brokerage changes its office name, the broker must inform the Commission of the change within ten days"
A broker may have how many branch offices?,Unlimited,1,2,3,a,There is no limit to how many branch offices a broker may have
A real estate team is best defined as,"two or more supervised licensees working together, but located in different branch offices",two or more supervised licensees working together as a single unit within a real estate office and supervised by a broker-in-charge,three or more supervised licensees working together as a single unit within a real estate office,five or more supervised licensees working in a single office under the supervision of a broker-in-charge,b,A real estate team is two or more associated licensees working together as a single unit within a real estate office and supervised by a broker-in-charge
Which of the following team names would violate state statutes?,Jensen Team Pros,Benson Team Professionals,Becker Real Estate Team,Jim Walker Team,c,"No team may imply that the team is a separate entity from the employing brokerage firm. Team names may not include the terms ""realty"", ""real estate"", ""realtors"", or similar terms suggesting a brokerage"
A resident licensee can pay a part of the commission on a cooperative basis to a person of another state,if that person does not hold a valid real estate license,as long as that person is not licensed in South Carolina,under no circumstance,if that brokerage licensee does not conduct a real estate brokerage service in South Carolina for which compensation is paid,d,A resident licensee can pay a part of the commission on a cooperative basis to a person of another state if that brokerage license does not conduct a real estate brokerage service in South Carolina for which compensation is paid
Jane wants to purchase real estate listed with the brokerage firm she works for. What must she do?,Jane must complete a form specifically designed for this type of situation and keep the form in the transaction file,Jane must make her status as a licensee clearly known in writing to all parties involved,Jane must inform all parties of her license status at the time of closing,Jane has no specific requirement in this situation,b,"If a licensee wishes to purchase real estate listed with the affiliated brokerage firm, the broker-in-charge must ensure that the licensee first makes the status as a licensee clearly known in writing to all parties involved"
